Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.021,0.021,0.022,0.023,0.024,0.026,0.027,0.028,0.03,0.031,0.032,0.034,0.035,0.036,0.038,0.039,0.041,0.042,0.044,0.045,0.047,0.048,0.05,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed wind capacity (MW)
AMBERTON ROAD,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.032,0.032,0.033,0.035,0.037,0.041,0.044,0.048,0.052,0.056,0.06,0.064,0.068,0.073,0.077,0.081,0.085,0.09,0.094,0.099,0.103,0.108,0.112,0.117,0.122,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed wind capacity (MW)
ANNFIELD 66/20KV,6.329,6.329,6.33,6.331,6.331,6.332,6.333,6.334,6.337,6.342,6.351,6.365,6.382,6.402,6.423,6.444,6.466,6.488,6.51,6.533,6.555,6.578,6.601,6.624,6.648,6.672,6.696,6.72,6.744,6.769,6.794,6.819,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed wind capacity (MW)
ASHINGTON,3.24,3.24,3.243,3.246,3.248,3.251,3.254,3.26,3.272,3.296,3.336,3.396,3.473,3.559,3.653,3.748,3.844,3.941,4.039,4.138,4.237,4.338,4.44,4.543,4.647,4.752,4.858,4.965,5.073,5.182,5.293,5.404,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed wind capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed wind capacity (MW)
AYCLIFFE INDUSTRIAL,0,0,0,0.001,0.001,0.001,0.001,0.002,0.003,0.005,0.009,0.015,0.022,0.03,0.039,0.048,0.057,0.066,0.076,0.085,0.094,0.104,0.114,0.123,0.133,0.143,0.153,0.163,0.174,0.184,0.194,0.205,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed wind capacity (MW)
BARDEN FRIAR,0,0,0,0,0,0.001,0.001,0.001,0.001,0.002,0.004,0.006,0.009,0.012,0.015,0.018,0.022,0.025,0.029,0.033,0.036,0.04,0.044,0.047,0.051,0.055,0.059,0.063,0.066,0.07,0.074,0.078,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed wind capacity (MW)
BEDALE,0.011,0.011,0.012,0.012,0.013,0.014,0.015,0.017,0.021,0.028,0.04,0.058,0.082,0.108,0.137,0.166,0.195,0.225,0.255,0.285,0.315,0.346,0.377,0.409,0.44,0.472,0.505,0.537,0.57,0.604,0.638,0.672,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed wind capacity (MW)
BELMONT,0,0,0,0.001,0.001,0.002,0.002,0.003,0.005,0.009,0.016,0.025,0.038,0.052,0.068,0.083,0.099,0.115,0.131,0.147,0.163,0.18,0.196,0.213,0.23,0.247,0.265,0.282,0.3,0.318,0.336,0.354,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed wind capacity (MW)
BENSHAM,0,0,0,0,0,0,0,0,0.001,0.001,0.002,0.003,0.004,0.006,0.008,0.009,0.011,0.013,0.015,0.017,0.018,0.02,0.022,0.024,0.026,0.028,0.03,0.032,0.034,0.036,0.038,0.04,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed wind capacity (MW)
