Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,1.8,1.881,2.004,2.174,2.399,2.652,3.023,3.558,4.102,4.654,5.263,5.908,6.589,7.282,7.982,8.69,9.399,10.098,10.799,11.518,12.247,12.984,13.728,14.48,15.239,15.903,16.574,17.251,17.934,18.623,19.319,20.021,NPgN,Primary,NG FES - Consumer Transformation,Total installed renewable generation capacity (MW)
AMBERTON ROAD,1.69,1.757,1.862,2.007,2.213,2.447,2.779,3.251,3.733,4.226,4.774,5.363,5.99,6.634,7.284,7.944,8.592,9.202,9.805,10.44,11.088,11.744,12.406,13.075,13.75,14.345,14.946,15.552,16.163,16.779,17.401,18.028,NPgN,Primary,NG FES - Consumer Transformation,Total installed renewable generation capacity (MW)
ANNFIELD 66/20KV,12.479,12.56,12.687,12.862,13.103,13.375,13.767,14.329,14.904,15.493,16.148,16.85,17.595,18.358,19.129,19.91,20.685,21.431,22.173,22.945,23.731,24.525,25.327,26.137,26.955,27.676,28.404,29.138,29.879,30.627,31.381,32.142,NPgN,Primary,NG FES - Consumer Transformation,Total installed renewable generation capacity (MW)
ASHINGTON,5.792,5.914,6.107,6.37,6.727,7.129,7.713,8.556,9.425,10.325,11.334,12.422,13.576,14.76,15.956,17.167,18.375,19.552,20.728,21.941,23.174,24.42,25.678,26.949,28.233,29.372,30.522,31.682,32.853,34.035,35.227,36.43,NPgN,Primary,NG FES - Consumer Transformation,Total installed renewable generation capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,NPgN,Primary,NG FES - Consumer Transformation,Total installed renewable generation capacity (MW)
AYCLIFFE INDUSTRIAL,0.912,0.945,0.998,1.07,1.169,1.281,1.442,1.674,1.911,2.153,2.423,2.712,3.017,3.33,3.646,3.966,4.285,4.593,4.901,5.219,5.543,5.87,6.201,6.535,6.872,7.169,7.469,7.771,8.077,8.385,8.695,9.009,NPgN,Primary,NG FES - Consumer Transformation,Total installed renewable generation capacity (MW)
BARDEN FRIAR,0.059,0.063,0.069,0.077,0.089,0.103,0.123,0.15,0.178,0.208,0.242,0.279,0.32,0.363,0.406,0.449,0.491,0.528,0.564,0.603,0.643,0.684,0.725,0.767,0.808,0.846,0.884,0.923,0.962,1.001,1.04,1.08,NPgN,Primary,NG FES - Consumer Transformation,Total installed renewable generation capacity (MW)
BEDALE,2.717,2.773,2.861,2.981,3.157,3.355,3.636,4.034,4.444,4.868,5.344,5.862,6.414,6.985,7.562,8.146,8.719,9.254,9.78,10.338,10.909,11.485,12.068,12.656,13.25,13.778,14.31,14.848,15.39,15.936,16.487,17.043,NPgN,Primary,NG FES - Consumer Transformation,Total installed renewable generation capacity (MW)
BELMONT,1.356,1.414,1.506,1.631,1.808,2.008,2.293,2.701,3.118,3.547,4.024,4.538,5.084,5.646,6.213,6.788,7.355,7.894,8.427,8.986,9.557,10.133,10.716,11.304,11.897,12.422,12.951,13.485,14.024,14.568,15.116,15.669,NPgN,Primary,NG FES - Consumer Transformation,Total installed renewable generation capacity (MW)
BENSHAM,0.374,0.417,0.486,0.581,0.71,0.856,1.066,1.369,1.677,1.991,2.337,2.708,3.099,3.499,3.903,4.312,4.719,5.113,5.505,5.912,6.326,6.744,7.167,7.594,8.024,8.402,8.784,9.169,9.558,9.95,10.346,10.745,NPgN,Primary,NG FES - Consumer Transformation,Total installed renewable generation capacity (MW)
