Primary,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0.045,0.058,0.075,0.085,0.094,0.182,0.294,0.304,0.438,0.483,0.495,0.507,0.52,0.534,0.549,0.566,0.584,0.604,0.627,0.651,0.677,0.704,0.733,0.763,0.795,0.828,0.863,NPgN,Primary,NG FES - Counterfactual,Total installed storage capacity (MW)
AMBERTON ROAD,0.031,0.05,0.074,0.1,0.108,0.116,0.295,0.526,0.535,0.812,0.894,0.904,0.915,0.926,0.937,0.95,0.965,0.98,0.997,1.017,1.037,1.059,1.082,1.107,1.133,1.16,1.188,1.218,NPgN,Primary,NG FES - Counterfactual,Total installed storage capacity (MW)
ANNFIELD 66/20KV,0.037,0.057,0.081,0.109,0.118,0.128,0.309,0.543,0.553,0.833,0.918,0.93,0.943,0.956,0.97,0.986,1.003,1.022,1.042,1.065,1.09,1.117,1.144,1.174,1.205,1.237,1.271,1.307,NPgN,Primary,NG FES - Counterfactual,Total installed storage capacity (MW)
ASHINGTON,0.055,0.074,0.098,0.129,0.143,0.158,0.33,0.552,0.567,0.833,0.917,0.935,0.954,0.974,0.995,1.019,1.044,1.073,1.103,1.138,1.175,1.215,1.257,1.301,1.347,1.396,1.447,1.5,NPgN,Primary,NG FES - Counterfactual,Total installed storage capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,NPgN,Primary,NG FES - Counterfactual,Total installed storage capacity (MW)
AYCLIFFE INDUSTRIAL,0.015,0.022,0.031,0.041,0.045,0.049,0.114,0.198,0.202,0.302,0.333,0.338,0.343,0.348,0.354,0.361,0.368,0.376,0.384,0.394,0.404,0.415,0.427,0.439,0.452,0.465,0.479,0.494,NPgN,Primary,NG FES - Counterfactual,Total installed storage capacity (MW)
BARDEN FRIAR,0.002,0.005,0.008,0.012,0.012,0.013,0.041,0.079,0.079,0.124,0.136,0.137,0.137,0.138,0.138,0.139,0.14,0.141,0.141,0.142,0.144,0.145,0.146,0.147,0.148,0.15,0.151,0.153,NPgN,Primary,NG FES - Counterfactual,Total installed storage capacity (MW)
BEDALE,0.025,0.049,0.076,0.106,0.112,0.119,0.335,0.615,0.622,0.957,1.055,1.063,1.072,1.081,1.09,1.101,1.113,1.126,1.139,1.155,1.172,1.19,1.209,1.229,1.25,1.272,1.295,1.32,NPgN,Primary,NG FES - Counterfactual,Total installed storage capacity (MW)
BELMONT,0.026,0.041,0.059,0.08,0.087,0.093,0.229,0.405,0.412,0.622,0.685,0.694,0.703,0.712,0.722,0.733,0.746,0.759,0.774,0.79,0.808,0.827,0.847,0.868,0.89,0.913,0.937,0.963,NPgN,Primary,NG FES - Counterfactual,Total installed storage capacity (MW)
BENSHAM,0.02,0.028,0.038,0.051,0.056,0.061,0.135,0.231,0.237,0.351,0.387,0.394,0.401,0.408,0.415,0.424,0.433,0.443,0.454,0.467,0.48,0.495,0.51,0.526,0.542,0.56,0.578,0.598,NPgN,Primary,NG FES - Counterfactual,Total installed storage capacity (MW)
BENTON SQUARE,0.028,0.04,0.056,0.074,0.081,0.089,0.203,0.351,0.359,0.536,0.59,0.599,0.609,0.619,0.629,0.641,0.654,0.668,0.683,0.701,0.719,0.739,0.76,0.782,0.805,0.83,0.855,0.882,NPgN,Primary,NG FES - Counterfactual,Total installed storage capacity (MW)
BENWELL,0.026,0.039,0.056,0.075,0.082,0.088,0.21,0.368,0.375,0.564,0.621,0.629,0.638,0.648,0.658,0.669,0.681,0.694,0.709,0.725,0.743,0.761,0.781,0.802,0.824,0.847,0.871,0.896,NPgN,Primary,NG FES - Counterfactual,Total installed storage capacity (MW)
BILLINGHAM MARSH HOUSE,0.032,0.037,0.045,0.057,0.065,0.074,0.124,0.189,0.198,0.275,0.302,0.313,0.324,0.335,0.347,0.36,0.375,0.391,0.409,0.428,0.45,0.473,0.496,0.522,0.548,0.576,0.605,0.636,NPgN,Primary,NG FES - Counterfactual,Total installed storage capacity (MW)
BILLY MILL,0.024,0.033,0.045,0.059,0.065,0.071,0.154,0.259,0.266,0.393,0.432,0.44,0.449,0.457,0.467,0.477,0.488,0.501,0.514,0.529,0.546,0.563,0.582,0.601,0.621,0.643,0.665,0.689,NPgN,Primary,NG FES - Counterfactual,Total installed storage capacity (MW)
BIRTLEY GROVE 66/11KV,0.018,0.025,0.034,0.046,0.05,0.055,0.12,0.204,0.209,0.31,0.341,0.347,0.354,0.36,0.367,0.375,0.383,0.393,0.403,0.415,0.427,0.44,0.454,0.469,0.484,0.501,0.518,0.535,NPgN,Primary,NG FES - Counterfactual,Total installed storage capacity (MW)
