Primary,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Counterfactual,Number of electric buses
AMBERTON ROAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Counterfactual,Number of electric buses
ANNFIELD 66/20KV,1,2,2,3,4,5,6,7,9,10,12,14,15,17,19,21,22,24,25,26,27,28,29,29,30,30,31,31,NPgN,Primary,NG FES - Counterfactual,Number of electric buses
ASHINGTON,2,5,7,9,11,14,18,22,26,30,35,40,45,50,55,60,65,69,73,76,80,82,84,86,88,89,90,91,NPgN,Primary,NG FES - Counterfactual,Number of electric buses
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Counterfactual,Number of electric buses
AYCLIFFE INDUSTRIAL,0,1,1,1,2,2,3,3,4,5,6,6,7,8,9,10,10,11,12,12,13,13,13,14,14,14,14,14,NPgN,Primary,NG FES - Counterfactual,Number of electric buses
BARDEN FRIAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Counterfactual,Number of electric buses
BEDALE,2,5,6,8,10,13,16,20,24,28,32,37,41,46,51,55,59,63,67,70,73,75,77,79,80,82,82,83,NPgN,Primary,NG FES - Counterfactual,Number of electric buses
BELMONT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Counterfactual,Number of electric buses
BENSHAM,5,10,14,18,24,30,37,45,54,63,73,83,93,104,115,125,134,143,151,158,165,170,175,179,182,185,187,188,NPgN,Primary,NG FES - Counterfactual,Number of electric buses
BENTON SQUARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Counterfactual,Number of electric buses
BENWELL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Counterfactual,Number of electric buses
BILLINGHAM MARSH HOUSE,0,1,1,1,1,2,2,3,3,4,4,5,5,6,7,7,8,8,9,9,10,10,10,11,11,11,11,11,NPgN,Primary,NG FES - Counterfactual,Number of electric buses
BILLY MILL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Counterfactual,Number of electric buses
BIRTLEY GROVE 66/11KV,4,10,13,18,23,29,36,43,51,60,70,79,90,100,110,120,129,137,145,152,158,163,168,172,175,177,179,181,NPgN,Primary,NG FES - Counterfactual,Number of electric buses
BIRTLEY GROVE 66/20KV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Counterfactual,Number of electric buses
BLAYDON BURN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Counterfactual,Number of electric buses
BLUCHER 33/11KV,17,39,53,69,89,113,139,169,201,236,273,311,351,391,430,468,504,537,568,595,619,639,657,672,684,694,701,707,NPgN,Primary,NG FES - Counterfactual,Number of electric buses
BOLDON DOWNHILL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Counterfactual,Number of electric buses
