Primary,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,2,2.16,2.18,2.185,2.19,2.199,2.222,2.246,2.306,2.387,2.426,2.508,2.575,2.596,2.659,2.713,2.785,2.854,2.948,3.057,3.201,3.32,3.483,3.659,3.761,3.952,4.117,4.328,NPgN,Primary,NG FES - Counterfactual,Total installed PV capacity - domestic (MW)
AMBERTON ROAD,1.783,1.929,1.946,1.95,1.954,1.962,1.982,2.003,2.053,2.123,2.155,2.225,2.282,2.3,2.354,2.4,2.461,2.519,2.599,2.692,2.814,2.916,3.054,3.204,3.291,3.453,3.594,3.772,NPgN,Primary,NG FES - Counterfactual,Total installed PV capacity - domestic (MW)
ANNFIELD 66/20KV,1.969,2.145,2.165,2.171,2.175,2.185,2.208,2.234,2.294,2.378,2.417,2.5,2.569,2.591,2.656,2.711,2.784,2.854,2.951,3.062,3.209,3.331,3.497,3.678,3.782,3.977,4.146,4.361,NPgN,Primary,NG FES - Counterfactual,Total installed PV capacity - domestic (MW)
ASHINGTON,2.636,2.899,2.93,2.938,2.945,2.959,2.994,3.032,3.123,3.249,3.308,3.433,3.536,3.569,3.665,3.748,3.858,3.963,4.108,4.275,4.495,4.679,4.928,5.198,5.354,5.647,5.9,6.222,NPgN,Primary,NG FES - Counterfactual,Total installed PV capacity - domestic (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Counterfactual,Total installed PV capacity - domestic (MW)
AYCLIFFE INDUSTRIAL,0.921,0.994,1.002,1.004,1.007,1.01,1.02,1.031,1.056,1.09,1.107,1.141,1.17,1.179,1.205,1.228,1.259,1.288,1.328,1.374,1.435,1.485,1.554,1.629,1.672,1.753,1.823,1.912,NPgN,Primary,NG FES - Counterfactual,Total installed PV capacity - domestic (MW)
BARDEN FRIAR,0.064,0.071,0.072,0.072,0.073,0.073,0.074,0.075,0.078,0.081,0.083,0.087,0.09,0.09,0.093,0.096,0.099,0.102,0.106,0.111,0.117,0.122,0.129,0.137,0.141,0.15,0.157,0.166,NPgN,Primary,NG FES - Counterfactual,Total installed PV capacity - domestic (MW)
BEDALE,1.502,1.622,1.636,1.639,1.643,1.649,1.665,1.682,1.723,1.78,1.807,1.864,1.911,1.926,1.97,2.007,2.057,2.105,2.17,2.246,2.346,2.429,2.542,2.665,2.736,2.869,2.984,3.13,NPgN,Primary,NG FES - Counterfactual,Total installed PV capacity - domestic (MW)
BELMONT,1.483,1.608,1.622,1.626,1.63,1.636,1.653,1.671,1.714,1.774,1.802,1.862,1.911,1.927,1.973,2.012,2.064,2.115,2.183,2.263,2.368,2.455,2.574,2.702,2.777,2.916,3.037,3.19,NPgN,Primary,NG FES - Counterfactual,Total installed PV capacity - domestic (MW)
BENSHAM,0.491,0.586,0.597,0.6,0.603,0.608,0.621,0.634,0.667,0.712,0.734,0.779,0.816,0.828,0.863,0.893,0.932,0.97,1.023,1.083,1.162,1.229,1.319,1.416,1.473,1.578,1.67,1.786,NPgN,Primary,NG FES - Counterfactual,Total installed PV capacity - domestic (MW)
