Primary,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,289,349,463,589,727,847,960,1076,1192,1308,1420,1537,1785,2423,3079,3726,4350,4934,5519,6099,6709,7271,7697,8060,8409,8742,9069,9303,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
AMBERTON ROAD,285,338,441,553,678,786,886,991,1096,1201,1303,1411,1621,2178,2768,3361,3942,4491,5039,5568,6132,6637,6979,7265,7542,7807,8059,8241,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
ANNFIELD 66/20KV,182,218,285,358,441,510,575,643,711,779,845,914,1151,1879,2595,3292,3970,4614,5255,5879,6519,7128,7645,8121,8583,9029,9382,9603,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
ASHINGTON,258,309,407,513,632,733,826,923,1021,1119,1215,1315,1574,2317,3072,3817,4544,5233,5921,6606,7322,7968,8457,8891,9310,9714,10059,10291,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
AYCLIFFE INDUSTRIAL,80,98,130,164,202,234,263,293,325,357,388,421,511,785,1069,1356,1641,1916,2190,2466,2760,3003,3151,3282,3408,3530,3648,3733,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
BARDEN FRIAR,4,4,5,5,6,7,7,8,9,10,11,12,20,51,81,110,138,165,192,219,246,273,300,326,352,378,396,404,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
BEDALE,112,131,165,204,248,285,321,358,394,431,467,505,639,1064,1474,1868,2248,2609,2968,3316,3664,4025,4386,4726,5059,5384,5608,5708,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
BELMONT,218,256,331,415,509,590,666,745,824,901,977,1056,1236,1724,2212,2685,3138,3560,3982,4390,4808,5230,5613,5952,6281,6600,6853,7014,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
BENSHAM,131,141,169,200,236,265,291,318,347,375,403,432,524,810,1095,1379,1657,1922,2184,2438,2702,2946,3138,3312,3481,3644,3804,3920,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
BENTON SQUARE,318,381,505,641,791,922,1045,1172,1299,1426,1549,1677,1896,2413,2970,3527,4068,4572,5080,5590,6135,6623,6961,7235,7499,7752,7989,8157,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
BENWELL,171,194,242,297,360,413,462,513,563,613,662,712,855,1271,1676,2067,2441,2789,3137,3473,3816,4162,4478,4763,5039,5305,5565,5754,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
BILLINGHAM MARSH HOUSE,114,138,183,231,284,327,366,406,449,491,533,578,746,1281,1817,2351,2878,3386,3891,4408,4948,5407,5726,6018,6301,6573,6837,7020,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
BILLY MILL,80,94,121,150,182,208,232,256,282,307,333,360,488,912,1331,1745,2153,2546,2936,3332,3742,4100,4368,4619,4862,5096,5325,5491,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
BIRTLEY GROVE 66/11KV,81,99,131,165,203,234,263,294,325,356,386,419,528,868,1210,1551,1885,2207,2527,2842,3171,3461,3668,3857,4038,4213,4373,4484,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
BIRTLEY GROVE 66/20KV,73,88,115,146,180,209,236,264,293,321,349,377,447,645,846,1045,1238,1421,1603,1778,1961,2131,2259,2371,2480,2584,2685,2759,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
BLAYDON BURN,185,221,290,366,450,523,591,662,733,804,873,945,1113,1576,2046,2507,2954,3374,3793,4203,4629,5029,5344,5620,5885,6140,6378,6547,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
BLUCHER 33/11KV,194,230,303,384,473,550,623,698,772,845,917,991,1165,1629,2093,2543,2976,3378,3780,4176,4586,4983,5317,5610,5891,6162,6425,6614,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
BOLDON DOWNHILL,70,84,111,140,172,198,222,247,273,299,324,351,468,845,1214,1575,1929,2268,2604,2935,3279,3588,3828,4050,4264,4470,4670,4813,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,116,137,179,227,279,326,369,415,459,504,547,591,659,805,957,1102,1238,1359,1483,1601,1722,1858,1997,2113,2226,2335,2416,2457,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
BOWESFIELD 33/11KV,159,187,240,299,365,422,477,534,590,647,702,759,873,1182,1499,1810,2112,2395,2680,2957,3248,3527,3754,3953,4145,4332,4516,4658,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
BOWESFIELD 66/11KV,190,230,305,385,472,547,618,691,766,842,916,995,1115,1415,1769,2147,2530,2901,3275,3685,4135,4457,4564,4637,4706,4773,4841,4896,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
BRANCEPETH,218,255,325,405,500,573,638,706,774,843,909,978,1328,2459,3533,4558,5545,6482,7409,8301,9191,10110,11024,11890,12733,13552,14134,14425,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
BREAMISH STREET,129,131,145,164,186,203,219,237,254,271,288,306,344,456,568,680,789,890,990,1088,1189,1291,1381,1462,1540,1616,1691,1748,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
BRENDA TRADING,188,225,293,368,451,522,587,655,724,792,859,930,1146,1801,2456,3101,3731,4330,4926,5510,6120,6673,7091,7470,7834,8184,8526,8773,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
CAMPLESHON ROAD,164,192,246,307,374,432,487,543,599,656,710,767,954,1523,2079,2618,3139,3633,4124,4604,5090,5570,6011,6419,6816,7201,7467,7608,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
CARLEY HILL,126,148,189,235,286,330,370,412,454,496,538,581,742,1254,1753,2239,2712,3161,3608,4050,4505,4926,5273,5593,5902,6199,6489,6699,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
CARLIN HOW T3 T4,176,206,264,329,404,465,521,579,636,694,750,808,1076,1931,2745,3523,4272,4982,5685,6361,7034,7731,8425,9081,9719,10339,10735,10923,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
CARR HILL,118,136,172,211,256,290,321,353,386,421,454,490,687,1353,2004,2644,3274,3880,4479,5066,5673,6219,6641,7037,7420,7789,8150,8407,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
CATTERICK CAMP,177,209,269,334,409,471,530,591,653,714,775,838,1021,1576,2131,2676,3207,3714,4219,4719,5232,5721,6142,6530,6909,7279,7540,7685,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
CLOSE,208,212,231,257,289,315,340,367,393,420,446,473,505,602,705,806,904,992,1081,1166,1254,1350,1441,1520,1597,1672,1746,1810,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
CONEYTHORPE,116,139,179,225,275,319,360,403,446,488,530,573,680,987,1295,1596,1887,2161,2435,2707,2988,3256,3488,3696,3898,4095,4252,4343,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
CONSETT,242,290,380,477,587,679,765,853,943,1033,1121,1213,1500,2369,3235,4086,4914,5704,6490,7265,8064,8806,9410,9961,10496,11013,11422,11672,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
CORPORATION STREET,69,72,82,95,110,121,132,143,154,166,177,188,219,318,414,508,598,682,766,843,922,1005,1082,1153,1222,1288,1354,1403,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
COWTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
CRAMLINGTON T1 T3,92,110,143,180,222,258,292,327,362,397,431,466,532,696,866,1031,1189,1334,1481,1627,1780,1927,2049,2152,2251,2347,2435,2498,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
CRAMLINGTON T2 T4,89,106,138,174,214,248,281,315,349,382,415,448,510,662,820,975,1123,1260,1398,1538,1684,1822,1933,2027,2116,2203,2283,2340,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
DARLEY,40,47,58,71,86,99,110,123,135,148,160,173,222,386,544,696,844,985,1125,1262,1400,1538,1668,1790,1911,2028,2112,2154,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
DARLINGTON 132/6KV,86,103,134,168,206,238,268,300,331,363,394,426,508,742,982,1220,1452,1673,1893,2113,2342,2548,2699,2834,2963,3088,3201,3278,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
DARLINGTON 33/11KV,111,130,163,199,240,274,307,341,375,410,444,480,601,998,1392,1781,2161,2526,2889,3246,3615,3950,4209,4448,4680,4903,5117,5273,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
DARLINGTON CENTRAL 33/11KV,64,76,100,125,154,179,202,225,249,273,297,321,378,536,699,859,1016,1165,1313,1455,1605,1743,1844,1933,2018,2100,2180,2238,NPgN,Primary,NG FES - Hydrogen Evolution,Number of heat pumps (total)
