Primary,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,17.8,17.944,18.248,18.688,19.294,20.101,21.005,21.881,22.673,23.388,24.034,24.646,25.688,27.446,29.08,30.614,32.041,33.375,34.32,35.178,35.995,36.819,37.671,38.515,39.345,40.153,40.948,41.532,NPgN,Primary,NG FES - Holistic Transition,Total peak demand (MW)
AMBERTON ROAD,24.79,29.467,31.333,34.183,34.653,35.267,35.976,36.677,37.328,37.948,38.524,39.077,39.919,41.55,43.072,44.507,45.845,47.098,48.018,48.85,49.641,50.432,51.236,52.033,52.799,53.618,54.422,55.097,NPgN,Primary,NG FES - Holistic Transition,Total peak demand (MW)
ANNFIELD 66/20KV,19.883,20.027,20.266,20.634,21.197,21.988,22.888,23.768,24.577,25.339,26.058,26.743,27.888,29.899,31.733,33.457,35.068,36.581,37.675,38.66,39.618,40.576,41.561,42.49,43.229,43.91,44.536,45.02,NPgN,Primary,NG FES - Holistic Transition,Total peak demand (MW)
ASHINGTON,15.922,15.944,16.026,16.192,16.509,16.957,17.435,17.858,18.227,18.564,18.881,19.186,19.828,21.266,22.606,23.879,25.079,26.21,27.12,27.93,28.708,29.502,30.343,31.164,31.869,32.527,33.129,33.581,NPgN,Primary,NG FES - Holistic Transition,Total peak demand (MW)
AYCLIFFE FORREST,0.592,4.126,4.119,4.113,4.107,4.101,4.095,4.09,4.085,4.08,4.075,4.071,4.067,4.063,4.059,4.056,4.052,4.049,4.046,4.043,4.04,4.037,4.034,4.031,4.029,4.026,4.023,4.021,NPgN,Primary,NG FES - Holistic Transition,Total peak demand (MW)
AYCLIFFE INDUSTRIAL,16.314,16.316,16.362,16.467,16.649,16.917,17.234,17.554,17.853,18.136,18.404,18.662,19.087,19.822,20.496,21.131,21.721,22.274,22.663,23.015,23.365,23.718,24.079,24.438,24.79,25.134,25.474,25.735,NPgN,Primary,NG FES - Holistic Transition,Total peak demand (MW)
BARDEN FRIAR,1.172,1.18,1.188,1.198,1.211,1.227,1.244,1.261,1.277,1.294,1.311,1.328,1.356,1.428,1.495,1.56,1.624,1.686,1.742,1.796,1.849,1.903,1.958,2.013,2.046,2.08,2.114,2.147,NPgN,Primary,NG FES - Holistic Transition,Total peak demand (MW)
BEDALE,17.031,17.391,17.489,17.63,17.856,18.136,18.437,18.732,19.024,19.321,19.616,19.909,20.358,21.307,22.197,23.066,23.896,24.686,25.387,26.028,26.646,27.272,27.923,28.551,28.946,29.293,29.595,29.884,NPgN,Primary,NG FES - Holistic Transition,Total peak demand (MW)
BELMONT,21.726,22.846,22.791,22.765,22.774,22.822,22.901,22.991,23.083,23.172,23.259,23.345,23.48,23.683,23.868,24.041,24.199,24.345,24.429,24.504,24.592,24.679,24.768,24.851,24.922,24.986,25.045,25.095,NPgN,Primary,NG FES - Holistic Transition,Total peak demand (MW)
BENSHAM,18.496,18.577,18.687,20.436,20.721,21.102,21.567,22.047,22.505,22.942,23.341,23.722,24.297,25.149,25.912,26.615,27.256,27.843,28.209,28.532,28.887,29.232,29.575,29.905,30.224,30.53,30.827,31.043,NPgN,Primary,NG FES - Holistic Transition,Total peak demand (MW)
