Primary,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,78.9,79.9,81.5,83.7,86.4,89.9,93.9,98,101.8,105.4,108.8,112,117.5,127.5,136.9,145.9,154.5,162.5,170.3,177.7,185,191.5,196.3,200.7,205.2,209.5,213.6,216.5,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation (percent - whole number)
AMBERTON ROAD,62.3,74.1,79,86.3,87.4,88.9,90.7,92.6,94.4,96.2,97.8,99.4,102,107.1,112.1,116.8,121.3,125.6,129.7,133.5,137.4,140.7,143,145.2,147.5,149.8,152,153.9,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation (percent - whole number)
ANNFIELD 66/20KV,71.3,72,73.1,74.6,76.5,79.2,82.4,85.7,88.8,91.8,94.7,97.5,102.3,111.5,119.9,128,135.6,142.8,149.6,156.1,162.6,168.4,173.5,178.1,182.7,187.1,190.6,193,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation (percent - whole number)
ASHINGTON,66.8,67.1,67.7,68.6,69.8,71.4,73.2,75.2,77,78.8,80.5,82.1,85.7,94.1,102,109.6,116.9,123.8,130.5,137,143.6,149.3,153.6,157.6,161.8,165.8,169.1,171.4,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation (percent - whole number)
AYCLIFFE FORREST,2.2,15.6,15.6,15.6,15.6,15.6,15.6,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation (percent - whole number)
AYCLIFFE INDUSTRIAL,90.1,90.4,91,91.8,93,94.6,96.5,98.6,100.6,102.5,104.4,106.3,109.4,115,120.4,125.6,130.6,135.4,140,144.5,149,152.8,155.1,157.5,160,162.4,164.7,166.5,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation (percent - whole number)
BARDEN FRIAR,212.5,214.8,217.3,220,223.1,226.7,230.7,234.9,239.1,243.4,247.7,252.2,259.5,276.1,292.1,307.5,322.6,337.4,351.8,366,380,393.9,407.5,421,434.3,447.4,458.1,465.8,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation (percent - whole number)
BEDALE,78.6,80.5,81.3,82.2,83.3,84.6,86,87.6,89.2,90.9,92.6,94.4,97.2,103.1,108.7,114.1,119.4,124.5,129.4,134.1,138.6,143.2,147.6,151.8,156,160,163.2,165.3,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation (percent - whole number)
BELMONT,68,71.7,71.7,71.9,72.1,72.5,73,73.5,74.1,74.6,75.2,75.8,76.6,77.5,78.5,79.4,80.3,81.1,81.9,82.7,83.5,84.2,84.9,85.6,86.2,86.8,87.4,87.9,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation (percent - whole number)
BENSHAM,61.1,61.5,62,67.9,68.9,70.2,71.8,73.5,75.1,76.8,78.3,79.7,82,85.6,89,92.2,95.2,98,100.6,103.1,105.6,107.9,109.6,111.2,112.8,114.3,115.7,116.8,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation (percent - whole number)
BENTON SQUARE,72.7,74,78.2,104.4,107.2,110.5,114.3,118.2,121.9,125.6,128.8,132,136.8,145.1,153,161.2,168.9,176.3,183.3,190.2,197,202.9,207.1,211,215,219,222.6,225.5,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation (percent - whole number)
BENWELL,62.4,62.8,64.8,65.7,67,68.7,70.7,72.9,74.9,76.9,78.7,80.5,83.5,88.7,93.6,98.3,102.7,106.8,110.7,114.4,117.9,121.3,124.2,127,129.6,132.1,134.5,136.3,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation (percent - whole number)
BILLINGHAM MARSH HOUSE,75.6,76.8,78.3,85.9,88.2,91.2,94.6,98.1,101.6,105.1,108.6,112,117.2,125.9,134.1,142.1,149.7,157,164,170.8,177.4,183.1,187.4,191.5,195.7,199.8,203.7,206.9,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation (percent - whole number)
BILLY MILL,70.2,70.7,73.3,74.4,76,78.1,80.6,83.3,85.8,88.2,90.5,92.7,96.5,103.3,109.7,115.8,121.7,127.4,132.7,137.8,142.9,147.2,150.6,153.7,156.9,160,162.9,165.2,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation (percent - whole number)
BIRTLEY GROVE 66/11KV,36.7,41.6,43.8,44.7,46,47.6,49.6,62.2,64.4,66.7,69,71.4,74.7,80.1,85.2,90,94.5,98.7,102.6,106.3,109.8,112.8,115,117,119,120.9,122.6,123.9,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation (percent - whole number)
BIRTLEY GROVE 66/20KV,39.8,39.7,39.7,39.8,39.9,40.2,40.4,40.8,41.1,41.5,41.9,42.3,43.1,44.9,46.6,48.3,49.9,51.4,52.9,54.3,55.7,56.9,57.9,58.8,59.8,60.7,61.6,62.3,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation (percent - whole number)
