Primary,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,1.9,2.091,2.169,2.189,2.194,2.199,2.208,2.231,2.256,2.316,2.399,2.438,2.52,2.588,2.61,2.674,2.728,2.801,2.87,2.965,3.076,3.221,3.342,3.506,3.684,3.787,3.98,4.147,4.36,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
AMBERTON ROAD,1.744,1.889,1.956,1.973,1.977,1.981,1.989,2.009,2.03,2.081,2.152,2.185,2.255,2.313,2.331,2.386,2.432,2.494,2.553,2.634,2.728,2.851,2.955,3.094,3.246,3.334,3.498,3.641,3.822,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
ANNFIELD 66/20KV,1.904,2.08,2.16,2.181,2.186,2.191,2.201,2.224,2.25,2.311,2.397,2.436,2.521,2.591,2.613,2.679,2.735,2.809,2.881,2.979,3.092,3.241,3.365,3.534,3.717,3.823,4.021,4.193,4.411,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
ASHINGTON,2.525,2.786,2.906,2.936,2.944,2.952,2.966,3.001,3.04,3.131,3.258,3.317,3.443,3.548,3.581,3.678,3.761,3.872,3.978,4.124,4.293,4.515,4.7,4.951,5.224,5.381,5.677,5.932,6.257,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
AYCLIFFE FORREST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
AYCLIFFE INDUSTRIAL,0.889,0.961,0.993,1.002,1.004,1.006,1.01,1.019,1.03,1.055,1.09,1.106,1.14,1.169,1.178,1.205,1.227,1.258,1.287,1.327,1.373,1.434,1.484,1.553,1.628,1.671,1.752,1.821,1.91,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
BARDEN FRIAR,0.061,0.068,0.072,0.072,0.073,0.073,0.073,0.074,0.075,0.078,0.082,0.083,0.087,0.09,0.091,0.094,0.096,0.099,0.102,0.106,0.111,0.117,0.123,0.13,0.138,0.142,0.15,0.158,0.167,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
BEDALE,1.463,1.58,1.633,1.647,1.65,1.653,1.66,1.675,1.693,1.733,1.79,1.816,1.872,1.919,1.933,1.977,2.014,2.063,2.11,2.175,2.25,2.349,2.431,2.543,2.664,2.735,2.866,2.98,3.124,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
BELMONT,1.428,1.551,1.608,1.622,1.626,1.63,1.636,1.653,1.671,1.714,1.774,1.802,1.862,1.911,1.926,1.972,2.012,2.064,2.114,2.183,2.262,2.367,2.455,2.573,2.702,2.776,2.916,3.036,3.19,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
BENSHAM,0.451,0.545,0.588,0.599,0.602,0.605,0.61,0.623,0.636,0.669,0.715,0.736,0.782,0.819,0.831,0.866,0.896,0.936,0.975,1.027,1.088,1.168,1.234,1.325,1.423,1.48,1.586,1.678,1.795,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
BENTON SQUARE,1.64,1.77,1.829,1.845,1.849,1.852,1.859,1.877,1.896,1.941,2.004,2.034,2.097,2.148,2.165,2.213,2.255,2.31,2.363,2.435,2.519,2.629,2.721,2.846,2.981,3.06,3.207,3.334,3.495,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
BENWELL,1.074,1.194,1.249,1.263,1.267,1.27,1.277,1.293,1.311,1.352,1.411,1.438,1.496,1.544,1.559,1.603,1.642,1.692,1.741,1.808,1.885,1.987,2.072,2.187,2.312,2.384,2.52,2.637,2.786,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
BILLINGHAM MARSH HOUSE,2.366,2.515,2.583,2.601,2.605,2.61,2.618,2.638,2.66,2.712,2.784,2.818,2.89,2.95,2.968,3.024,3.072,3.135,3.195,3.279,3.375,3.502,3.607,3.751,3.906,3.996,4.165,4.31,4.496,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
BILLY MILL,1.55,1.663,1.714,1.727,1.731,1.734,1.74,1.755,1.772,1.812,1.866,1.892,1.946,1.991,2.006,2.048,2.084,2.132,2.178,2.241,2.313,2.409,2.489,2.598,2.715,2.783,2.911,3.021,3.162,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
BIRTLEY GROVE 66/11KV,1.066,1.154,1.193,1.204,1.206,1.209,1.213,1.225,1.238,1.269,1.311,1.331,1.373,1.408,1.419,1.451,1.479,1.516,1.552,1.6,1.657,1.731,1.792,1.876,1.967,2.02,2.119,2.204,2.312,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
BIRTLEY GROVE 66/20KV,0.438,0.49,0.513,0.519,0.521,0.522,0.525,0.532,0.539,0.557,0.582,0.594,0.618,0.639,0.645,0.664,0.681,0.702,0.723,0.752,0.785,0.828,0.864,0.914,0.967,0.998,1.056,1.106,1.169,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
BLAYDON BURN,0.772,0.882,0.933,0.946,0.949,0.952,0.958,0.973,0.989,1.028,1.081,1.107,1.16,1.204,1.218,1.259,1.294,1.341,1.386,1.448,1.519,1.613,1.691,1.797,1.912,1.979,2.104,2.212,2.349,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
BLUCHER 33/11KV,1.209,1.329,1.384,1.398,1.402,1.405,1.412,1.428,1.446,1.488,1.546,1.573,1.631,1.679,1.694,1.739,1.777,1.829,1.877,1.944,2.022,2.124,2.209,2.325,2.45,2.522,2.658,2.776,2.925,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
BOLDON DOWNHILL,1.826,1.923,1.967,1.979,1.982,1.984,1.99,2.003,2.017,2.051,2.098,2.12,2.167,2.206,2.218,2.254,2.285,2.326,2.366,2.42,2.482,2.565,2.634,2.727,2.828,2.887,2.996,3.091,3.212,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,0.499,0.538,0.556,0.56,0.561,0.562,0.565,0.57,0.575,0.589,0.608,0.616,0.635,0.65,0.655,0.67,0.682,0.698,0.714,0.735,0.76,0.793,0.82,0.857,0.898,0.921,0.964,1.002,1.05,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
BOWESFIELD 33/11KV,0.625,0.717,0.759,0.769,0.772,0.775,0.78,0.792,0.806,0.838,0.882,0.903,0.947,0.984,0.995,1.029,1.059,1.098,1.135,1.186,1.245,1.323,1.388,1.476,1.571,1.626,1.73,1.82,1.934,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
BOWESFIELD 66/11KV,0.822,0.89,0.922,0.93,0.932,0.934,0.937,0.947,0.957,0.981,1.014,1.03,1.063,1.09,1.099,1.124,1.146,1.175,1.203,1.241,1.286,1.344,1.392,1.458,1.53,1.571,1.649,1.716,1.801,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
BRANCEPETH,2.475,2.671,2.761,2.784,2.79,2.796,2.806,2.833,2.862,2.93,3.026,3.07,3.165,3.244,3.268,3.342,3.404,3.488,3.568,3.677,3.804,3.971,4.11,4.299,4.504,4.622,4.844,5.036,5.281,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
BREAMISH STREET,0.16,0.208,0.229,0.235,0.236,0.238,0.24,0.247,0.254,0.27,0.293,0.304,0.327,0.346,0.352,0.37,0.385,0.405,0.424,0.451,0.482,0.522,0.556,0.601,0.651,0.679,0.733,0.78,0.839,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
BRENDA TRADING,1.939,2.109,2.186,2.206,2.212,2.217,2.226,2.249,2.274,2.333,2.416,2.454,2.536,2.604,2.626,2.689,2.743,2.815,2.884,2.979,3.089,3.233,3.354,3.517,3.695,3.797,3.989,4.155,4.367,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
CAMPLESHON ROAD,1.618,1.745,1.802,1.817,1.821,1.825,1.832,1.849,1.867,1.912,1.973,2.002,2.063,2.114,2.13,2.177,2.217,2.271,2.322,2.393,2.475,2.582,2.672,2.794,2.926,3.002,3.145,3.269,3.427,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
CARLEY HILL,1.336,1.482,1.549,1.566,1.571,1.575,1.583,1.602,1.624,1.675,1.746,1.779,1.849,1.908,1.926,1.981,2.027,2.089,2.148,2.23,2.324,2.448,2.552,2.692,2.844,2.932,3.097,3.24,3.422,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
CARLIN HOW T3 T4,1.776,1.928,1.997,2.015,2.019,2.024,2.032,2.052,2.075,2.128,2.201,2.236,2.309,2.37,2.389,2.446,2.494,2.559,2.62,2.705,2.803,2.932,3.039,3.185,3.344,3.435,3.607,3.755,3.944,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
CARR HILL,1.611,1.782,1.859,1.879,1.884,1.889,1.898,1.921,1.946,2.006,2.088,2.127,2.209,2.277,2.298,2.362,2.416,2.488,2.557,2.652,2.761,2.906,3.026,3.19,3.367,3.469,3.662,3.828,4.039,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
CATTERICK CAMP,1.537,1.729,1.816,1.838,1.844,1.85,1.86,1.886,1.914,1.981,2.074,2.117,2.21,2.286,2.311,2.382,2.443,2.524,2.602,2.709,2.832,2.995,3.131,3.315,3.514,3.63,3.846,4.034,4.272,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
CLOSE,0.165,0.2,0.216,0.22,0.221,0.222,0.224,0.229,0.234,0.246,0.263,0.271,0.288,0.302,0.307,0.32,0.331,0.346,0.36,0.38,0.402,0.432,0.457,0.491,0.527,0.548,0.588,0.622,0.666,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
CONEYTHORPE,1.071,1.162,1.204,1.215,1.217,1.22,1.225,1.237,1.251,1.283,1.327,1.348,1.392,1.428,1.44,1.474,1.503,1.542,1.579,1.63,1.689,1.767,1.831,1.919,2.015,2.07,2.173,2.262,2.376,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
CONSETT,2.244,2.444,2.536,2.559,2.565,2.571,2.582,2.609,2.638,2.708,2.805,2.851,2.947,3.027,3.053,3.127,3.191,3.276,3.357,3.469,3.598,3.768,3.91,4.102,4.311,4.431,4.658,4.853,5.102,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
CORPORATION STREET,0.123,0.16,0.176,0.18,0.182,0.183,0.185,0.19,0.195,0.208,0.225,0.234,0.251,0.266,0.271,0.284,0.296,0.312,0.326,0.347,0.37,0.401,0.427,0.462,0.501,0.523,0.564,0.6,0.645,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
COWTON,0.263,0.278,0.286,0.288,0.288,0.288,0.289,0.291,0.294,0.299,0.307,0.311,0.318,0.324,0.326,0.332,0.337,0.344,0.35,0.359,0.369,0.383,0.394,0.409,0.426,0.435,0.453,0.468,0.488,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
CRAMLINGTON T1 T3,0.703,0.769,0.799,0.807,0.809,0.811,0.815,0.824,0.833,0.856,0.888,0.903,0.935,0.961,0.97,0.994,1.015,1.043,1.07,1.107,1.15,1.206,1.252,1.316,1.384,1.424,1.499,1.563,1.645,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
CRAMLINGTON T2 T4,0.551,0.614,0.642,0.649,0.651,0.653,0.656,0.665,0.674,0.696,0.726,0.74,0.77,0.795,0.803,0.826,0.846,0.872,0.898,0.932,0.973,1.025,1.07,1.129,1.194,1.232,1.302,1.363,1.441,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
DARLEY,0.432,0.468,0.485,0.489,0.49,0.491,0.493,0.498,0.503,0.516,0.533,0.542,0.559,0.573,0.578,0.592,0.603,0.618,0.633,0.653,0.677,0.707,0.733,0.768,0.805,0.827,0.868,0.903,0.948,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
