Primary,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0.087,0.128,0.181,0.494,0.55,0.705,0.853,1.152,1.31,1.464,1.583,1.712,1.844,1.996,2.158,2.336,2.527,2.735,2.957,3.192,3.439,3.7,3.975,4.261,4.562,4.88,5.214,NPgN,Primary,NG FES - Holistic Transition,Total installed storage capacity (MW)
AMBERTON ROAD,0.031,0.094,0.15,0.216,0.833,0.881,1.129,1.349,1.884,2.096,2.289,2.391,2.5,2.613,2.742,2.88,3.031,3.193,3.371,3.559,3.759,3.969,4.191,4.424,4.668,4.924,5.194,5.478,NPgN,Primary,NG FES - Holistic Transition,Total installed storage capacity (MW)
ANNFIELD 66/20KV,0.037,0.107,0.167,0.24,0.868,0.925,1.186,1.419,1.971,2.201,2.413,2.535,2.666,2.802,2.957,3.123,3.305,3.5,3.713,3.939,4.18,4.433,4.699,4.98,5.273,5.581,5.905,6.247,NPgN,Primary,NG FES - Holistic Transition,Total installed storage capacity (MW)
ASHINGTON,0.055,0.14,0.211,0.301,0.909,0.994,1.275,1.536,2.097,2.368,2.626,2.809,3.006,3.21,3.442,3.691,3.964,4.256,4.575,4.915,5.275,5.654,6.054,6.475,6.914,7.376,7.862,8.374,NPgN,Primary,NG FES - Holistic Transition,Total installed storage capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,NPgN,Primary,NG FES - Holistic Transition,Total installed storage capacity (MW)
AYCLIFFE INDUSTRIAL,0.015,0.042,0.065,0.093,0.319,0.342,0.439,0.527,0.728,0.815,0.897,0.947,1.002,1.058,1.122,1.191,1.267,1.347,1.436,1.529,1.629,1.734,1.844,1.96,2.082,2.209,2.343,2.485,NPgN,Primary,NG FES - Holistic Transition,Total installed storage capacity (MW)
BARDEN FRIAR,0.002,0.009,0.015,0.023,0.12,0.122,0.157,0.186,0.266,0.291,0.313,0.318,0.323,0.329,0.336,0.343,0.351,0.359,0.368,0.378,0.388,0.399,0.41,0.422,0.435,0.448,0.462,0.477,NPgN,Primary,NG FES - Holistic Transition,Total installed storage capacity (MW)
BEDALE,0.025,0.091,0.15,0.218,0.958,0.997,1.278,1.52,2.146,2.371,2.571,2.654,2.744,2.836,2.942,3.055,3.179,3.311,3.456,3.61,3.774,3.946,4.127,4.318,4.518,4.727,4.948,5.181,NPgN,Primary,NG FES - Holistic Transition,Total installed storage capacity (MW)
BELMONT,0.026,0.077,0.122,0.175,0.645,0.686,0.879,1.052,1.463,1.632,1.787,1.874,1.968,2.065,2.176,2.294,2.424,2.563,2.715,2.877,3.048,3.229,3.419,3.62,3.829,4.049,4.28,4.524,NPgN,Primary,NG FES - Holistic Transition,Total installed storage capacity (MW)
BENSHAM,0.02,0.053,0.081,0.116,0.376,0.407,0.522,0.627,0.862,0.969,1.069,1.135,1.206,1.28,1.364,1.454,1.552,1.658,1.773,1.896,2.026,2.163,2.307,2.459,2.617,2.784,2.96,3.145,NPgN,Primary,NG FES - Holistic Transition,Total installed storage capacity (MW)
