Primary,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,289,405,585,837,1181,1528,1839,2108,2311,2474,2620,2769,3020,3660,4361,5041,5682,6282,6842,7321,7792,8309,8875,9499,10150,10810,11473,11987,NPgN,Primary,NPg Reference Scenario,Number of heat pumps (total)
AMBERTON ROAD,285,389,550,777,1088,1406,1690,1936,2119,2266,2397,2531,2733,3242,3816,4376,4905,5398,5859,6254,6638,7053,7507,8001,8514,9027,9544,9949,NPgN,Primary,NPg Reference Scenario,Number of heat pumps (total)
ANNFIELD 66/20KV,182,251,357,506,743,1002,1220,1389,1505,1595,1675,1757,2041,2902,3737,4533,5295,6019,6696,7280,7844,8453,9116,9727,10303,10818,11331,11732,NPgN,Primary,NPg Reference Scenario,Number of heat pumps (total)
ASHINGTON,258,357,508,719,1045,1410,1727,1972,2141,2271,2388,2507,2782,3564,4374,5152,5894,6594,7250,7800,8323,8902,9549,10193,10828,11402,11977,12425,NPgN,Primary,NPg Reference Scenario,Number of heat pumps (total)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,NPgN,Primary,NPg Reference Scenario,Number of heat pumps (total)
AYCLIFFE INDUSTRIAL,80,113,163,233,333,433,519,592,646,689,728,767,866,1146,1427,1696,1951,2191,2417,2611,2799,3004,3226,3467,3718,3970,4223,4418,NPgN,Primary,NPg Reference Scenario,Number of heat pumps (total)
BARDEN FRIAR,4,5,5,6,8,10,12,13,14,15,16,18,30,73,112,148,184,218,251,281,311,342,374,399,411,422,434,445,NPgN,Primary,NPg Reference Scenario,Number of heat pumps (total)
BEDALE,112,149,203,282,421,580,712,805,866,913,955,998,1161,1686,2194,2680,3149,3596,4015,4376,4726,5109,5527,5846,6062,6191,6313,6420,NPgN,Primary,NPg Reference Scenario,Number of heat pumps (total)
BELMONT,218,295,415,584,839,1118,1361,1553,1688,1793,1888,1985,2172,2698,3260,3807,4328,4818,5276,5663,6036,6449,6908,7335,7740,8081,8419,8690,NPgN,Primary,NPg Reference Scenario,Number of heat pumps (total)
BENSHAM,131,160,207,276,372,471,557,627,675,713,746,780,887,1209,1526,1831,2125,2402,2661,2889,3110,3342,3593,3867,4154,4444,4736,4961,NPgN,Primary,NPg Reference Scenario,Number of heat pumps (total)
BENTON SQUARE,318,442,637,907,1275,1656,2000,2297,2518,2696,2855,3018,3208,3631,4161,4685,5176,5630,6055,6408,6754,7147,7587,8061,8551,9017,9483,9851,NPgN,Primary,NPg Reference Scenario,Number of heat pumps (total)
BENWELL,171,220,299,412,568,730,874,995,1083,1152,1214,1278,1446,1944,2439,2917,3375,3806,4210,4566,4911,5279,5677,6110,6562,7020,7479,7836,NPgN,Primary,NPg Reference Scenario,Number of heat pumps (total)
BILLINGHAM MARSH HOUSE,114,160,231,332,488,638,760,861,933,989,1038,1089,1292,1901,2480,3030,3556,4054,4518,4919,5312,5741,6203,6701,7217,7716,8213,8593,NPgN,Primary,NPg Reference Scenario,Number of heat pumps (total)
BILLY MILL,79,107,150,210,303,396,471,532,576,609,639,669,833,1347,1822,2272,2704,3114,3498,3836,4165,4517,4893,5299,5720,6145,6571,6897,NPgN,Primary,NPg Reference Scenario,Number of heat pumps (total)
BIRTLEY GROVE 66/11KV,81,114,164,234,340,448,538,613,666,708,745,783,912,1295,1665,2016,2352,2670,2967,3224,3475,3743,4032,4333,4639,4939,5239,5470,NPgN,Primary,NPg Reference Scenario,Number of heat pumps (total)
BIRTLEY GROVE 66/20KV,73,101,145,206,291,377,454,520,569,609,644,681,757,968,1186,1396,1595,1782,1958,2111,2260,2418,2589,2777,2974,3173,3374,3530,NPgN,Primary,NPg Reference Scenario,Number of heat pumps (total)
BLAYDON BURN,185,255,363,515,722,932,1121,1285,1408,1508,1597,1688,1870,2367,2886,3386,3861,4306,4724,5088,5443,5825,6239,6677,7125,7579,8035,8390,NPgN,Primary,NPg Reference Scenario,Number of heat pumps (total)
BLUCHER 33/11KV,194,267,381,542,762,986,1187,1360,1490,1594,1687,1782,1972,2480,3013,3529,4019,4478,4907,5280,5644,6040,6470,6941,7431,7927,8426,8812,NPgN,Primary,NPg Reference Scenario,Number of heat pumps (total)
BOLDON DOWNHILL,69,97,139,199,289,378,452,514,558,593,624,655,806,1267,1696,2102,2491,2860,3205,3510,3805,4117,4452,4815,5193,5576,5959,6251,NPgN,Primary,NPg Reference Scenario,Number of heat pumps (total)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,116,159,226,321,457,602,729,835,912,973,1029,1085,1141,1264,1431,1598,1756,1902,2038,2146,2255,2382,2528,2652,2760,2820,2876,2926,NPgN,Primary,NPg Reference Scenario,Number of heat pumps (total)
BOWESFIELD 33/11KV,159,214,298,415,575,738,885,1014,1111,1190,1262,1335,1452,1769,2116,2456,2781,3086,3374,3627,3876,4144,4436,4753,5085,5420,5758,6031,NPgN,Primary,NPg Reference Scenario,Number of heat pumps (total)
