Primary,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,17.8,17.96,18.135,18.41,18.817,19.264,19.818,20.544,21.27,21.987,22.668,23.351,24.052,24.741,25.391,25.997,26.579,27.121,27.645,28.138,28.618,29.045,29.309,29.519,29.718,29.904,30.086,30.251,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
AMBERTON ROAD,24.88,29.586,31.418,34.195,34.541,34.906,35.361,35.955,36.558,37.154,37.727,38.308,38.934,39.545,40.147,40.706,41.241,41.76,42.247,42.701,43.137,43.521,43.773,43.99,44.188,44.442,44.686,44.891,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
ANNFIELD 66/20KV,19.893,20.022,20.182,20.438,20.834,21.309,21.873,22.541,23.213,23.887,24.55,25.216,25.899,26.561,27.203,27.811,28.392,28.94,29.451,29.926,30.402,30.831,31.162,31.44,31.7,31.942,32.171,32.375,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
ASHINGTON,16.018,16.073,16.144,16.274,16.474,16.691,16.976,17.381,17.793,18.197,18.599,19.005,19.437,19.865,20.275,20.671,21.052,21.42,21.776,22.114,22.469,22.787,22.994,23.175,23.346,23.511,23.672,23.816,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
AYCLIFFE FORREST,0.591,4.129,4.126,4.123,4.12,4.117,4.115,4.113,4.111,4.109,4.108,4.106,4.105,4.104,4.103,4.102,4.102,4.101,4.101,4.1,4.1,4.1,4.1,4.099,4.099,4.099,4.099,4.099,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
AYCLIFFE INDUSTRIAL,16.322,16.365,16.424,16.528,16.692,16.884,17.118,17.408,17.705,18.005,18.303,18.605,18.919,19.228,19.53,19.82,20.101,20.369,20.624,20.864,21.108,21.33,21.504,21.655,21.797,21.932,22.062,22.181,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
BARDEN FRIAR,1.174,1.191,1.207,1.226,1.246,1.268,1.291,1.314,1.338,1.362,1.386,1.411,1.438,1.464,1.491,1.518,1.543,1.569,1.594,1.619,1.644,1.668,1.692,1.716,1.74,1.763,1.786,1.807,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
BEDALE,17.065,17.529,17.716,17.93,18.176,18.429,18.713,19.047,19.398,19.756,20.121,20.495,20.895,21.302,21.722,22.163,22.603,23.039,23.465,23.875,24.276,24.653,24.985,25.301,25.604,25.899,26.186,26.457,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
BELMONT,21.705,22.937,22.983,23.055,23.153,23.269,23.403,23.556,23.72,23.886,24.056,24.232,24.415,24.601,24.79,24.979,25.168,25.355,25.537,25.712,25.901,26.083,26.253,26.416,26.573,26.726,26.875,27.019,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
BENSHAM,18.505,18.595,18.69,20.403,20.636,20.893,21.207,21.578,21.96,22.348,22.717,23.092,23.473,23.845,24.203,24.543,24.869,25.171,25.451,25.706,25.997,26.259,26.47,26.648,26.811,26.961,27.1,27.227,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
BENTON SQUARE,17.321,17.559,18.374,24.457,24.934,25.416,26.004,26.783,27.576,28.368,29.08,29.803,30.562,31.319,32.056,32.882,33.691,34.473,35.232,35.954,36.672,37.324,37.795,38.215,38.616,39,39.375,39.726,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
BENWELL,18.021,18.108,18.61,18.785,19.047,19.38,19.774,20.246,20.73,21.208,21.654,22.103,22.57,23.026,23.472,23.934,24.379,24.808,25.21,25.582,25.937,26.254,26.496,26.704,26.894,27.07,27.234,27.38,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
BILLINGHAM MARSH HOUSE,18.033,18.297,18.583,20.319,20.787,21.329,21.946,22.65,23.372,24.112,24.848,25.593,26.35,27.108,27.859,28.612,29.352,30.05,30.721,31.35,31.947,32.496,32.962,33.367,33.748,34.11,34.457,34.787,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
BILLY MILL,16.789,16.876,17.412,17.591,17.865,18.209,18.611,19.068,19.534,19.997,20.442,20.888,21.339,21.777,22.201,22.633,23.05,23.436,23.799,24.135,24.449,24.734,24.967,25.16,25.339,25.506,25.663,25.807,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
BIRTLEY GROVE 66/11KV,10.957,12.389,12.939,13.114,13.378,13.698,14.094,17.718,18.243,18.791,19.352,19.928,20.527,21.136,21.756,22.379,22.993,23.573,24.113,24.599,25.05,25.437,25.734,25.968,26.163,26.327,26.468,26.589,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
BIRTLEY GROVE 66/20KV,11.121,11.12,11.121,11.139,11.176,11.21,11.264,11.354,11.455,11.557,11.662,11.772,11.897,12.028,12.165,12.299,12.432,12.563,12.689,12.807,12.937,13.053,13.136,13.21,13.278,13.339,13.398,13.449,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
BLAYDON BURN,11.805,11.84,11.878,14.035,14.143,14.235,14.377,14.617,14.879,15.152,15.43,15.721,16.047,16.387,16.738,17.085,17.432,17.776,18.105,18.41,18.727,19.004,19.187,19.347,19.486,19.611,19.727,19.825,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
BLUCHER 33/11KV,14.182,14.408,15.259,15.54,15.934,16.399,16.955,17.631,18.329,19.036,19.723,20.419,21.13,21.832,22.507,23.178,23.82,24.421,24.984,25.502,25.99,26.422,26.74,27.003,27.239,27.452,27.646,27.819,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
BOLDON DOWNHILL,5.698,7.778,8.349,8.464,8.646,8.87,9.135,9.45,9.766,10.087,10.402,10.718,11.036,11.345,11.64,11.929,12.206,12.458,12.694,12.908,13.11,13.288,13.417,13.513,13.6,13.678,13.75,13.814,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,4.193,4.285,4.381,4.516,4.699,4.909,5.17,5.51,5.876,6.263,6.647,7.045,7.467,7.903,8.352,8.792,9.229,9.657,10.056,10.421,10.752,11.035,11.237,11.402,11.54,11.69,11.825,11.944,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
BOWESFIELD 33/11KV,9.562,9.753,11.438,11.711,12.077,12.498,12.997,13.603,14.236,14.889,15.527,16.18,16.857,17.538,18.221,18.93,19.626,20.305,20.939,21.525,22.071,22.554,22.929,23.253,23.541,23.798,24.035,24.248,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
BOWESFIELD 66/11KV,14.122,14.352,14.601,14.897,15.26,15.625,16.052,16.59,17.137,17.684,18.185,18.695,19.227,19.759,20.277,20.828,21.369,21.903,22.423,22.924,23.425,23.89,24.254,24.595,24.924,25.244,25.558,25.858,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
BRANCEPETH,14.463,14.569,14.98,15.17,15.445,15.756,16.126,16.576,17.031,17.483,17.933,18.384,18.857,19.319,19.77,20.195,20.603,20.994,21.363,21.709,22.061,22.379,22.619,22.83,23.029,23.217,23.397,23.554,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
BREAMISH STREET,9.599,9.64,10.598,12.762,12.881,13.039,13.223,13.432,13.645,13.859,14.049,14.242,14.44,14.632,14.817,15.02,15.216,15.411,15.591,15.76,15.918,16.063,16.183,16.293,16.394,16.489,16.577,16.657,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
BRENDA TRADING,21.096,21.199,21.335,22.828,23.221,23.697,24.289,25.021,25.781,26.554,27.322,28.102,28.91,29.712,30.506,31.281,32.033,32.747,33.408,34.008,34.557,35.029,35.365,35.627,35.85,36.078,36.283,36.457,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
CAMPLESHON ROAD,16.702,16.811,17.16,19.043,19.358,19.726,20.152,20.657,21.165,21.668,22.162,22.657,23.163,23.653,24.123,24.588,25.032,25.461,25.862,26.239,26.603,26.936,27.194,27.422,27.637,27.839,28.032,28.209,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
CARLEY HILL,16.079,16.135,16.218,16.385,16.662,17.002,17.409,17.893,18.383,18.876,19.356,19.839,20.332,20.809,21.269,21.732,22.176,22.593,22.98,23.334,23.667,23.962,24.181,24.359,24.52,24.664,24.796,24.911,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
CARLIN HOW T3 T4,15.631,15.728,15.853,16.06,16.384,16.783,17.258,17.826,18.397,18.962,19.509,20.058,20.625,21.172,21.701,22.233,22.741,23.23,23.684,24.11,24.522,24.895,25.177,25.423,25.652,25.866,26.068,26.246,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
CARR HILL,17.392,17.474,17.591,17.798,18.137,18.562,19.072,19.657,20.251,20.845,21.421,21.996,22.574,23.133,23.669,24.181,24.669,25.113,25.522,25.889,26.261,26.588,26.843,27.037,27.211,27.366,27.507,27.631,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
CATTERICK CAMP,16.572,16.835,17.124,17.489,17.963,18.466,19.043,19.718,20.398,21.079,21.828,22.582,23.358,24.118,24.864,25.587,26.289,26.977,27.631,28.256,28.864,29.43,29.902,30.341,30.761,31.164,31.555,31.921,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
CLOSE,22.416,22.428,23.118,23.14,23.207,23.309,23.426,23.567,23.714,23.865,24,24.14,24.329,24.512,24.721,24.929,25.13,25.33,25.52,25.703,25.881,26.047,26.191,26.332,26.465,26.593,26.716,26.802,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
CONEYTHORPE,12.959,14.553,16.493,16.667,16.919,17.215,17.563,17.983,18.409,18.84,19.255,19.675,20.11,20.537,20.954,21.343,21.718,22.082,22.422,22.739,23.04,23.308,23.507,23.679,23.836,24.01,24.175,24.325,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
CONSETT,22.444,22.574,23.224,23.462,23.815,24.218,24.706,25.314,25.94,26.566,27.193,27.828,28.495,29.154,29.804,30.427,31.03,31.613,32.161,32.67,33.186,33.649,33.999,34.306,34.587,34.847,35.092,35.308,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
CORPORATION STREET,12.482,12.463,12.453,12.467,12.511,12.587,12.68,12.786,12.895,13.006,13.109,13.213,13.322,13.425,13.526,13.634,13.737,13.839,13.932,14.017,14.096,14.169,14.231,14.288,14.339,14.385,14.427,14.463,NPgN,Primary,NG FES - Counterfactual,Total peak demand with ToUT (MW)
