Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,81.9,79.2,79.1,79.3,80.4,81.7,83.5,86,92.4,97.1,102.2,106.9,112.4,118,124,129.6,134.8,139.9,144.7,148.6,152.1,155.6,159,161.8,164.5,167.2,169.8,172.4,172.3,172.1,NPgN,Primary,NPg Planning Scenario,Peak utilisation with customer flexibility (percent - whole number)
AMBERTON ROAD,57.6,56.9,56.6,56.5,56.7,57.1,57.8,58.8,60.7,62.6,64.5,66.2,68.3,70.5,72.7,75,77.1,79.1,81.2,83,84.6,86.2,87.8,89.2,90.7,92.1,93.4,94.8,95.1,95.1,NPgN,Primary,NPg Planning Scenario,Peak utilisation with customer flexibility (percent - whole number)
ANNFIELD 66/20KV,72.2,70,69.9,70.1,70.7,71.6,73,74.9,78.9,82.3,86,89,92.9,96.9,101.2,105.4,109.3,112.9,116.6,119.6,122.4,124.9,127.6,129.7,131.9,133.9,136,138,138.1,138,NPgN,Primary,NPg Planning Scenario,Peak utilisation with customer flexibility (percent - whole number)
ASHINGTON,73.5,71.8,71.9,72.5,73.6,75.1,77,79.6,84.6,89,93.6,97.4,102.3,107.3,112.8,118,122.8,127.2,131.6,135.2,138.5,141.6,144.8,147.3,149.9,152.4,154.9,157.3,157.5,157.4,NPgN,Primary,NPg Planning Scenario,Peak utilisation with customer flexibility (percent - whole number)
AYCLIFFE FORREST,7.9,7.7,7.6,7.5,7.4,7.3,7.2,7.1,7,7,6.9,6.8,6.8,6.7,6.7,6.6,6.6,6.5,6.5,6.4,6.4,6.3,6.3,6.3,6.2,6.2,6.2,6.1,6.1,6,NPgN,Primary,NPg Planning Scenario,Peak utilisation with customer flexibility (percent - whole number)
AYCLIFFE INDUSTRIAL,64.3,62.5,62.5,62.6,63.2,63.7,64.6,65.9,68.2,70.5,72.7,74.9,77.5,80.1,82.9,85.6,88,90.3,92.5,94.2,95.8,97.3,98.7,99.9,101.1,102.1,103.2,104.3,104.2,104.2,NPgN,Primary,NPg Planning Scenario,Peak utilisation with customer flexibility (percent - whole number)
BARDEN FRIAR,14.4,14.1,14.2,14.4,14.6,16.1,17.9,20.4,18.3,19.8,19.8,20.2,21.6,22.3,23.2,24.2,24.9,25.9,26.5,27.1,27.6,28.2,28.3,28.9,29,29.5,29.6,29.9,30.1,30.2,NPgN,Primary,NPg Planning Scenario,Peak utilisation with customer flexibility (percent - whole number)
BEDALE,84.7,84.6,84.3,84.1,84,84.7,86,87.9,88.5,90.7,92.5,94.5,97.1,99.5,101.9,104.4,106.8,109.2,111.4,113.3,115,116.8,118.3,119.9,121.2,122.6,123.9,125.2,125.7,126.1,NPgN,Primary,NPg Planning Scenario,Peak utilisation with customer flexibility (percent - whole number)
BELMONT,68.2,69.8,69.3,69.1,69,69.1,69.4,70.1,72,73.5,75.2,76.7,78.6,80.5,82.5,84.5,86.2,88,89.7,91.1,92.3,93.5,94.7,95.7,96.7,97.6,98.6,99.5,99.4,99.3,NPgN,Primary,NPg Planning Scenario,Peak utilisation with customer flexibility (percent - whole number)
BENSHAM,56.7,55.4,55.1,54.9,54.9,55.1,55.4,56,57.2,58.5,59.7,60.7,62.1,63.5,65.1,66.6,67.9,69.2,70.4,71.3,72.2,73,73.7,74.3,74.9,75.3,75.9,76.4,76.3,76.1,NPgN,Primary,NPg Planning Scenario,Peak utilisation with customer flexibility (percent - whole number)
BENTON SQUARE,72.7,71.7,71.9,72.4,73.5,74.8,76.6,78.9,82.9,86.7,90.6,94.1,98.3,102.6,107.2,111.7,115.7,119.7,123.5,126.7,129.6,132.3,135.1,137.5,139.8,142,144.3,146.5,147,147.3,NPgN,Primary,NPg Planning Scenario,Peak utilisation with customer flexibility (percent - whole number)
BENWELL,58.3,56.7,56.5,56.6,57,57.7,58.7,59.9,63,65.3,67.9,70.2,72.9,75.7,78.5,81.3,83.9,86.5,89,91.1,93,94.9,96.7,98.3,99.8,101.3,102.8,104.3,104.6,104.8,NPgN,Primary,NPg Planning Scenario,Peak utilisation with customer flexibility (percent - whole number)
BILLINGHAM MARSH HOUSE,57.8,56.7,56.9,57.3,58.3,59.6,61.4,63.9,68,71.9,76,80,84.4,88.8,93.4,97.9,102,106,109.7,112.9,115.7,118.3,120.8,122.9,124.8,126.6,128.4,130.1,130.4,130.5,NPgN,Primary,NPg Planning Scenario,Peak utilisation with customer flexibility (percent - whole number)
