Primary,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0.081,0.12,0.171,0.265,0.413,0.67,0.837,1.151,1.303,1.393,1.495,1.606,1.72,1.851,1.99,2.143,2.307,2.485,2.675,2.877,3.089,3.313,3.548,3.793,4.051,4.323,4.609,NPgN,Primary,NG FES - Electric Engagement,Total installed storage capacity (MW)
AMBERTON ROAD,0.031,0.092,0.149,0.215,0.367,0.625,1.108,1.382,1.967,2.183,2.26,2.347,2.441,2.538,2.649,2.768,2.898,3.037,3.189,3.351,3.522,3.703,3.892,4.093,4.301,4.521,4.751,4.995,NPgN,Primary,NG FES - Electric Engagement,Total installed storage capacity (MW)
ANNFIELD 66/20KV,0.037,0.103,0.164,0.236,0.395,0.662,1.158,1.444,2.044,2.276,2.368,2.472,2.585,2.702,2.836,2.978,3.134,3.302,3.485,3.679,3.885,4.102,4.33,4.571,4.821,5.085,5.363,5.656,NPgN,Primary,NG FES - Electric Engagement,Total installed storage capacity (MW)
ASHINGTON,0.055,0.132,0.201,0.287,0.458,0.733,1.224,1.528,2.126,2.391,2.53,2.686,2.855,3.03,3.231,3.444,3.679,3.929,4.204,4.495,4.804,5.129,5.472,5.832,6.208,6.604,7.02,7.459,NPgN,Primary,NG FES - Electric Engagement,Total installed storage capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,NPgN,Primary,NG FES - Electric Engagement,Total installed storage capacity (MW)
AYCLIFFE INDUSTRIAL,0.015,0.04,0.063,0.091,0.15,0.248,0.427,0.532,0.75,0.837,0.875,0.919,0.965,1.014,1.069,1.128,1.193,1.262,1.338,1.418,1.504,1.594,1.688,1.788,1.892,2.001,2.116,2.237,NPgN,Primary,NG FES - Electric Engagement,Total installed storage capacity (MW)
BARDEN FRIAR,0.002,0.009,0.016,0.024,0.045,0.083,0.157,0.196,0.285,0.313,0.317,0.321,0.326,0.331,0.337,0.343,0.35,0.357,0.365,0.373,0.382,0.391,0.401,0.411,0.422,0.433,0.445,0.458,NPgN,Primary,NG FES - Electric Engagement,Total installed storage capacity (MW)
BEDALE,0.025,0.091,0.153,0.223,0.394,0.694,1.267,1.579,2.27,2.505,2.568,2.639,2.716,2.796,2.887,2.984,3.09,3.204,3.328,3.461,3.601,3.748,3.904,4.068,4.238,4.418,4.607,4.806,NPgN,Primary,NG FES - Electric Engagement,Total installed storage capacity (MW)
BELMONT,0.026,0.075,0.12,0.173,0.291,0.49,0.86,1.072,1.52,1.691,1.757,1.831,1.912,1.995,2.091,2.192,2.304,2.424,2.554,2.693,2.84,2.995,3.158,3.33,3.509,3.697,3.895,4.104,NPgN,Primary,NG FES - Electric Engagement,Total installed storage capacity (MW)
BENSHAM,0.02,0.05,0.078,0.112,0.182,0.296,0.504,0.629,0.882,0.988,1.038,1.094,1.155,1.219,1.291,1.368,1.453,1.543,1.642,1.747,1.859,1.977,2.1,2.23,2.366,2.509,2.659,2.818,NPgN,Primary,NG FES - Electric Engagement,Total installed storage capacity (MW)
BENTON SQUARE,0.028,0.072,0.113,0.163,0.267,0.441,0.759,0.947,1.332,1.488,1.558,1.636,1.72,1.808,1.908,2.015,2.132,2.258,2.395,2.541,2.695,2.858,3.029,3.21,3.397,3.596,3.804,4.023,NPgN,Primary,NG FES - Electric Engagement,Total installed storage capacity (MW)
BENWELL,0.026,0.071,0.113,0.163,0.271,0.452,0.787,0.982,1.388,1.546,1.612,1.686,1.765,1.848,1.943,2.043,2.154,2.272,2.401,2.539,2.685,2.838,2.999,3.169,3.346,3.533,3.729,3.936,NPgN,Primary,NG FES - Electric Engagement,Total installed storage capacity (MW)
BILLINGHAM MARSH HOUSE,0.032,0.065,0.094,0.132,0.197,0.294,0.453,0.566,0.762,0.873,0.952,1.042,1.138,1.238,1.353,1.475,1.609,1.752,1.909,2.075,2.252,2.437,2.633,2.839,3.053,3.279,3.517,3.768,NPgN,Primary,NG FES - Electric Engagement,Total installed storage capacity (MW)
BILLY MILL,0.024,0.059,0.091,0.13,0.21,0.339,0.571,0.712,0.995,1.116,1.177,1.246,1.32,1.397,1.485,1.579,1.682,1.792,1.913,2.041,2.177,2.32,2.47,2.628,2.793,2.968,3.15,3.343,NPgN,Primary,NG FES - Electric Engagement,Total installed storage capacity (MW)
