Primary,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,17.6,17.823,18.213,18.801,19.534,20.271,20.989,21.79,22.511,23.12,23.649,24.146,24.99,26.627,28.159,29.589,30.918,32.147,33.259,34.227,35.134,36.063,37.021,38.001,38.995,39.975,40.939,41.661,NPgN,Primary,NPg Reference Scenario,Total peak demand with ToUT (MW)
AMBERTON ROAD,24.705,29.379,31.294,34.262,34.836,35.44,36.046,36.73,37.366,37.918,38.411,38.879,39.556,41.081,42.523,43.882,45.152,46.332,47.413,48.362,49.255,50.151,51.059,51.952,52.838,53.781,54.711,55.493,NPgN,Primary,NPg Reference Scenario,Total peak demand with ToUT (MW)
ANNFIELD 66/20KV,19.748,19.86,20.148,20.616,21.261,21.947,22.629,23.398,24.109,24.747,25.334,25.888,26.848,28.801,30.566,32.213,33.749,35.18,36.48,37.607,38.687,39.779,40.903,41.886,42.791,43.603,44.393,45.015,NPgN,Primary,NPg Reference Scenario,Total peak demand with ToUT (MW)
ASHINGTON,15.898,15.939,16.066,16.349,16.782,17.325,17.823,18.303,18.709,19.016,19.294,19.559,20.159,21.661,23.051,24.363,25.598,26.753,27.811,28.713,29.57,30.465,31.414,32.311,33.172,33.948,34.711,35.297,NPgN,Primary,NPg Reference Scenario,Total peak demand with ToUT (MW)
AYCLIFFE FORREST,0.589,4.122,4.114,4.106,4.099,4.093,4.087,4.081,4.076,4.071,4.067,4.062,4.058,4.055,4.051,4.047,4.044,4.041,4.038,4.035,4.032,4.029,4.026,4.023,4.021,4.018,4.016,4.013,NPgN,Primary,NPg Reference Scenario,Total peak demand with ToUT (MW)
AYCLIFFE INDUSTRIAL,16.227,16.204,16.259,16.403,16.611,16.833,17.063,17.347,17.615,17.851,18.069,18.276,18.623,19.314,19.947,20.539,21.088,21.597,22.057,22.457,22.849,23.245,23.649,24.057,24.468,24.872,25.271,25.582,NPgN,Primary,NPg Reference Scenario,Total peak demand with ToUT (MW)
BARDEN FRIAR,1.169,1.175,1.182,1.193,1.206,1.222,1.238,1.256,1.273,1.289,1.305,1.321,1.35,1.428,1.499,1.567,1.633,1.697,1.758,1.816,1.872,1.928,1.986,2.035,2.071,2.106,2.142,2.177,NPgN,Primary,NPg Reference Scenario,Total peak demand with ToUT (MW)
BEDALE,16.981,17.326,17.408,17.566,17.813,18.123,18.429,18.741,19.043,19.322,19.597,19.869,20.314,21.322,22.252,23.153,24.012,24.825,25.584,26.253,26.893,27.552,28.241,28.799,29.235,29.58,29.915,30.23,NPgN,Primary,NPg Reference Scenario,Total peak demand with ToUT (MW)
BELMONT,21.618,22.694,22.593,22.553,22.538,22.558,22.598,22.679,22.763,22.828,22.891,22.954,23.05,23.219,23.374,23.516,23.647,23.767,23.874,23.965,24.069,24.171,24.275,24.366,24.451,24.526,24.599,24.661,NPgN,Primary,NPg Reference Scenario,Total peak demand with ToUT (MW)
BENSHAM,18.403,18.457,18.572,20.355,20.661,20.968,21.303,21.717,22.121,22.492,22.822,23.134,23.6,24.385,25.084,25.723,26.303,26.828,27.289,27.684,28.101,28.509,28.916,29.318,29.718,30.107,30.486,30.772,NPgN,Primary,NPg Reference Scenario,Total peak demand with ToUT (MW)
BENTON SQUARE,17.126,17.404,18.418,24.789,25.573,26.364,27.155,28.018,28.822,29.543,30.147,30.726,31.509,32.876,34.196,35.557,36.824,37.999,39.074,40.019,40.917,41.833,42.773,43.703,44.628,45.502,46.361,47.068,NPgN,Primary,NPg Reference Scenario,Total peak demand with ToUT (MW)
BENWELL,17.94,18.039,18.642,18.993,19.426,19.928,20.44,21.022,21.582,22.072,22.502,22.911,23.539,24.741,25.831,26.881,27.858,28.766,29.593,30.324,31.014,31.703,32.4,33.102,33.809,34.507,35.194,35.742,NPgN,Primary,NPg Reference Scenario,Total peak demand with ToUT (MW)
BILLINGHAM MARSH HOUSE,17.916,18.111,18.43,20.282,20.877,21.522,22.187,22.957,23.71,24.406,25.064,25.697,26.613,28.174,29.587,30.912,32.139,33.271,34.297,35.198,36.052,36.908,37.774,38.646,39.522,40.36,41.181,41.83,NPgN,Primary,NPg Reference Scenario,Total peak demand with ToUT (MW)
BILLY MILL,16.702,16.768,17.381,17.691,18.095,18.517,18.952,19.474,19.976,20.425,20.829,21.209,21.855,23.096,24.201,25.253,26.231,27.138,27.96,28.683,29.366,30.049,30.74,31.436,32.136,32.827,33.506,34.028,NPgN,Primary,NPg Reference Scenario,Total peak demand with ToUT (MW)
BIRTLEY GROVE 66/11KV,10.885,12.369,13.043,13.402,13.87,14.387,14.963,18.786,19.498,20.201,20.89,21.557,22.401,23.677,24.818,25.857,26.795,27.635,28.372,29,29.587,30.161,30.734,31.282,31.817,32.328,32.827,33.212,NPgN,Primary,NPg Reference Scenario,Total peak demand with ToUT (MW)
