Primary,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,2.1,2.234,2.355,2.496,2.648,2.806,2.972,3.191,3.412,3.593,3.816,4.025,4.165,4.395,4.607,4.862,5.115,5.403,5.696,6.02,6.315,6.654,6.986,7.261,7.626,7.942,8.298,8.373,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
AMBERTON ROAD,4.44,4.59,4.746,4.941,5.166,5.408,5.67,5.991,6.281,6.542,6.838,7.122,7.094,7,6.967,7.05,7.143,7.227,7.308,7.412,7.716,8.157,8.572,8.941,9.419,9.815,10.259,10.447,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
ANNFIELD 66/20KV,15.904,16.08,16.255,16.454,16.669,16.897,17.143,17.45,17.74,17.992,18.286,18.565,18.738,18.986,19.226,19.526,19.829,20.164,20.504,20.878,21.252,21.693,22.116,22.486,22.97,23.388,23.84,23.994,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
ASHINGTON,10.316,10.555,10.785,11.048,11.33,11.629,11.947,12.352,12.744,13.078,13.475,13.843,13.928,14.064,14.208,14.468,14.732,15.02,15.311,15.644,16.078,16.636,17.159,17.623,18.204,18.731,19.258,19.369,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
AYCLIFFE INDUSTRIAL,1.254,1.323,1.389,1.465,1.548,1.635,1.729,1.848,1.961,2.058,2.173,2.282,2.363,2.484,2.597,2.73,2.863,3.013,3.164,3.33,3.481,3.654,3.82,3.965,4.155,4.32,4.497,4.553,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BARDEN FRIAR,0.07,0.081,0.095,0.113,0.135,0.159,0.186,0.217,0.243,0.268,0.294,0.321,0.345,0.375,0.403,0.435,0.468,0.503,0.539,0.577,0.612,0.651,0.687,0.721,0.765,0.802,0.84,0.863,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BEDALE,8.501,8.676,8.863,9.061,9.269,9.494,9.739,10.037,10.299,10.54,10.565,10.511,10.353,10.303,10.21,10.183,10.136,10.061,9.96,9.889,9.708,10.059,10.363,10.642,10.968,11.232,11.522,11.629,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BELMONT,1.754,1.877,2.004,2.162,2.342,2.536,2.745,3.004,3.239,3.449,3.69,3.92,4.091,4.326,4.551,4.818,5.087,5.384,5.686,6.013,6.324,6.683,7.022,7.324,7.718,8.052,8.415,8.56,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BENSHAM,0.551,0.634,0.713,0.809,0.916,1.029,1.15,1.303,1.45,1.576,1.724,1.865,1.97,2.126,2.273,2.445,2.617,2.81,3.007,3.221,3.417,3.641,3.857,4.041,4.283,4.488,4.719,4.79,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BENTON SQUARE,2.044,2.158,2.265,2.386,2.513,2.647,2.789,2.972,3.154,3.305,3.488,3.661,3.781,3.972,4.149,4.36,4.569,4.807,5.048,5.314,5.557,5.834,6.105,6.331,6.631,6.888,7.178,7.25,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BENWELL,1.199,1.303,1.402,1.52,1.651,1.789,1.936,2.124,2.307,2.462,2.647,2.821,2.947,3.141,3.322,3.535,3.748,3.988,4.231,4.499,4.742,5.021,5.291,5.52,5.821,6.077,6.366,6.448,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BILLINGHAM MARSH HOUSE,13.358,13.466,13.558,13.667,13.782,13.901,14.025,14.191,14.367,14.505,14.681,14.844,14.94,15.111,15.268,15.462,15.653,15.874,16.098,16.348,16.58,16.848,17.115,17.332,17.622,17.878,18.164,18.207,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BILLY MILL,4.131,4.223,4.306,4.403,4.508,4.617,4.732,4.883,5.034,5.159,5.311,5.454,5.301,5.062,4.885,4.806,4.732,4.639,4.539,4.454,4.575,4.807,5.034,5.222,5.472,5.688,5.931,5.985,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BIRTLEY GROVE 66/11KV,1.25,1.327,1.4,1.483,1.573,1.668,1.769,1.898,2.024,2.13,2.258,2.378,2.464,2.598,2.722,2.869,3.016,3.181,3.35,3.534,3.703,3.896,4.082,4.242,4.452,4.635,4.835,4.89,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BIRTLEY GROVE 66/20KV,4.98,5.033,5.086,5.147,5.213,5.283,5.359,5.453,5.541,5.618,5.708,5.793,5.413,4.8,4.314,3.966,3.63,3.227,2.81,2.391,2.363,2.497,2.625,2.737,2.882,3.005,3.142,3.191,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BLAYDON BURN,12.043,12.176,12.311,12.459,12.614,12.781,12.961,13.184,13.388,13.57,13.778,13.939,13.656,13.283,12.918,12.677,12.445,12.163,11.874,11.579,11.554,11.635,11.622,11.592,11.352,11.074,10.87,10.608,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BLUCHER 33/11KV,1.395,1.494,1.583,1.683,1.788,1.896,2.01,2.161,2.315,2.44,2.595,2.739,2.835,2.994,3.141,3.318,3.493,3.693,3.896,4.122,4.327,4.563,4.795,4.987,5.241,5.462,5.711,5.759,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BOLDON DOWNHILL,2.111,2.185,2.25,2.329,2.414,2.502,2.595,2.717,2.842,2.943,3.068,3.185,3.263,3.392,3.51,3.653,3.795,3.957,4.121,4.303,4.469,4.659,4.846,5,5.205,5.383,5.584,5.625,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,1.063,1.133,1.205,1.27,1.328,1.39,1.458,1.541,1.617,1.684,1.761,1.835,1.895,1.978,2.056,2.146,2.237,2.337,2.44,2.55,2.651,2.765,2.874,2.971,3.098,3.206,3.322,3.37,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BOWESFIELD 33/11KV,0.807,0.92,1.044,1.195,1.369,1.558,1.765,2.013,2.231,2.433,2.656,2.872,3.057,3.301,3.533,3.797,4.065,4.357,4.656,4.974,5.267,5.598,5.907,6.185,6.545,6.838,7.168,7.328,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BOWESFIELD 66/11KV,0.904,0.975,1.048,1.139,1.242,1.354,1.475,1.623,1.757,1.878,2.015,2.147,2.254,2.401,2.541,2.702,2.864,3.043,3.226,3.422,3.602,3.807,4,4.171,4.393,4.577,4.784,4.869,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BRANCEPETH,16.332,16.523,16.712,16.935,17.179,17.439,17.719,18.07,18.399,18.686,19.021,19.338,19.58,19.579,19.901,20.291,20.672,21.107,21.539,22.021,22.452,22.955,23.435,23.856,24.408,24.883,25.397,25.573,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BREAMISH STREET,0.845,0.911,0.98,1.053,1.13,1.213,1.303,1.412,1.51,1.599,1.7,1.796,1.876,1.985,2.088,2.206,2.325,2.456,2.59,2.733,2.865,3.015,3.155,3.28,3.441,3.574,3.725,3.79,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BRENDA TRADING,2.13,2.293,2.457,2.658,2.886,3.13,3.392,3.719,4.021,4.287,4.595,4.888,5.118,5.447,5.756,6.115,6.475,6.876,7.284,7.725,8.13,8.59,9.028,9.411,9.909,10.327,10.796,10.97,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
CAMPLESHON ROAD,1.999,2.13,2.259,2.397,2.541,2.694,2.858,3.065,3.262,3.432,3.632,3.822,3.963,4.175,4.373,4.605,4.837,5.097,5.362,5.651,5.915,6.217,6.507,6.756,7.083,7.363,7.673,7.77,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
CARLEY HILL,1.592,1.733,1.872,2.034,2.211,2.399,2.602,2.856,3.096,3.304,3.548,3.778,3.955,4.213,4.455,4.738,5.021,5.338,5.66,6.011,6.331,6.697,7.047,7.349,7.743,8.076,8.45,8.577,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
CARLIN HOW T3 T4,4.321,4.476,4.635,4.834,5.063,5.308,5.574,5.901,6.199,6.466,6.771,7.061,7.296,7.623,7.932,8.288,8.647,9.044,9.448,9.884,10.284,10.739,11.169,11.549,12.043,12.457,12.917,13.101,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
CARR HILL,2.014,2.172,2.321,2.487,2.661,2.845,3.04,3.291,3.538,3.745,3.995,4.23,4.397,4.657,4.899,5.187,5.473,5.797,6.126,6.488,6.818,7.196,7.563,7.872,8.28,8.631,9.024,9.126,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
CATTERICK CAMP,2.163,2.364,2.564,2.79,3.034,3.294,3.574,3.924,4.251,4.537,4.865,5.174,5.411,5.758,6.082,6.462,6.843,7.268,7.699,8.168,8.595,9.095,9.572,10.006,10.581,11.104,11.614,11.793,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
CLOSE,0.712,0.8,0.907,1.036,1.187,1.353,1.537,1.751,1.923,2.094,2.274,2.45,2.62,2.822,3.018,3.233,3.455,3.69,3.932,4.184,4.417,4.679,4.915,5.139,5.423,5.645,5.897,6.065,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
CONEYTHORPE,7.208,7.329,7.452,7.576,7.7,7.833,7.976,8.154,8.318,8.464,8.631,8.764,8.811,8.937,8.999,9.088,9.178,9.277,9.38,9.487,9.574,9.666,9.691,9.705,9.584,9.439,9.336,9.167,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
CONSETT,24.617,24.811,25.006,25.238,25.497,25.774,26.072,26.443,26.789,27.092,27.44,27.768,28.007,27.609,27.92,28.314,28.692,29.131,29.554,30.04,30.469,30.998,31.501,31.945,32.526,33.025,33.564,33.757,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
CORPORATION STREET,1.147,1.185,1.226,1.276,1.335,1.398,1.467,1.551,1.626,1.694,1.71,1.709,1.683,1.685,1.68,1.692,1.7,1.704,1.701,1.708,1.686,1.8,1.905,1.999,2.121,2.221,2.334,2.383,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
COWTON,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
CRAMLINGTON T1 T3,0.743,0.8,0.856,0.926,1.005,1.09,1.181,1.295,1.402,1.496,1.605,1.709,1.788,1.904,2.012,2.139,2.266,2.409,2.553,2.711,2.855,3.019,3.177,3.318,3.505,3.673,3.841,3.897,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
CRAMLINGTON T2 T4,0.704,0.758,0.81,0.876,0.95,1.03,1.116,1.223,1.325,1.413,1.516,1.614,1.688,1.797,1.9,2.02,2.14,2.274,2.41,2.559,2.695,2.85,2.999,3.133,3.309,3.469,3.628,3.681,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
DARLEY,0.545,0.591,0.642,0.706,0.78,0.861,0.949,1.055,1.146,1.232,1.326,1.417,1.496,1.599,1.698,1.809,1.922,2.045,2.171,2.304,2.427,2.566,2.695,2.813,2.967,3.094,3.231,3.302,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
DARLINGTON 132/6KV,0.917,0.973,1.029,1.098,1.174,1.256,1.344,1.453,1.554,1.644,1.747,1.845,1.922,2.032,2.136,2.256,2.377,2.511,2.648,2.796,2.931,3.086,3.232,3.361,3.528,3.67,3.827,3.885,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
