Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.022,0.022,0.022,0.022,0.023,0.023,0.023,0.023,0.024,0.024,0.024,0.025,0.025,0.026,0.026,0.026,0.027,0.027,0.028,0.028,0.029,0.029,NPgN,Primary,NPg Planning Scenario,Total installed wind capacity (MW)
AMBERTON ROAD,0.024,0.024,0.024,0.025,0.025,0.025,0.026,0.026,0.027,0.027,0.028,0.029,0.029,0.03,0.031,0.032,0.033,0.034,0.035,0.036,0.037,0.039,0.04,0.041,0.043,0.044,0.046,0.047,0.049,0.051,NPgN,Primary,NPg Planning Scenario,Total installed wind capacity (MW)
ANNFIELD 66/20KV,7.912,7.913,7.915,7.916,7.918,7.92,7.922,7.925,7.928,7.931,7.935,7.938,7.943,7.947,7.952,7.957,7.962,7.967,7.973,7.979,7.986,7.992,7.999,8.007,8.014,8.022,8.03,8.039,8.048,8.057,NPgN,Primary,NPg Planning Scenario,Total installed wind capacity (MW)
ASHINGTON,3.29,3.296,3.302,3.308,3.316,3.325,3.335,3.347,3.36,3.374,3.39,3.406,3.424,3.444,3.464,3.486,3.51,3.534,3.56,3.587,3.615,3.645,3.676,3.708,3.742,3.776,3.813,3.85,3.889,3.929,NPgN,Primary,NPg Planning Scenario,Total installed wind capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NPg Planning Scenario,Total installed wind capacity (MW)
AYCLIFFE INDUSTRIAL,0.005,0.005,0.006,0.006,0.007,0.008,0.009,0.01,0.011,0.013,0.014,0.016,0.017,0.019,0.021,0.023,0.025,0.028,0.03,0.033,0.036,0.038,0.041,0.044,0.047,0.051,0.054,0.058,0.061,0.065,NPgN,Primary,NPg Planning Scenario,Total installed wind capacity (MW)
BARDEN FRIAR,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.004,0.004,0.005,0.006,0.006,0.007,0.007,0.008,0.009,0.01,0.011,0.012,0.013,0.014,0.015,0.016,0.017,0.018,0.02,0.021,0.022,0.024,0.025,NPgN,Primary,NPg Planning Scenario,Total installed wind capacity (MW)
BEDALE,0.026,0.028,0.03,0.032,0.034,0.037,0.04,0.043,0.047,0.052,0.056,0.061,0.067,0.073,0.079,0.086,0.093,0.1,0.108,0.117,0.125,0.134,0.144,0.154,0.164,0.174,0.185,0.197,0.209,0.221,NPgN,Primary,NPg Planning Scenario,Total installed wind capacity (MW)
BELMONT,0.008,0.009,0.01,0.011,0.012,0.014,0.016,0.017,0.02,0.022,0.024,0.027,0.03,0.033,0.037,0.04,0.044,0.048,0.052,0.057,0.061,0.066,0.071,0.076,0.082,0.088,0.094,0.1,0.106,0.113,NPgN,Primary,NPg Planning Scenario,Total installed wind capacity (MW)
BENSHAM,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.007,0.007,0.008,0.009,0.009,0.01,0.011,0.011,0.012,0.013,NPgN,Primary,NPg Planning Scenario,Total installed wind capacity (MW)
