Primary,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.023,0.023,0.024,0.024,0.024,0.024,0.024,0.025,0.025,0.025,0.027,0.027,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
AMBERTON ROAD,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.008,0.012,0.012,0.013,0.013,0.013,0.013,0.013,0.015,0.017,0.018,0.018,0.018,0.018,0.018,0.022,0.023,0.023,0.028,0.028,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
ANNFIELD 66/20KV,5.503,5.503,5.503,5.503,5.503,5.503,5.503,5.503,5.508,5.526,5.526,5.535,5.535,5.535,5.535,5.535,5.544,5.553,5.562,5.562,5.562,5.562,5.562,5.58,5.589,5.589,5.616,5.616,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
ASHINGTON,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.264,3.344,3.344,3.383,3.383,3.383,3.383,3.383,3.423,3.463,3.502,3.502,3.502,3.502,3.502,3.582,3.621,3.621,3.74,3.74,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
AYCLIFFE INDUSTRIAL,0,0,0,0,0,0,0,0,0.002,0.01,0.01,0.014,0.014,0.014,0.014,0.014,0.017,0.021,0.025,0.025,0.025,0.025,0.025,0.032,0.036,0.036,0.047,0.047,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
BARDEN FRIAR,0,0,0,0,0,0,0,0,0.001,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.007,0.008,0.01,0.01,0.01,0.01,0.01,0.013,0.014,0.014,0.018,0.018,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
BEDALE,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.018,0.042,0.042,0.055,0.055,0.055,0.055,0.055,0.067,0.079,0.091,0.091,0.091,0.091,0.091,0.115,0.127,0.127,0.163,0.163,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
BELMONT,0,0,0,0,0,0,0,0,0.004,0.017,0.017,0.023,0.023,0.023,0.023,0.023,0.03,0.036,0.043,0.043,0.043,0.043,0.043,0.056,0.062,0.062,0.082,0.082,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
BENSHAM,0,0,0,0,0,0,0,0,0,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.005,0.005,0.005,0.005,0.005,0.006,0.007,0.007,0.009,0.009,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
BENTON SQUARE,0,0,0,0,0,0,0,0,0.001,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.007,0.007,0.007,0.009,0.009,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
BENWELL,0,0,0,0,0,0,0,0,0,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.005,0.005,0.006,0.006,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
BILLINGHAM MARSH HOUSE,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.007,0.011,0.011,0.012,0.012,0.012,0.012,0.012,0.014,0.016,0.018,0.018,0.018,0.018,0.018,0.021,0.023,0.023,0.028,0.028,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
BILLY MILL,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.004,0.004,0.005,0.005,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
BIRTLEY GROVE 66/11KV,0,0,0,0,0,0,0,0,0.002,0.007,0.007,0.01,0.01,0.01,0.01,0.01,0.013,0.016,0.019,0.019,0.019,0.019,0.019,0.025,0.027,0.027,0.036,0.036,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
BIRTLEY GROVE 66/20KV,0,0,0,0,0,0,0,0,0.001,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.005,0.006,0.007,0.007,0.007,0.007,0.007,0.009,0.01,0.01,0.014,0.014,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
BLAYDON BURN,0,0,0,0,0,0,0,0,0.001,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.004,0.005,0.006,0.006,0.006,0.006,0.006,0.007,0.008,0.008,0.011,0.011,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
