Primary,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,289,381,518,704,945,1191,1419,1598,1748,1890,2025,2167,2441,3142,3872,4579,5250,5888,6499,7058,7610,8191,8821,9477,10137,10799,11465,11980,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
AMBERTON ROAD,285,366,489,657,876,1102,1312,1475,1611,1740,1862,1990,2217,2793,3398,3986,4543,5070,5575,6036,6489,6957,7463,7984,8504,9019,9537,9943,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
ANNFIELD 66/20KV,182,237,318,428,599,786,949,1061,1147,1227,1305,1385,1659,2500,3327,4128,4902,5650,6368,7024,7665,8335,9062,9710,10293,10811,11325,11726,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
ASHINGTON,258,336,452,608,841,1104,1339,1502,1627,1743,1854,1970,2256,3068,3891,4689,5455,6189,6893,7525,8133,8778,9491,10173,10816,11393,11970,12419,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
AYCLIFFE INDUSTRIAL,80,107,145,197,268,339,403,452,492,530,566,604,703,987,1270,1544,1806,2057,2298,2519,2736,2962,3206,3459,3713,3966,4220,4415,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
BARDEN FRIAR,4,5,5,6,8,9,11,12,13,14,15,16,26,65,102,138,173,207,241,273,305,338,373,398,411,422,434,445,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
BEDALE,112,141,183,241,344,460,559,621,668,711,752,795,952,1462,1963,2451,2925,3385,3828,4230,4624,5042,5496,5840,6059,6189,6311,6419,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
BELMONT,218,278,369,494,675,876,1056,1183,1283,1377,1467,1561,1763,2325,2904,3468,4008,4525,5020,5465,5900,6360,6867,7322,7733,8076,8415,8686,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
BENSHAM,131,150,184,233,300,370,433,479,515,549,581,615,721,1042,1359,1668,1968,2255,2531,2788,3039,3296,3571,3859,4149,4440,4732,4958,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
BENTON SQUARE,318,415,563,763,1021,1291,1545,1742,1906,2061,2209,2363,2594,3120,3697,4259,4786,5281,5755,6181,6599,7047,7541,8043,8541,9009,9476,9846,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
BENWELL,171,208,266,349,458,574,680,761,826,887,946,1008,1176,1676,2174,2658,3126,3575,4005,4406,4800,5206,5643,6097,6554,7013,7474,7831,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
BILLINGHAM MARSH HOUSE,114,151,205,280,391,498,588,654,707,757,804,854,1046,1632,2203,2753,3286,3800,4292,4742,5188,5659,6165,6685,7208,7709,8207,8588,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
BILLY MILL,79,101,134,178,245,312,367,408,440,470,499,529,678,1161,1622,2069,2503,2923,3327,3701,4070,4454,4864,5287,5713,6139,6566,6893,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
BIRTLEY GROVE 66/11KV,81,108,146,198,274,351,418,467,507,544,579,616,740,1114,1481,1834,2176,2504,2820,3110,3395,3690,4008,4323,4633,4934,5236,5467,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
BIRTLEY GROVE 66/20KV,73,95,129,174,234,296,353,397,433,468,501,536,615,834,1056,1272,1477,1674,1862,2037,2208,2384,2574,2771,2970,3170,3371,3528,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
BLAYDON BURN,185,240,323,435,581,731,871,980,1072,1159,1242,1328,1519,2039,2570,3084,3575,4044,4494,4910,5320,5745,6202,6662,7117,7572,8029,8385,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
BLUCHER 33/11KV,194,251,338,457,611,770,917,1032,1128,1219,1306,1396,1595,2130,2677,3207,3715,4199,4662,5091,5513,5954,6431,6925,7422,7920,8419,8806,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
BOLDON DOWNHILL,69,91,124,168,232,296,351,392,425,455,485,515,654,1089,1507,1911,2303,2682,3045,3384,3716,4059,4425,4804,5187,5570,5955,6248,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,116,150,201,270,367,470,565,635,692,746,798,852,925,1088,1274,1456,1627,1786,1939,2072,2204,2350,2513,2648,2757,2818,2875,2925,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
BOWESFIELD 33/11KV,159,202,266,353,466,583,692,779,852,922,989,1059,1186,1533,1895,2248,2587,2909,3220,3508,3794,4091,4411,4743,5079,5415,5754,6027,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
BOWESFIELD 66/11KV,190,250,339,455,603,755,898,1012,1108,1199,1287,1378,1490,1719,1982,2238,2474,2692,2902,3086,3264,3468,3694,3929,4163,4397,4631,4820,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
BRANCEPETH,218,278,363,488,805,1215,1535,1687,1767,1836,1901,1972,2368,3708,5019,6294,7540,8752,9910,10901,11838,12862,14027,14969,15703,16039,16348,16597,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
BREAMISH STREET,129,137,157,188,227,270,309,338,360,381,401,422,464,593,726,859,991,1113,1231,1341,1448,1558,1677,1801,1926,2052,2178,2279,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
BRENDA TRADING,188,244,326,440,597,754,895,1002,1091,1174,1253,1336,1585,2326,3057,3764,4444,5099,5727,6308,6880,7471,8104,8761,9424,10089,10756,11271,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
CAMPLESHON ROAD,164,208,274,366,498,636,756,845,917,984,1049,1117,1335,2003,2660,3297,3913,4507,5075,5600,6120,6665,7249,7707,8071,8363,8647,8872,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
CARLEY HILL,126,159,210,279,374,471,557,623,678,729,778,829,1021,1621,2204,2767,3313,3841,4347,4820,5286,5766,6279,6808,7341,7876,8411,8823,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
CARLIN HOW T3 T4,176,224,294,393,611,884,1103,1218,1288,1350,1410,1473,1781,2802,3799,4768,5713,6631,7509,8280,9017,9811,10698,11353,11820,12063,12292,12479,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
CARR HILL,118,146,190,251,345,440,518,574,617,657,694,734,969,1737,2468,3173,3861,4528,5168,5765,6351,6949,7587,8249,8917,9587,10258,10769,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
CATTERICK CAMP,177,226,298,396,559,747,910,1015,1093,1165,1234,1307,1510,2133,2758,3368,3958,4527,5075,5564,6039,6547,7108,7559,7913,8156,8391,8589,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
CLOSE,208,222,249,294,350,411,468,510,544,577,608,642,675,787,912,1040,1166,1281,1392,1495,1596,1700,1811,1927,2043,2160,2276,2379,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
CONEYTHORPE,116,150,199,266,359,455,543,609,664,716,766,818,940,1290,1645,1989,2320,2637,2942,3222,3499,3791,4105,4383,4611,4817,5020,5184,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
CONSETT,242,316,423,570,808,1074,1303,1454,1568,1673,1773,1878,2201,3176,4146,5086,5992,6867,7705,8457,9188,9962,10812,11573,12253,12812,13364,13796,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
CORPORATION STREET,69,76,88,108,134,163,191,210,224,238,251,265,301,420,538,655,769,877,982,1079,1174,1270,1373,1480,1589,1699,1809,1896,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
COWTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
CRAMLINGTON T1 T3,92,119,160,214,286,363,434,489,534,576,617,660,733,916,1111,1301,1481,1651,1814,1962,2107,2261,2431,2600,2767,2925,3084,3209,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
CRAMLINGTON T2 T4,89,115,154,206,275,349,417,469,513,554,593,634,701,868,1047,1221,1386,1542,1691,1826,1958,2100,2255,2411,2563,2708,2853,2967,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
DARLEY,40,50,64,84,121,160,192,213,228,243,257,272,329,523,712,896,1074,1247,1413,1564,1713,1870,2040,2175,2271,2342,2410,2468,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
DARLINGTON 132/6KV,86,112,149,200,269,340,404,453,494,532,569,607,698,954,1213,1463,1703,1932,2152,2354,2552,2760,2984,3204,3418,3622,3826,3986,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
DARLINGTON 33/11KV,111,139,179,233,310,389,459,514,558,600,640,682,823,1275,1716,2142,2556,2954,3337,3693,4044,4404,4787,5176,5562,5946,6330,6630,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
DARLINGTON CENTRAL 33/11KV,64,83,111,149,200,253,301,338,369,398,426,455,519,692,869,1040,1204,1360,1509,1647,1783,1922,2073,2230,2388,2547,2707,2831,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
DARLINGTON EAST,197,256,344,465,628,798,955,1073,1171,1263,1352,1444,1599,1980,2390,2789,3166,3522,3862,4168,4470,4794,5149,5459,5727,5941,6150,6319,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
DARLINGTON WEST,139,179,240,323,437,552,655,733,797,858,915,976,1164,1727,2280,2815,3331,3828,4304,4744,5178,5630,6115,6609,7098,7585,8071,8446,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
DENWICK,246,303,385,502,726,1004,1237,1371,1460,1540,1618,1700,2013,3043,4058,5044,6004,6933,7824,8617,9378,10189,11088,11772,12218,12457,12682,12873,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
DUNSTON 66/11KV,43,54,69,91,128,165,194,214,229,242,256,269,363,684,989,1283,1570,1848,2115,2363,2607,2859,3128,3397,3662,3923,4183,4383,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
DUNSTON 66/20KV,146,189,252,340,500,688,843,936,999,1058,1113,1172,1414,2186,2942,3673,4384,5072,5730,6319,6887,7490,8156,8747,9276,9699,10115,10437,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
DURHAM EAST,104,130,170,222,290,360,427,480,526,569,611,654,718,886,1067,1244,1413,1571,1725,1865,2005,2153,2312,2476,2641,2806,2971,3108,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
EASTFIELD,247,319,427,576,790,1023,1232,1382,1501,1613,1720,1831,2064,2694,3348,3983,4590,5168,5722,6218,6704,7223,7794,8266,8665,8978,9283,9529,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
EASTGATE CEMENT,21,25,30,37,59,87,107,117,122,126,130,135,201,446,675,898,1116,1330,1536,1725,1910,2104,2311,2468,2554,2619,2684,2737,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
EDUCATIONAL PRECINCT,95,104,121,146,180,215,248,272,292,310,328,346,409,622,829,1032,1231,1422,1605,1778,1948,2122,2308,2498,2690,2881,3073,3224,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
ELVINGTON,21,26,32,42,65,88,104,112,118,123,128,133,182,360,529,693,854,1011,1160,1296,1433,1577,1730,1849,1934,1976,2012,2044,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
FARADAY STREET,254,319,419,556,731,913,1086,1222,1336,1443,1547,1654,1866,2438,3028,3602,4151,4672,5173,5639,6097,6566,7071,7597,8129,8662,9198,9619,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
FAWDON T1 & SEATON BURN T1,332,430,578,778,1062,1379,1669,1875,2038,2190,2336,2489,2814,3691,4597,5478,6320,7124,7894,8588,9262,9980,10774,11406,11919,12343,12763,13099,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
FISHBURN,240,311,414,557,847,1219,1530,1699,1804,1899,1989,2084,2455,3633,4800,5934,7037,8106,9129,10021,10866,11779,12812,13537,14033,14220,14388,14531,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
FLATWORTH CENTRAL,72,89,115,151,203,258,307,343,372,398,424,451,533,787,1037,1280,1516,1743,1961,2164,2363,2563,2777,3001,3228,3457,3688,3868,NPgN,Primary,NG FES - Electric Engagement,Number of heat pumps (total)
