Primary,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,17.5,17.504,17.636,17.789,18.043,18.317,18.637,18.98,19.391,19.788,20.142,20.48,20.81,21.415,21.987,22.579,23.211,23.882,24.6,25.337,26.142,27.036,28.051,29.205,30.487,31.858,33.316,34.87,36.407,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand with CF (MW)
AMBERTON ROAD,23.504,23.494,28.175,28.825,30.476,30.917,31.417,31.945,32.556,33.13,33.666,34.183,34.689,35.424,36.733,38.044,39.323,40.592,41.854,43.093,44.356,45.662,47.052,48.547,50.13,51.819,53.569,55.396,57.223,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand with CF (MW)
ANNFIELD 66/20KV,19.908,19.953,20.178,20.42,20.762,21.113,21.517,21.944,22.416,22.895,23.335,23.766,24.187,24.905,25.712,26.422,27.132,27.856,28.604,29.35,30.136,30.98,31.91,32.943,34.07,35.269,36.533,37.872,39.199,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand with CF (MW)
ASHINGTON,17.91,17.862,17.969,18.12,18.366,18.631,18.939,19.262,19.613,19.962,20.274,20.573,20.857,21.457,22.241,22.898,23.555,24.233,24.931,25.636,26.391,27.216,28.144,29.194,30.353,31.593,32.909,34.311,35.698,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand with CF (MW)
AYCLIFFE FORREST,0.122,0.121,3.625,3.624,3.623,3.622,3.621,3.621,3.62,3.62,3.619,3.619,3.619,3.619,3.619,3.619,3.619,3.619,3.619,3.619,3.619,3.619,3.619,3.619,3.619,3.619,3.619,3.619,3.619,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand with CF (MW)
AYCLIFFE INDUSTRIAL,17.07,17.017,17.032,17.049,17.1,17.161,17.25,17.357,17.492,17.637,17.778,17.927,18.081,18.352,18.699,19.019,19.346,19.68,20.024,20.367,20.723,21.098,21.503,21.944,22.42,22.922,23.446,23.997,24.544,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand with CF (MW)
BARDEN FRIAR,0.939,0.95,0.974,1.001,1.032,1.062,1.093,1.126,1.161,1.196,1.23,1.264,1.297,1.341,1.4,1.448,1.492,1.535,1.576,1.615,1.653,1.693,1.734,1.778,1.824,1.871,1.92,1.971,2.02,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand with CF (MW)
BEDALE,17.266,17.34,17.751,17.895,18.08,18.281,18.518,18.78,19.089,19.407,19.73,20.069,20.426,20.863,21.415,21.979,22.54,23.103,23.663,24.212,24.763,25.323,25.903,26.51,27.144,27.805,28.486,29.191,29.896,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand with CF (MW)
BELMONT,22.48,22.452,23.671,23.733,23.842,23.95,24.104,24.278,24.503,24.733,24.948,25.175,25.415,25.793,26.251,26.725,27.215,27.721,28.244,28.77,29.319,29.903,30.533,31.218,31.956,32.737,33.553,34.409,35.262,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand with CF (MW)
BENSHAM,18.049,17.997,18.127,18.299,18.539,18.78,19.047,19.348,19.698,20.059,20.409,20.748,21.083,21.613,22.196,22.685,23.158,23.632,24.112,24.579,25.063,25.577,26.144,26.774,27.462,28.191,28.964,29.786,30.592,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand with CF (MW)
