Primary,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,596,903,1476,2327,3327,4431,5609,7019,8377,9696,10962,12165,13286,14354,15337,16232,17028,17738,18324,18820,19240,19594,19887,20101,20279,20429,20558,20670,NPgN,Primary,NPg Reference Scenario,Number of electric cars and vans (hybrid and full electric)
AMBERTON ROAD,365,575,976,1596,2361,3238,4177,5303,6389,7443,8454,9416,10317,11176,11966,12686,13325,13896,14367,14767,15105,15391,15627,15800,15944,16064,16169,16259,NPgN,Primary,NPg Reference Scenario,Number of electric cars and vans (hybrid and full electric)
ANNFIELD 66/20KV,511,784,1299,2073,3001,4040,5151,6481,7762,9006,10201,11336,12396,13406,14336,15183,15935,16607,17161,17630,18027,18363,18641,18843,19012,19154,19276,19382,NPgN,Primary,NPg Reference Scenario,Number of electric cars and vans (hybrid and full electric)
ASHINGTON,464,746,1289,2140,3213,4457,5789,7390,8935,10433,11871,13238,14522,15746,16872,17897,18808,19621,20293,20862,21344,21752,22089,22335,22541,22713,22862,22991,NPgN,Primary,NPg Reference Scenario,Number of electric cars and vans (hybrid and full electric)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NPg Reference Scenario,Number of electric cars and vans (hybrid and full electric)
AYCLIFFE INDUSTRIAL,262,391,631,980,1382,1818,2283,2838,3372,3891,4390,4864,5304,5722,6108,6460,6772,7051,7281,7475,7640,7779,7894,7977,8047,8106,8156,8200,NPgN,Primary,NPg Reference Scenario,Number of electric cars and vans (hybrid and full electric)
BARDEN FRIAR,17,25,40,63,90,119,150,187,223,258,291,323,353,381,407,430,451,470,486,499,510,519,527,532,537,541,544,547,NPgN,Primary,NPg Reference Scenario,Number of electric cars and vans (hybrid and full electric)
BEDALE,278,425,704,1121,1621,2179,2776,3490,4179,4847,5489,6099,6668,7210,7709,8164,8568,8929,9227,9479,9692,9872,10021,10130,10221,10297,10362,10420,NPgN,Primary,NPg Reference Scenario,Number of electric cars and vans (hybrid and full electric)
BELMONT,534,783,1239,1887,2606,3363,4170,5130,6053,6951,7814,8633,9389,10109,10773,11378,11916,12395,12791,13125,13408,13646,13843,13987,14106,14206,14293,14368,NPgN,Primary,NPg Reference Scenario,Number of electric cars and vans (hybrid and full electric)
BENSHAM,229,362,618,1012,1502,2065,2667,3389,4086,4762,5411,6028,6606,7158,7665,8127,8537,8904,9206,9463,9680,9863,10015,10126,10218,10296,10363,10421,NPgN,Primary,NPg Reference Scenario,Number of electric cars and vans (hybrid and full electric)
