Primary,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,17.3,17.193,17.284,17.597,18.162,18.81,19.229,19.534,19.888,20.234,20.495,20.729,20.94,21.269,22.402,23.568,24.689,25.738,26.603,27.327,27.964,28.849,29.835,30.811,31.77,32.718,33.658,34.587,35.277,NPgN,Primary,NPg Best View,Total peak demand with CF (MW)
AMBERTON ROAD,23.27,23.232,27.842,28.65,30.602,31.435,32.041,32.548,33.14,33.729,34.246,34.727,35.17,35.658,37.448,39.217,40.895,42.459,43.8,44.987,46.05,47.336,48.707,50.059,51.382,52.686,53.976,55.248,56.327,NPgN,Primary,NPg Best View,Total peak demand with CF (MW)
ANNFIELD 66/20KV,19.8,19.795,19.952,20.263,20.8,21.407,21.852,22.238,22.691,23.146,23.522,23.873,24.198,24.629,25.728,26.799,27.818,28.777,29.606,30.318,30.943,31.758,32.629,33.489,34.334,35.171,36.002,36.825,37.465,NPgN,Primary,NPg Best View,Total peak demand with CF (MW)
ASHINGTON,17.767,17.674,17.723,17.928,18.349,18.847,19.182,19.453,19.778,20.099,20.345,20.566,20.764,21.087,22.164,23.241,24.282,25.272,26.133,26.883,27.556,28.41,29.321,30.223,31.111,31.991,32.864,33.73,34.387,NPgN,Primary,NPg Best View,Total peak demand with CF (MW)
AYCLIFFE FORREST,0.122,0.121,3.624,3.622,3.621,3.619,3.618,3.617,3.616,3.615,3.614,3.613,3.612,3.612,3.611,3.61,3.61,3.609,3.609,3.608,3.608,3.607,3.607,3.606,3.606,3.605,3.605,3.604,3.604,NPgN,Primary,NPg Best View,Total peak demand with CF (MW)
AYCLIFFE INDUSTRIAL,17.006,16.893,16.835,16.829,16.907,17.019,17.08,17.13,17.212,17.302,17.373,17.444,17.512,17.627,18.038,18.441,18.826,19.186,19.495,19.761,19.996,20.304,20.632,20.957,21.276,21.591,21.903,22.211,22.45,NPgN,Primary,NPg Best View,Total peak demand with CF (MW)
BARDEN FRIAR,0.937,0.944,0.961,0.983,1.012,1.04,1.067,1.094,1.128,1.162,1.196,1.228,1.258,1.289,1.339,1.387,1.432,1.475,1.516,1.554,1.589,1.625,1.662,1.697,1.732,1.767,1.802,1.837,1.867,NPgN,Primary,NPg Best View,Total peak demand with CF (MW)
BEDALE,17.184,17.189,17.519,17.631,17.831,18.074,18.293,18.506,18.76,19.03,19.288,19.549,19.805,20.084,20.675,21.261,21.821,22.35,22.817,23.237,23.62,24.06,24.523,24.982,25.435,25.884,26.331,26.774,27.158,NPgN,Primary,NPg Best View,Total peak demand with CF (MW)
BELMONT,22.372,22.269,23.401,23.45,23.625,23.831,23.989,24.108,24.254,24.406,24.514,24.621,24.726,24.891,25.511,26.134,26.734,27.302,27.794,28.227,28.613,29.102,29.633,30.161,30.683,31.201,31.714,32.224,32.633,NPgN,Primary,NPg Best View,Total peak demand with CF (MW)
BENSHAM,17.954,17.85,17.913,18.104,18.448,18.84,19.097,19.342,19.675,20.019,20.332,20.622,20.885,21.22,21.952,22.661,23.328,23.944,24.462,24.894,25.263,25.742,26.249,26.744,27.223,27.694,28.158,28.617,28.945,NPgN,Primary,NPg Best View,Total peak demand with CF (MW)
BENTON SQUARE,16.856,16.865,18.961,19.486,19.902,20.352,20.722,21.065,21.464,21.871,22.218,22.549,22.86,23.294,24.55,25.785,26.979,28.122,29.162,30.118,31.003,31.998,33.023,34.038,35.039,36.031,37.017,37.996,38.784,NPgN,Primary,NPg Best View,Total peak demand with CF (MW)
BENWELL,17.185,17.086,17.102,17.61,17.899,18.243,18.485,18.692,18.946,19.211,19.426,19.63,19.822,20.136,21.11,22.063,22.975,23.84,24.61,25.296,25.917,26.677,27.477,28.269,29.05,29.824,30.592,31.355,31.929,NPgN,Primary,NPg Best View,Total peak demand with CF (MW)
BILLINGHAM MARSH HOUSE,16.111,16.207,16.435,16.778,17.29,17.858,18.302,18.732,19.239,19.773,20.271,20.762,21.235,21.797,22.813,23.781,24.69,25.521,26.229,26.836,27.367,28.05,28.771,29.478,30.17,30.851,31.525,32.19,32.707,NPgN,Primary,NPg Best View,Total peak demand with CF (MW)
BILLY MILL,17.102,17.08,17.169,17.765,18.113,18.503,18.779,19.028,19.326,19.631,19.882,20.119,20.34,20.685,21.57,22.429,23.254,24.039,24.736,25.346,25.893,26.574,27.283,27.983,28.67,29.349,30.021,30.686,31.185,NPgN,Primary,NPg Best View,Total peak demand with CF (MW)
BIRTLEY GROVE 66/11KV,13.433,13.381,16.681,16.799,17.037,17.32,17.606,17.921,18.794,19.231,19.656,20.087,20.506,22.619,23.28,23.897,24.458,24.959,25.377,25.722,26.014,26.355,26.702,27.035,27.354,27.666,27.973,28.274,28.499,NPgN,Primary,NPg Best View,Total peak demand with CF (MW)
BIRTLEY GROVE 66/20KV,11.293,11.206,11.153,11.119,11.155,11.252,11.368,11.489,11.629,11.779,11.912,12.048,12.182,12.312,12.548,12.77,12.977,13.171,13.341,13.475,13.549,13.64,13.732,13.822,13.908,13.992,14.074,14.155,14.215,NPgN,Primary,NPg Best View,Total peak demand with CF (MW)
BLAYDON BURN,14.354,14.261,14.25,15.125,15.278,15.473,15.665,15.869,16.125,16.403,16.65,16.897,17.136,17.468,18.332,19.158,19.948,20.699,21.391,22.024,22.605,23.233,23.863,24.481,25.088,25.687,26.279,26.865,27.316,NPgN,Primary,NPg Best View,Total peak demand with CF (MW)
BLUCHER 33/11KV,12.954,12.94,13.05,13.641,13.996,14.39,14.729,15.049,15.417,15.793,16.111,16.409,16.691,17.08,18.12,19.13,20.097,21.021,21.867,22.645,23.368,24.175,25.001,25.816,26.617,27.41,28.195,28.974,29.565,NPgN,Primary,NPg Best View,Total peak demand with CF (MW)
BOLDON DOWNHILL,7.058,7.052,9.135,9.278,9.516,9.78,9.978,10.156,10.37,10.586,10.771,10.944,11.105,11.362,12.066,12.748,13.404,14.029,14.599,15.117,15.589,16.131,16.693,17.248,17.795,18.335,18.872,19.404,19.8,NPgN,Primary,NPg Best View,Total peak demand with CF (MW)
