Primary,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0.089,0.132,0.188,0.288,0.445,0.711,0.889,1.216,1.382,1.487,1.606,1.735,1.868,2.02,2.182,2.36,2.55,2.759,2.98,3.215,3.463,3.723,3.998,4.285,4.586,4.903,5.237,NPgN,Primary,NPg Reference Scenario,Total installed storage capacity (MW)
AMBERTON ROAD,0.031,0.099,0.159,0.23,0.387,0.652,1.143,1.427,2.022,2.25,2.34,2.442,2.551,2.664,2.793,2.931,3.082,3.244,3.422,3.61,3.81,4.02,4.242,4.475,4.719,4.975,5.245,5.529,NPgN,Primary,NPg Reference Scenario,Total installed storage capacity (MW)
ANNFIELD 66/20KV,0.037,0.111,0.176,0.253,0.419,0.695,1.2,1.497,2.11,2.356,2.464,2.586,2.718,2.853,3.009,3.174,3.356,3.551,3.764,3.991,4.231,4.484,4.75,5.031,5.324,5.632,5.956,6.298,NPgN,Primary,NPg Reference Scenario,Total installed storage capacity (MW)
ASHINGTON,0.055,0.144,0.22,0.313,0.494,0.782,1.288,1.608,2.225,2.512,2.674,2.856,3.054,3.257,3.49,3.738,4.011,4.303,4.623,4.962,5.323,5.702,6.101,6.522,6.961,7.423,7.909,8.422,NPgN,Primary,NPg Reference Scenario,Total installed storage capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,NPgN,Primary,NPg Reference Scenario,Total installed storage capacity (MW)
AYCLIFFE INDUSTRIAL,0.015,0.044,0.068,0.098,0.16,0.261,0.444,0.554,0.777,0.87,0.915,0.966,1.02,1.076,1.141,1.209,1.285,1.365,1.454,1.547,1.647,1.752,1.862,1.978,2.1,2.227,2.362,2.503,NPgN,Primary,NPg Reference Scenario,Total installed storage capacity (MW)
BARDEN FRIAR,0.002,0.009,0.017,0.025,0.046,0.085,0.159,0.198,0.288,0.316,0.321,0.326,0.332,0.338,0.344,0.351,0.359,0.368,0.377,0.386,0.397,0.407,0.419,0.431,0.443,0.457,0.47,0.485,NPgN,Primary,NPg Reference Scenario,Total installed storage capacity (MW)
BEDALE,0.025,0.096,0.161,0.235,0.411,0.716,1.295,1.616,2.315,2.56,2.634,2.717,2.806,2.899,3.004,3.117,3.241,3.374,3.519,3.673,3.836,4.008,4.19,4.381,4.58,4.79,5.01,5.243,NPgN,Primary,NPg Reference Scenario,Total installed storage capacity (MW)
BELMONT,0.026,0.081,0.128,0.185,0.308,0.513,0.89,1.11,1.567,1.749,1.826,1.913,2.006,2.103,2.214,2.332,2.463,2.602,2.754,2.915,3.087,3.268,3.458,3.658,3.867,4.087,4.319,4.563,NPgN,Primary,NPg Reference Scenario,Total installed storage capacity (MW)
BENSHAM,0.02,0.055,0.085,0.121,0.195,0.314,0.527,0.658,0.918,1.031,1.09,1.156,1.227,1.301,1.385,1.474,1.573,1.678,1.794,1.916,2.046,2.183,2.327,2.48,2.638,2.805,2.98,3.165,NPgN,Primary,NPg Reference Scenario,Total installed storage capacity (MW)
BENTON SQUARE,0.028,0.079,0.122,0.176,0.286,0.465,0.79,0.987,1.382,1.549,1.63,1.721,1.82,1.921,2.038,2.162,2.299,2.445,2.605,2.774,2.955,3.144,3.344,3.555,3.774,4.005,4.248,4.505,NPgN,Primary,NPg Reference Scenario,Total installed storage capacity (MW)
BENWELL,0.026,0.077,0.122,0.175,0.288,0.475,0.817,1.02,1.434,1.604,1.68,1.766,1.859,1.955,2.065,2.182,2.311,2.448,2.599,2.759,2.929,3.108,3.296,3.495,3.702,3.92,4.149,4.391,NPgN,Primary,NPg Reference Scenario,Total installed storage capacity (MW)
BILLINGHAM MARSH HOUSE,0.032,0.072,0.104,0.147,0.217,0.321,0.489,0.612,0.819,0.942,1.035,1.139,1.252,1.368,1.501,1.643,1.799,1.965,2.148,2.342,2.548,2.764,2.992,3.233,3.484,3.748,4.025,4.318,NPgN,Primary,NPg Reference Scenario,Total installed storage capacity (MW)
BILLY MILL,0.024,0.065,0.099,0.142,0.226,0.36,0.599,0.748,1.038,1.169,1.24,1.321,1.407,1.497,1.599,1.708,1.828,1.956,2.097,2.246,2.404,2.571,2.747,2.932,3.125,3.328,3.541,3.766,NPgN,Primary,NPg Reference Scenario,Total installed storage capacity (MW)
BIRTLEY GROVE 66/11KV,0.018,0.05,0.077,0.109,0.175,0.281,0.469,0.585,0.814,0.916,0.97,1.031,1.096,1.164,1.242,1.324,1.415,1.513,1.619,1.732,1.852,1.978,2.111,2.252,2.398,2.552,2.713,2.884,NPgN,Primary,NPg Reference Scenario,Total installed storage capacity (MW)
BIRTLEY GROVE 66/20KV,0.011,0.033,0.053,0.077,0.129,0.215,0.375,0.468,0.662,0.738,0.769,0.804,0.843,0.882,0.928,0.976,1.029,1.086,1.148,1.214,1.284,1.358,1.435,1.517,1.602,1.692,1.787,1.886,NPgN,Primary,NPg Reference Scenario,Total installed storage capacity (MW)
BLAYDON BURN,0.023,0.08,0.131,0.19,0.326,0.556,0.988,1.233,1.755,1.948,2.017,2.094,2.178,2.264,2.363,2.468,2.584,2.708,2.844,2.988,3.141,3.301,3.471,3.65,3.836,4.032,4.238,4.456,NPgN,Primary,NPg Reference Scenario,Total installed storage capacity (MW)
BLUCHER 33/11KV,0.026,0.069,0.106,0.151,0.24,0.383,0.636,0.795,1.103,1.243,1.318,1.404,1.496,1.591,1.699,1.815,1.943,2.079,2.229,2.387,2.555,2.732,2.919,3.116,3.321,3.536,3.763,4.003,NPgN,Primary,NPg Reference Scenario,Total installed storage capacity (MW)
BOLDON DOWNHILL,0.02,0.051,0.076,0.109,0.168,0.261,0.42,0.525,0.72,0.817,0.876,0.944,1.017,1.092,1.179,1.271,1.372,1.48,1.598,1.724,1.857,1.998,2.145,2.301,2.464,2.635,2.815,3.005,NPgN,Primary,NPg Reference Scenario,Total installed storage capacity (MW)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,0.008,0.031,0.053,0.077,0.134,0.234,0.424,0.529,0.758,0.839,0.863,0.889,0.918,0.948,0.983,1.019,1.059,1.102,1.149,1.199,1.252,1.308,1.367,1.429,1.493,1.561,1.633,1.708,NPgN,Primary,NPg Reference Scenario,Total installed storage capacity (MW)
