Primary,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,2.1,2.234,2.355,2.496,2.648,2.806,2.972,3.191,3.412,3.593,3.816,4.025,4.165,4.395,4.607,4.862,5.115,5.403,5.696,6.02,6.315,6.654,6.986,7.261,7.626,7.942,8.298,8.373,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
AMBERTON ROAD,1.89,2.04,2.196,2.391,2.616,2.858,3.12,3.441,3.731,3.992,4.288,4.572,4.805,5.124,5.426,5.773,6.124,6.51,6.904,7.327,7.716,8.157,8.572,8.941,9.419,9.815,10.259,10.447,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
ANNFIELD 66/20KV,15.504,15.68,15.855,16.054,16.269,16.497,16.743,17.05,17.34,17.592,17.886,18.165,18.379,18.692,18.984,19.326,19.669,20.051,20.441,20.864,21.252,21.693,22.116,22.486,22.97,23.388,23.84,23.994,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
ASHINGTON,7.356,7.595,7.825,8.088,8.37,8.669,8.987,9.392,9.784,10.118,10.515,10.89,11.164,11.581,11.969,12.428,12.886,13.402,13.926,14.499,15.023,15.623,16.201,16.716,17.401,18.028,18.647,18.827,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
AYCLIFFE INDUSTRIAL,1.254,1.323,1.389,1.465,1.548,1.635,1.729,1.848,1.961,2.058,2.173,2.282,2.363,2.484,2.597,2.73,2.863,3.013,3.164,3.33,3.481,3.654,3.82,3.965,4.155,4.32,4.497,4.553,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
BARDEN FRIAR,0.07,0.081,0.095,0.113,0.135,0.159,0.186,0.217,0.243,0.268,0.294,0.321,0.345,0.375,0.403,0.435,0.468,0.503,0.539,0.577,0.612,0.651,0.687,0.721,0.765,0.802,0.84,0.863,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
BEDALE,3.076,3.251,3.438,3.636,3.844,4.069,4.314,4.612,4.874,5.115,5.385,5.643,5.863,6.156,6.434,6.751,7.072,7.424,7.783,8.167,8.519,8.919,9.293,9.635,10.079,10.455,10.855,11.04,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
BELMONT,1.614,1.737,1.864,2.022,2.202,2.396,2.605,2.864,3.099,3.309,3.55,3.78,3.965,4.223,4.467,4.748,5.031,5.344,5.664,6.008,6.324,6.683,7.022,7.324,7.718,8.052,8.415,8.56,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
BENSHAM,0.551,0.634,0.713,0.809,0.916,1.029,1.15,1.303,1.45,1.576,1.724,1.865,1.97,2.126,2.273,2.445,2.617,2.81,3.007,3.221,3.417,3.641,3.857,4.041,4.283,4.488,4.719,4.79,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
BENTON SQUARE,2.044,2.158,2.265,2.386,2.513,2.647,2.789,2.972,3.154,3.305,3.488,3.661,3.781,3.972,4.149,4.36,4.569,4.807,5.048,5.314,5.557,5.834,6.105,6.331,6.631,6.888,7.178,7.25,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
BENWELL,1.199,1.303,1.402,1.52,1.651,1.789,1.936,2.124,2.307,2.462,2.647,2.821,2.947,3.141,3.322,3.535,3.748,3.988,4.231,4.499,4.742,5.021,5.291,5.52,5.821,6.077,6.366,6.448,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
BILLINGHAM MARSH HOUSE,13.308,13.416,13.508,13.617,13.732,13.851,13.975,14.141,14.317,14.455,14.631,14.794,14.896,15.074,15.238,15.437,15.633,15.86,16.09,16.346,16.58,16.848,17.115,17.332,17.622,17.878,18.164,18.207,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
BILLY MILL,1.68,1.772,1.855,1.952,2.057,2.166,2.281,2.432,2.583,2.708,2.86,3.003,3.1,3.258,3.404,3.579,3.752,3.95,4.151,4.373,4.575,4.807,5.034,5.222,5.472,5.688,5.931,5.985,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
BIRTLEY GROVE 66/11KV,1.25,1.327,1.4,1.483,1.573,1.668,1.769,1.898,2.024,2.13,2.258,2.378,2.464,2.598,2.722,2.869,3.016,3.181,3.35,3.534,3.703,3.896,4.082,4.242,4.452,4.635,4.835,4.89,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
BIRTLEY GROVE 66/20KV,0.61,0.663,0.716,0.777,0.843,0.913,0.989,1.083,1.171,1.248,1.338,1.423,1.489,1.584,1.674,1.778,1.882,1.999,2.117,2.246,2.363,2.497,2.625,2.737,2.882,3.005,3.142,3.191,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
BLAYDON BURN,1.528,1.661,1.796,1.944,2.099,2.266,2.446,2.669,2.873,3.055,3.263,3.462,3.621,3.844,4.055,4.298,4.543,4.815,5.091,5.39,5.664,5.975,6.27,6.529,6.866,7.147,7.463,7.586,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
