Primary,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,2.1,2.308,2.362,2.405,2.45,2.502,2.575,2.653,2.748,2.87,2.948,3.07,3.184,3.267,3.381,3.497,3.631,3.771,3.937,4.125,4.34,4.545,4.779,5.027,5.231,5.491,5.739,6.018,NPgN,Primary,NG FES - Counterfactual,Total installed renewable generation capacity (MW)
AMBERTON ROAD,1.89,2.105,2.204,2.302,2.406,2.523,2.665,2.822,2.961,3.13,3.263,3.434,3.606,3.779,3.961,4.163,4.38,4.616,4.875,5.167,5.468,5.784,6.1,6.43,6.773,7.106,7.456,7.805,NPgN,Primary,NG FES - Counterfactual,Total installed renewable generation capacity (MW)
ANNFIELD 66/20KV,15.504,15.77,15.867,15.949,16.036,16.134,16.259,16.395,16.528,16.694,16.815,16.981,17.145,17.294,17.463,17.646,17.847,18.063,18.306,18.58,18.874,19.172,19.484,19.812,20.126,20.461,20.801,21.156,NPgN,Primary,NG FES - Counterfactual,Total installed renewable generation capacity (MW)
ASHINGTON,7.356,7.721,7.841,7.938,8.041,8.159,8.312,8.479,8.655,8.876,9.03,9.252,9.466,9.647,9.866,10.098,10.357,10.632,10.947,11.304,11.696,12.084,12.503,12.946,13.347,13.803,14.256,14.742,NPgN,Primary,NG FES - Counterfactual,Total installed renewable generation capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,NPgN,Primary,NG FES - Counterfactual,Total installed renewable generation capacity (MW)
AYCLIFFE INDUSTRIAL,1.254,1.358,1.393,1.423,1.455,1.491,1.537,1.588,1.639,1.703,1.749,1.814,1.876,1.931,1.996,2.065,2.141,2.223,2.316,2.421,2.535,2.649,2.77,2.898,3.017,3.148,3.28,3.42,NPgN,Primary,NG FES - Counterfactual,Total installed renewable generation capacity (MW)
BARDEN FRIAR,0.07,0.085,0.095,0.107,0.12,0.133,0.15,0.167,0.181,0.197,0.211,0.227,0.244,0.264,0.282,0.304,0.326,0.351,0.377,0.406,0.435,0.466,0.495,0.525,0.561,0.59,0.623,0.653,NPgN,Primary,NG FES - Counterfactual,Total installed renewable generation capacity (MW)
BEDALE,3.076,3.336,3.452,3.548,3.65,3.763,3.901,4.051,4.18,4.335,4.46,4.617,4.778,4.945,5.115,5.307,5.51,5.733,5.975,6.247,6.524,6.818,7.107,7.407,7.73,8.031,8.353,8.667,NPgN,Primary,NG FES - Counterfactual,Total installed renewable generation capacity (MW)
BELMONT,1.614,1.793,1.871,1.947,2.028,2.118,2.231,2.353,2.465,2.602,2.707,2.845,2.983,3.119,3.264,3.424,3.597,3.784,3.991,4.225,4.468,4.721,4.977,5.245,5.517,5.789,6.071,6.357,NPgN,Primary,NG FES - Counterfactual,Total installed renewable generation capacity (MW)
BENSHAM,0.551,0.675,0.718,0.756,0.797,0.843,0.902,0.967,1.033,1.117,1.175,1.259,1.34,1.41,1.494,1.583,1.681,1.786,1.906,2.042,2.189,2.336,2.493,2.659,2.812,2.983,3.153,3.334,NPgN,Primary,NG FES - Counterfactual,Total installed renewable generation capacity (MW)
BENTON SQUARE,2.044,2.22,2.272,2.312,2.354,2.403,2.468,2.539,2.618,2.719,2.787,2.888,2.984,3.06,3.157,3.259,3.373,3.494,3.635,3.795,3.974,4.148,4.341,4.545,4.721,4.933,5.14,5.366,NPgN,Primary,NG FES - Counterfactual,Total installed renewable generation capacity (MW)
BENWELL,1.199,1.356,1.407,1.452,1.499,1.553,1.623,1.7,1.781,1.884,1.955,2.058,2.157,2.24,2.342,2.449,2.568,2.695,2.841,3.007,3.189,3.369,3.564,3.769,3.955,4.167,4.378,4.604,NPgN,Primary,NG FES - Counterfactual,Total installed renewable generation capacity (MW)
BILLINGHAM MARSH HOUSE,13.308,13.477,13.514,13.541,13.568,13.6,13.649,13.701,13.773,13.868,13.924,14.019,14.104,14.158,14.243,14.326,14.424,14.525,14.648,14.789,14.956,15.109,15.292,15.488,15.635,15.842,16.034,16.257,NPgN,Primary,NG FES - Counterfactual,Total installed renewable generation capacity (MW)
BILLY MILL,1.68,1.822,1.861,1.891,1.923,1.96,2.01,2.065,2.13,2.214,2.268,2.352,2.431,2.489,2.568,2.649,2.741,2.838,2.953,3.083,3.231,3.372,3.532,3.702,3.844,4.021,4.192,4.382,NPgN,Primary,NG FES - Counterfactual,Total installed renewable generation capacity (MW)
BIRTLEY GROVE 66/11KV,1.25,1.368,1.404,1.434,1.466,1.502,1.549,1.601,1.657,1.728,1.776,1.847,1.915,1.971,2.04,2.113,2.195,2.281,2.381,2.494,2.62,2.743,2.877,3.019,3.146,3.293,3.438,3.594,NPgN,Primary,NG FES - Counterfactual,Total installed renewable generation capacity (MW)
BIRTLEY GROVE 66/20KV,0.61,0.69,0.72,0.746,0.774,0.805,0.844,0.887,0.927,0.978,1.015,1.066,1.117,1.163,1.216,1.273,1.335,1.402,1.477,1.561,1.651,1.742,1.837,1.937,2.034,2.136,2.24,2.347,NPgN,Primary,NG FES - Counterfactual,Total installed renewable generation capacity (MW)
BLAYDON BURN,1.528,1.728,1.806,1.871,1.939,2.016,2.112,2.216,2.312,2.431,2.521,2.64,2.759,2.874,2.999,3.136,3.284,3.445,3.623,3.824,4.034,4.252,4.474,4.706,4.939,5.175,5.419,5.667,NPgN,Primary,NG FES - Counterfactual,Total installed renewable generation capacity (MW)
BLUCHER 33/11KV,1.395,1.55,1.589,1.617,1.646,1.681,1.729,1.782,1.847,1.931,1.984,2.069,2.147,2.202,2.28,2.359,2.45,2.545,2.659,2.788,2.937,3.078,3.24,3.412,3.551,3.732,3.904,4.098,NPgN,Primary,NG FES - Counterfactual,Total installed renewable generation capacity (MW)
BOLDON DOWNHILL,2.111,2.225,2.255,2.278,2.302,2.331,2.371,2.415,2.468,2.536,2.579,2.648,2.711,2.757,2.821,2.886,2.96,3.038,3.13,3.236,3.356,3.471,3.602,3.741,3.855,4,4.14,4.296,NPgN,Primary,NG FES - Counterfactual,Total installed renewable generation capacity (MW)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,1.063,1.172,1.213,1.238,1.264,1.294,1.331,1.371,1.407,1.451,1.485,1.529,1.574,1.618,1.665,1.717,1.773,1.834,1.901,1.976,2.055,2.136,2.218,2.304,2.392,2.479,2.57,2.661,NPgN,Primary,NG FES - Counterfactual,Total installed renewable generation capacity (MW)
