Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0.039,0.063,0.093,0.135,0.195,0.262,0.341,0.424,0.518,0.623,0.739,0.871,1.013,1.164,1.329,1.505,1.694,1.885,2.085,2.299,2.517,2.745,2.983,3.229,3.486,3.753,4.03,4.318,4.616,NPgN,Primary,NPg Planning Scenario,Total installed storage capacity (MW)
AMBERTON ROAD,0.019,0.042,0.068,0.099,0.141,0.204,0.27,0.35,0.425,0.512,0.609,0.713,0.841,0.974,1.116,1.274,1.443,1.627,1.801,1.98,2.173,2.359,2.557,2.759,2.966,3.183,3.408,3.642,3.884,4.136,NPgN,Primary,NPg Planning Scenario,Total installed storage capacity (MW)
ANNFIELD 66/20KV,0.021,0.048,0.078,0.113,0.162,0.234,0.311,0.402,0.492,0.595,0.709,0.833,0.983,1.139,1.306,1.491,1.689,1.903,2.11,2.324,2.553,2.778,3.016,3.26,3.512,3.775,4.048,4.331,4.625,4.93,NPgN,Primary,NPg Planning Scenario,Total installed storage capacity (MW)
ASHINGTON,0.027,0.063,0.103,0.15,0.217,0.314,0.42,0.545,0.674,0.821,0.985,1.165,1.375,1.597,1.834,2.093,2.371,2.67,2.967,3.278,3.611,3.945,4.298,4.663,5.04,5.434,5.843,6.268,6.71,7.167,NPgN,Primary,NPg Planning Scenario,Total installed storage capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NPg Planning Scenario,Total installed storage capacity (MW)
AYCLIFFE INDUSTRIAL,0.008,0.019,0.031,0.045,0.064,0.093,0.124,0.16,0.197,0.239,0.285,0.336,0.397,0.46,0.528,0.602,0.682,0.769,0.853,0.941,1.034,1.128,1.226,1.327,1.431,1.54,1.653,1.771,1.893,2.019,NPgN,Primary,NPg Planning Scenario,Total installed storage capacity (MW)
BARDEN FRIAR,0.002,0.004,0.006,0.009,0.012,0.018,0.023,0.03,0.035,0.041,0.047,0.054,0.063,0.073,0.083,0.094,0.107,0.121,0.133,0.144,0.156,0.166,0.177,0.188,0.199,0.21,0.222,0.234,0.247,0.26,NPgN,Primary,NPg Planning Scenario,Total installed storage capacity (MW)
BEDALE,0.019,0.041,0.066,0.095,0.135,0.195,0.255,0.329,0.394,0.472,0.556,0.647,0.763,0.882,1.008,1.151,1.304,1.471,1.624,1.779,1.946,2.102,2.268,2.437,2.608,2.788,2.974,3.167,3.368,3.575,NPgN,Primary,NPg Planning Scenario,Total installed storage capacity (MW)
BELMONT,0.016,0.035,0.056,0.082,0.118,0.17,0.225,0.292,0.356,0.43,0.512,0.601,0.71,0.822,0.943,1.076,1.219,1.373,1.522,1.676,1.84,2.001,2.172,2.347,2.526,2.714,2.909,3.112,3.322,3.54,NPgN,Primary,NPg Planning Scenario,Total installed storage capacity (MW)
BENSHAM,0.01,0.024,0.039,0.057,0.082,0.118,0.158,0.205,0.252,0.306,0.367,0.433,0.511,0.593,0.68,0.777,0.88,0.991,1.1,1.214,1.336,1.458,1.586,1.718,1.855,1.998,2.146,2.3,2.46,2.626,NPgN,Primary,NPg Planning Scenario,Total installed storage capacity (MW)
BENTON SQUARE,0.015,0.034,0.055,0.081,0.116,0.167,0.223,0.289,0.355,0.431,0.515,0.607,0.716,0.83,0.952,1.087,1.232,1.387,1.54,1.698,1.867,2.035,2.213,2.396,2.584,2.781,2.986,3.198,3.419,3.647,NPgN,Primary,NPg Planning Scenario,Total installed storage capacity (MW)
BENWELL,0.015,0.033,0.054,0.079,0.113,0.164,0.217,0.282,0.345,0.417,0.498,0.585,0.69,0.8,0.918,1.048,1.187,1.337,1.483,1.634,1.795,1.954,2.122,2.295,2.473,2.659,2.853,3.053,3.261,3.477,NPgN,Primary,NPg Planning Scenario,Total installed storage capacity (MW)
BILLINGHAM MARSH HOUSE,0.013,0.031,0.051,0.076,0.111,0.16,0.216,0.281,0.352,0.431,0.52,0.619,0.731,0.85,0.978,1.117,1.265,1.423,1.585,1.757,1.939,2.127,2.324,2.53,2.743,2.966,3.198,3.439,3.688,3.947,NPgN,Primary,NPg Planning Scenario,Total installed storage capacity (MW)
BILLY MILL,0.012,0.028,0.046,0.067,0.097,0.14,0.188,0.244,0.301,0.366,0.438,0.518,0.611,0.709,0.814,0.929,1.053,1.185,1.317,1.454,1.601,1.748,1.903,2.063,2.229,2.402,2.582,2.768,2.962,3.163,NPgN,Primary,NPg Planning Scenario,Total installed storage capacity (MW)
BIRTLEY GROVE 66/11KV,0.009,0.022,0.035,0.052,0.074,0.108,0.144,0.187,0.23,0.28,0.335,0.395,0.466,0.541,0.621,0.709,0.803,0.905,1.005,1.109,1.221,1.333,1.45,1.572,1.698,1.829,1.965,2.107,2.254,2.406,NPgN,Primary,NPg Planning Scenario,Total installed storage capacity (MW)
BIRTLEY GROVE 66/20KV,0.006,0.014,0.023,0.034,0.049,0.07,0.093,0.12,0.147,0.177,0.211,0.248,0.292,0.339,0.388,0.443,0.502,0.566,0.627,0.69,0.757,0.823,0.893,0.965,1.038,1.115,1.195,1.278,1.364,1.453,NPgN,Primary,NPg Planning Scenario,Total installed storage capacity (MW)
BLAYDON BURN,0.016,0.034,0.056,0.081,0.115,0.166,0.219,0.283,0.342,0.411,0.487,0.569,0.671,0.777,0.89,1.015,1.15,1.297,1.435,1.576,1.727,1.872,2.026,2.183,2.344,2.512,2.687,2.868,3.056,3.251,NPgN,Primary,NPg Planning Scenario,Total installed storage capacity (MW)
BLUCHER 33/11KV,0.013,0.03,0.049,0.072,0.103,0.149,0.2,0.259,0.32,0.389,0.466,0.551,0.65,0.754,0.866,0.988,1.12,1.261,1.401,1.547,1.703,1.859,2.024,2.195,2.371,2.555,2.746,2.945,3.151,3.364,NPgN,Primary,NPg Planning Scenario,Total installed storage capacity (MW)
