Primary,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,2,2.093,2.174,2.267,2.36,2.453,2.547,2.684,2.844,2.96,3.119,3.263,3.334,3.489,3.628,3.804,3.975,4.178,4.383,4.618,4.83,5.077,5.328,5.522,5.786,6.026,6.296,6.296,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - domestic (MW)
AMBERTON ROAD,1.783,1.872,1.941,2.02,2.1,2.179,2.258,2.375,2.511,2.61,2.745,2.867,2.928,3.06,3.177,3.327,3.472,3.645,3.82,4.019,4.2,4.409,4.623,4.788,5.012,5.216,5.446,5.446,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - domestic (MW)
ANNFIELD 66/20KV,1.969,2.077,2.159,2.254,2.35,2.445,2.541,2.681,2.845,2.963,3.125,3.272,3.345,3.504,3.645,3.826,4,4.208,4.418,4.658,4.875,5.127,5.384,5.582,5.851,6.097,6.373,6.373,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - domestic (MW)
ASHINGTON,2.636,2.797,2.921,3.063,3.207,3.349,3.493,3.703,3.949,4.126,4.369,4.59,4.699,4.937,5.149,5.42,5.682,5.993,6.308,6.667,6.992,7.37,7.756,8.053,8.457,8.825,9.239,9.239,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - domestic (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - domestic (MW)
AYCLIFFE INDUSTRIAL,0.921,0.966,1,1.039,1.079,1.118,1.158,1.216,1.284,1.333,1.4,1.461,1.491,1.557,1.615,1.69,1.762,1.849,1.935,2.035,2.125,2.229,2.336,2.418,2.529,2.631,2.745,2.745,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - domestic (MW)
BARDEN FRIAR,0.064,0.068,0.072,0.076,0.08,0.084,0.088,0.094,0.101,0.106,0.113,0.12,0.123,0.13,0.136,0.143,0.151,0.16,0.169,0.179,0.188,0.199,0.21,0.219,0.23,0.241,0.252,0.252,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - domestic (MW)
BEDALE,1.502,1.575,1.632,1.696,1.762,1.826,1.892,1.987,2.098,2.179,2.289,2.389,2.439,2.547,2.643,2.766,2.885,3.026,3.169,3.332,3.48,3.651,3.826,3.961,4.144,4.312,4.5,4.5,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - domestic (MW)
BELMONT,1.483,1.559,1.618,1.686,1.755,1.822,1.891,1.991,2.108,2.192,2.308,2.413,2.465,2.578,2.679,2.808,2.933,3.081,3.231,3.402,3.557,3.737,3.921,4.062,4.254,4.43,4.627,4.627,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - domestic (MW)
BENSHAM,0.491,0.549,0.594,0.645,0.697,0.749,0.801,0.876,0.965,1.029,1.117,1.197,1.236,1.322,1.399,1.496,1.591,1.703,1.817,1.947,2.064,2.201,2.34,2.447,2.593,2.726,2.875,2.875,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - domestic (MW)
BENTON SQUARE,1.696,1.776,1.838,1.909,1.981,2.052,2.124,2.229,2.352,2.441,2.563,2.673,2.728,2.847,2.953,3.088,3.219,3.375,3.532,3.712,3.875,4.064,4.256,4.405,4.607,4.791,4.998,4.998,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - domestic (MW)
BENWELL,1.135,1.21,1.269,1.336,1.404,1.471,1.539,1.637,1.753,1.837,1.952,2.056,2.107,2.22,2.32,2.447,2.571,2.718,2.866,3.035,3.189,3.367,3.549,3.689,3.879,4.053,4.248,4.248,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - domestic (MW)
BILLINGHAM MARSH HOUSE,2.425,2.517,2.588,2.669,2.751,2.833,2.915,3.034,3.175,3.276,3.415,3.541,3.604,3.74,3.861,4.015,4.165,4.343,4.522,4.728,4.913,5.129,5.349,5.519,5.75,5.96,6.197,6.197,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - domestic (MW)
