Primary,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,78732,79391.07,80488.926,81949.57,83836.342,86370.738,89324.83,92346.402,95206.603,97888.515,100331.535,102662.081,106256.817,112110.248,117538.579,122695.929,127564.694,132169.532,136532.759,140698.637,144719.068,148264.669,150998.011,153463.093,155926.851,158245.675,160464.491,162155.968,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
AMBERTON ROAD,122915.57,133324.639,137778.982,144515.055,146183.611,148401.217,151119.219,154048.334,156903.804,159679.538,162321.742,164945.014,168764.238,175447.789,181807.027,187867.846,193604.762,199020.745,204095.857,208874.272,213475.709,217461.758,220426.038,223187.826,225982.918,228963.383,231778.221,234177.816,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
ANNFIELD 66/20KV,97205.17,97841.329,98826.714,100227.975,102149.884,104821.468,108031.3,111428.017,114736.811,117973.761,121140.786,124266.813,129000.475,137046.917,144521.908,151610.037,158300.735,164618.035,170552.831,176139.888,181621.339,186651.986,190990.951,195026.856,198951.786,202687.677,205818.68,208190.687,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
ASHINGTON,85759.039,86480.497,87579.909,89150.254,91307.312,94317.15,97913.749,101639.355,105193.25,108598.676,111868.528,115020.355,119781.119,127389.462,134422.746,141157.826,147497.06,153479.724,159092.363,164420.341,169680.765,174304.845,177940.159,181267.664,184561.717,187658.041,190325.073,192320.746,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
AYCLIFFE FORREST,3134.846,10862.403,10836.828,10813.643,10792.782,10774.212,10757.799,10743.407,10730.851,10720.089,10711.012,10703.512,10697.787,10693.805,10691.026,10689.264,10688.493,10688.164,10687.726,10687.222,10686.675,10686.062,10685.387,10684.661,10683.895,10683.044,10682.134,10681.178,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
AYCLIFFE INDUSTRIAL,61133.365,61327.408,61686.934,62235.797,63013.058,64113.617,65461.138,66915.559,68371.067,69821.327,71268.286,72725.906,74756.622,77867.379,80819.142,83662.252,86362.765,88918.358,91306.979,93577.33,95834.321,97717.007,99046.722,100302.074,101593.857,102820.321,103993.572,104974.083,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
BARDEN FRIAR,6015.043,6092.802,6185.077,6294.639,6427.078,6597.134,6793.552,7001.992,7205.706,7410.52,7618.323,7825.495,8117.498,8569.416,8995.691,9395.08,9775.71,10140.689,10486.191,10817.569,11140.189,11451.915,11750.817,12037.766,12316.062,12581.713,12804.187,12972.772,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
BEDALE,85556.138,87297.328,88577.118,90176.504,92175.264,94669.291,97611.343,100793.606,104025.112,107325.104,110660.623,114052.232,118495.965,124848.46,130820.999,136646.879,142138.544,147307.862,152133.654,156644.105,160915.641,164996.628,168855.715,172451.462,175887.444,179179.987,181853.38,183868.671,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
BELMONT,118611.101,121733.984,122591.755,123771.745,125325.608,127351.379,129765.339,132332.098,134846.503,137307.296,139706.32,142086.275,145583.36,151128.07,156311.954,161227.643,165871.13,170254.938,174381.91,178267.952,182217.863,185955.212,189329.147,192437.346,195443.738,198313.353,200756.713,202681.19,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
BENSHAM,64357.51,65188.716,66040.788,70591.39,72056.33,73811.471,75924.825,78186.608,80456.282,82720.827,84884.055,87039.095,89845.902,93663.103,97185.048,100476.856,103528.202,106353.803,108926.369,111274.097,113764.784,115959.291,117742.167,119352.671,120901.048,122345.939,123708.542,124830.129,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
BENTON SQUARE,83299.681,84440.753,87167.32,101585.639,103893.425,106757.493,110068.67,113586.885,117099.912,120563.399,123674.485,126800.313,130961.52,137151.273,143057.228,149274.918,155161.808,160708.608,165933.839,170902.311,175720.889,179949.202,183245.402,186296.361,189374.687,192328.719,195128.629,197531.263,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
BENWELL,91061.274,91453.613,92993.188,93989.52,95385.503,97439.847,99928.211,102608.906,105286.744,107929.946,110425.007,112927.947,116430.724,121651.104,126475.239,131156.819,135515.132,139569.551,143312.086,146766.319,150018.496,153026.988,155695.063,158096.307,160367.253,162499.682,164528.167,166164.436,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
