Primary,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,76711.1,76578.613,77475.148,79514.446,82790.67,86520.158,89197.61,91486.474,94212.927,96895.355,99104.181,101067.36,102804.312,104842.254,109777.258,114770.826,119517.766,123918.037,127496.978,130457.046,133027.503,136519.547,140359.081,144133.081,147804.722,151425.303,155009.932,158550.382,161173.153,NPgN,Primary,NPg Best View,Total demand (MWh)
AMBERTON ROAD,125072.322,124691.862,135029.113,137505.339,143019.997,146348.555,148928.179,151271.935,154110.205,157002.1,159619.271,162073.551,164320.991,166535.426,172936.573,179172.949,185017.391,190395.769,194932.565,198874.126,202330.518,206493.781,210904.734,215227.042,219426.539,223557.315,227638.234,231663.232,235090.734,NPgN,Primary,NPg Best View,Total demand (MWh)
ANNFIELD 66/20KV,101047.12,101254.076,102542.088,104806.557,108312.867,112258.366,115362.876,118336.061,121911.823,125549.045,128812.03,131860.487,134654.629,137729.502,143395.533,148808.628,153866.819,158541.67,162503.513,165841.452,168713.039,172344.189,176158.082,179885.74,183499.789,187062.472,190596.091,194095.321,196790.64,NPgN,Primary,NPg Best View,Total demand (MWh)
ASHINGTON,85329.508,85366.363,86530.256,88797.025,92461.689,96621.103,99906.651,102990.92,106687.096,110348.737,113519.384,116400.826,118979.063,121883.765,127815.627,133599.61,139082.363,144208.216,148593.844,152341.1,155640.487,159673.904,163894.811,168024.496,172028.74,175979.062,179900.535,183786.321,186718.126,NPgN,Primary,NPg Best View,Total demand (MWh)
AYCLIFFE FORREST,622.749,615.075,8283.615,8276.82,8270.467,8264.462,8258.785,8253.434,8248.471,8243.809,8239.489,8235.403,8231.498,8227.662,8224.236,8220.899,8217.651,8214.519,8211.51,8208.572,8205.69,8202.885,8200.151,8197.485,8194.871,8192.308,8189.79,8187.305,8184.844,NPgN,Primary,NPg Best View,Total demand (MWh)
AYCLIFFE INDUSTRIAL,60009.337,59971.221,60451.645,61355.284,62792.529,64375.184,65610.849,66822.448,68314.09,69860.411,71282.424,72631.808,73882.067,75251.556,77858.74,80347.563,82663.105,84779.586,86559.655,88054.998,89340.008,90951.571,92632.628,94269.643,95852.208,97406.593,98942.284,100457.229,101624.095,NPgN,Primary,NPg Best View,Total demand (MWh)
BARDEN FRIAR,4590.681,4633.253,4720.233,4827.74,4971.679,5116.64,5254.457,5395.876,5563.26,5733.577,5901.221,6062.7,6213.237,6364.377,6626.818,6875.72,7112.372,7340.343,7557.157,7759.674,7948.093,8141.969,8334.912,8525.891,8713.756,8901.335,9089.772,9278.7,9447.737,NPgN,Primary,NPg Best View,Total demand (MWh)
BEDALE,88472.487,88888.603,90574.148,92224.05,94607.26,97273.472,99792.729,102406.308,105519.234,108781.468,111968.156,115080.119,118030.429,120881.141,124821.182,128572.519,132031.273,135184.303,137880.554,140199.061,142227.313,144449.155,146710.843,148898.468,151005.063,153074.609,155125.752,157158.077,158896.751,NPgN,Primary,NPg Best View,Total demand (MWh)
BELMONT,119895.395,119889.882,123417.692,125101.453,127633.927,130192.852,132222.824,134120.785,136453.018,138829.514,140954.02,142938.008,144754.895,146691.315,150597.597,154409.04,157987.975,161304.469,164105.104,166486.088,168547.853,171107.607,173843.856,176530.118,179142.101,181723.426,184288.358,186830.483,188838.356,NPgN,Primary,NPg Best View,Total demand (MWh)
BENSHAM,68760.191,68724.885,69472.773,70837.425,72962.853,75317.529,77222.882,79103.529,81379.023,83744.073,85930.453,88019.974,89964.32,92158.212,96060.862,99788.355,103252.115,106417.838,109078.672,111301.723,113194.715,115508.556,117908.9,120226.085,122450.347,124621.009,126755.651,128856.174,130394.871,NPgN,Primary,NPg Best View,Total demand (MWh)
BENTON SQUARE,81888.804,82249.762,87849.452,90415.255,93261.375,96239.255,98875.939,101556.999,104774.249,108104.701,111165.297,114082.165,116801.506,119830.658,125736.567,131416.923,136789.539,141825.005,146305.511,150326.666,153980.787,157975.832,162022.5,165984.103,169845.576,173657.791,177439.409,181187.415,184191.751,NPgN,Primary,NPg Best View,Total demand (MWh)
BENWELL,89823.458,89573.991,90183.211,92331.315,94528.612,97029.904,99081.66,101147.956,103716.365,106419.331,108921.911,111296.958,113499.36,115970.195,120718.736,125227.362,129426.486,133315.538,136706.087,139648.445,142250.449,145307.054,148458.003,151538.608,154535.246,157493.354,160430.642,163344.746,165542.968,NPgN,Primary,NPg Best View,Total demand (MWh)
BILLINGHAM MARSH HOUSE,73192.793,74051.229,75976.204,78781.875,82737.248,87091.056,90894.062,94887.305,99686.919,104796.058,109744.898,114601.272,119222.033,124067.508,130818.358,137096.245,142832.786,147933.377,152159.973,155670.906,158644.364,162233.832,165899.948,169421.293,172797.021,176090.675,179328.532,182513.195,184959.086,NPgN,Primary,NPg Best View,Total demand (MWh)
BILLY MILL,89173.258,89266.622,90125.926,92478.378,94768.411,97287.981,99317.955,101362.887,103859.366,106447.473,108788.509,111004.581,113059.49,115450.768,119739.121,123809.803,127641.601,131199.075,134283.157,136930.823,139250.852,142022.352,144853.128,147610.294,150280.7,152905.754,155499.98,158060.109,159978.798,NPgN,Primary,NPg Best View,Total demand (MWh)
BIRTLEY GROVE 66/11KV,71656.759,71783.455,79945.401,81618.806,84163.205,87197.438,90447.985,94260.693,100002.298,105217.506,110565.125,115962.905,121178.831,129903.901,135595.946,140740.088,145267.582,149161.383,152321.504,154851.172,156891.33,158956.356,160893.032,162654.568,164268.883,165794.613,167264.243,168691.366,169760.162,NPgN,Primary,NPg Best View,Total demand (MWh)
BIRTLEY GROVE 66/20KV,51726.568,51456.905,51684.818,52120.954,52921.16,53945.077,54989.689,56137.908,57531.424,58999.614,60399.076,61756.394,63035.326,64192.363,65598.333,66877.537,68022.792,69042.696,69892.789,70548.576,70943.003,71342.384,71710.237,72041.926,72335.611,72611.982,72879.135,73136.416,73330.181,NPgN,Primary,NPg Best View,Total demand (MWh)
BLAYDON BURN,68662.74,68625.47,69399.649,72533.825,74652.128,77039.29,79349.513,81906.567,85087.525,88498.911,91814.246,95058.654,98119.908,101443.44,107024.067,112232.486,117077.484,121572.423,125611.157,129203.655,132420.207,135780.807,139081.898,142278.596,145368.976,148405.232,151409.909,154383.653,156669.45,NPgN,Primary,NPg Best View,Total demand (MWh)
BLUCHER 33/11KV,62545.9,63313.866,65174.49,68669.15,72275.158,76282.69,80163.808,84253.796,88915.073,93751.854,98347.67,102785.437,107003.098,111415.331,118031.292,124236.056,129959.481,135200.45,139814.033,143874.256,147492.254,151231.953,154877.397,158342.642,161635.972,164817.826,167923.955,170971.137,173271.867,NPgN,Primary,NPg Best View,Total demand (MWh)
BOLDON DOWNHILL,30772.976,30975.913,36153.991,37324.639,39046.52,40850.349,42401.44,43952.054,45822.791,47731.078,49457.174,51079.018,52572.904,54347.366,57737.108,60962.782,64005.38,66841.86,69370.821,71620.201,73634.116,75870.954,78146.801,80368.782,82526.595,84652.253,86757.195,88839.45,90388.91,NPgN,Primary,NPg Best View,Total demand (MWh)
