Primary,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0.062,0.09,0.123,0.172,0.228,0.296,0.368,0.453,0.547,0.654,0.776,0.909,1.052,1.203,1.375,1.561,1.753,1.955,2.177,2.404,2.646,2.898,3.161,3.439,3.729,4.033,4.354,4.692,NPgN,Primary,NPg Best View,Total installed storage capacity (MW)
AMBERTON ROAD,0.033,0.069,0.1,0.136,0.191,0.25,0.322,0.386,0.471,0.56,0.659,0.78,0.909,1.047,1.196,1.366,1.552,1.731,1.915,2.118,2.315,2.525,2.743,2.967,3.204,3.451,3.71,3.984,4.271,NPgN,Primary,NPg Best View,Total installed storage capacity (MW)
ANNFIELD 66/20KV,0.036,0.078,0.113,0.154,0.216,0.284,0.366,0.444,0.542,0.646,0.762,0.903,1.054,1.215,1.389,1.587,1.802,2.013,2.231,2.471,2.708,2.96,3.222,3.492,3.779,4.076,4.389,4.719,5.066,NPgN,Primary,NPg Best View,Total installed storage capacity (MW)
ASHINGTON,0.044,0.1,0.146,0.198,0.278,0.367,0.476,0.586,0.722,0.868,1.034,1.226,1.435,1.659,1.897,2.168,2.461,2.761,3.074,3.418,3.766,4.137,4.524,4.927,5.352,5.795,6.261,6.751,7.269,NPgN,Primary,NPg Best View,Total installed storage capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NPg Best View,Total installed storage capacity (MW)
AYCLIFFE INDUSTRIAL,0.014,0.031,0.045,0.061,0.086,0.113,0.146,0.177,0.217,0.259,0.306,0.362,0.423,0.488,0.558,0.637,0.723,0.809,0.897,0.994,1.09,1.193,1.3,1.41,1.526,1.648,1.775,1.909,2.051,NPgN,Primary,NPg Best View,Total installed storage capacity (MW)
BARDEN FRIAR,0.003,0.006,0.009,0.011,0.016,0.021,0.027,0.031,0.037,0.042,0.048,0.057,0.066,0.076,0.086,0.098,0.112,0.123,0.134,0.147,0.157,0.169,0.18,0.192,0.204,0.217,0.23,0.244,0.259,NPgN,Primary,NPg Best View,Total installed storage capacity (MW)
BEDALE,0.03,0.062,0.089,0.12,0.17,0.221,0.284,0.338,0.409,0.483,0.565,0.669,0.778,0.894,1.022,1.167,1.326,1.475,1.626,1.793,1.952,2.123,2.297,2.477,2.666,2.863,3.071,3.29,3.52,NPgN,Primary,NPg Best View,Total installed storage capacity (MW)
BELMONT,0.026,0.056,0.081,0.11,0.154,0.202,0.261,0.315,0.385,0.459,0.541,0.641,0.748,0.861,0.985,1.125,1.278,1.427,1.581,1.75,1.917,2.095,2.278,2.468,2.67,2.879,3.099,3.33,3.574,NPgN,Primary,NPg Best View,Total installed storage capacity (MW)
BENSHAM,0.018,0.039,0.057,0.077,0.109,0.143,0.185,0.225,0.277,0.331,0.392,0.465,0.543,0.627,0.717,0.819,0.93,1.041,1.156,1.283,1.409,1.544,1.683,1.828,1.982,2.141,2.309,2.486,2.672,NPgN,Primary,NPg Best View,Total installed storage capacity (MW)
BENTON SQUARE,0.025,0.055,0.079,0.107,0.151,0.199,0.257,0.311,0.383,0.459,0.543,0.644,0.752,0.868,0.993,1.134,1.288,1.441,1.6,1.775,1.949,2.135,2.328,2.528,2.74,2.96,3.192,3.436,3.692,NPgN,Primary,NPg Best View,Total installed storage capacity (MW)
BENWELL,0.025,0.054,0.078,0.105,0.148,0.194,0.251,0.304,0.371,0.442,0.522,0.619,0.722,0.832,0.951,1.087,1.234,1.379,1.528,1.692,1.853,2.026,2.204,2.389,2.585,2.788,3.002,3.227,3.464,NPgN,Primary,NPg Best View,Total installed storage capacity (MW)
BILLINGHAM MARSH HOUSE,0.019,0.048,0.071,0.096,0.134,0.179,0.233,0.294,0.365,0.444,0.535,0.634,0.745,0.864,0.988,1.13,1.283,1.445,1.618,1.806,2.003,2.212,2.431,2.661,2.904,3.157,3.423,3.702,3.998,NPgN,Primary,NPg Best View,Total installed storage capacity (MW)
BILLY MILL,0.019,0.043,0.063,0.085,0.12,0.158,0.205,0.252,0.311,0.374,0.446,0.528,0.618,0.715,0.818,0.935,1.061,1.19,1.325,1.474,1.624,1.784,1.951,2.125,2.309,2.5,2.702,2.914,3.137,NPgN,Primary,NPg Best View,Total installed storage capacity (MW)
BIRTLEY GROVE 66/11KV,0.015,0.034,0.049,0.067,0.094,0.124,0.161,0.198,0.244,0.293,0.349,0.413,0.484,0.559,0.639,0.731,0.829,0.93,1.035,1.15,1.267,1.391,1.52,1.654,1.797,1.944,2.1,2.264,2.436,NPgN,Primary,NPg Best View,Total installed storage capacity (MW)
BIRTLEY GROVE 66/20KV,0.01,0.022,0.032,0.044,0.061,0.081,0.104,0.126,0.155,0.185,0.219,0.259,0.302,0.349,0.399,0.456,0.517,0.578,0.642,0.711,0.78,0.853,0.93,1.009,1.092,1.179,1.27,1.366,1.467,NPgN,Primary,NPg Best View,Total installed storage capacity (MW)
BLAYDON BURN,0.029,0.059,0.085,0.115,0.162,0.21,0.271,0.318,0.39,0.46,0.538,0.637,0.741,0.851,0.973,1.11,1.261,1.403,1.547,1.706,1.857,2.019,2.185,2.355,2.535,2.723,2.92,3.127,3.346,NPgN,Primary,NPg Best View,Total installed storage capacity (MW)
