Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,17.3,17.253,17.165,17.561,17.706,17.79,17.836,17.9,18.012,18.186,18.42,18.748,19.247,19.785,20.385,21.023,21.695,22.62,23.55,24.518,25.488,26.413,27.298,28.039,28.723,29.344,29.906,30.393,30.766,31.139,31.516,31.899,NPgN,Primary,NG FES - Steady Progression (EE CF),Total peak demand with CF (MW)
AMBERTON ROAD,23.195,23.11,23.444,23.813,23.967,24.072,24.144,24.255,24.408,24.632,24.927,25.306,25.798,26.328,26.92,27.553,28.226,29.08,29.941,30.844,31.755,32.641,33.466,34.15,34.775,35.334,35.829,36.256,36.562,36.862,37.156,37.452,NPgN,Primary,NG FES - Steady Progression (EE CF),Total peak demand with CF (MW)
ANNFIELD 66/20KV,20.765,20.707,20.648,21.034,21.186,21.283,21.345,21.401,21.516,21.701,21.952,22.297,22.814,23.368,23.99,24.658,25.367,26.291,27.226,28.206,29.198,30.151,31.042,31.783,32.459,33.065,33.6,34.05,34.382,34.71,35.038,35.37,NPgN,Primary,NG FES - Steady Progression (EE CF),Total peak demand with CF (MW)
ASHINGTON,18.565,18.552,18.524,18.951,19.143,19.281,19.387,19.511,19.686,19.927,20.234,20.638,21.209,21.819,22.498,23.225,23.995,24.985,25.991,27.042,28.104,29.126,30.085,30.899,31.646,32.321,32.923,33.43,33.823,34.212,34.602,34.995,NPgN,Primary,NG FES - Steady Progression (EE CF),Total peak demand with CF (MW)
AYCLIFFE FORREST,0.421,0.416,0.417,0.418,0.418,0.419,0.419,0.42,0.42,0.421,0.422,0.422,0.42,0.418,0.416,0.414,0.412,0.41,0.408,0.406,0.404,0.403,0.401,0.399,0.397,0.395,0.393,0.391,0.39,0.388,0.386,0.384,NPgN,Primary,NG FES - Steady Progression (EE CF),Total peak demand with CF (MW)
AYCLIFFE INDUSTRIAL,13.971,13.853,13.85,13.963,14.014,14.048,14.071,14.145,14.22,14.308,14.411,14.535,14.629,14.736,14.85,14.969,15.093,15.289,15.479,15.676,15.874,16.074,16.26,16.399,16.53,16.65,16.762,16.887,16.965,17.042,17.119,17.198,NPgN,Primary,NG FES - Steady Progression (EE CF),Total peak demand with CF (MW)
BARDEN FRIAR,0.886,0.885,0.892,0.91,0.923,0.935,0.946,0.962,0.995,1.037,1.085,1.139,1.183,1.231,1.281,1.333,1.389,1.442,1.497,1.554,1.61,1.668,1.719,1.76,1.798,1.831,1.861,1.887,1.908,1.927,1.945,1.962,NPgN,Primary,NG FES - Steady Progression (EE CF),Total peak demand with CF (MW)
BEDALE,17.057,17.019,17.42,17.658,17.836,18.001,18.156,18.331,18.53,18.756,19.001,19.27,19.474,19.694,19.924,20.164,20.411,20.687,20.963,21.25,21.536,21.824,22.097,22.331,22.555,22.767,22.97,23.172,23.34,23.508,23.676,23.844,NPgN,Primary,NG FES - Steady Progression (EE CF),Total peak demand with CF (MW)
BELMONT,21.653,22.056,22.681,22.967,23.096,23.189,23.26,23.338,23.451,23.61,23.817,24.09,24.423,24.786,25.206,25.663,26.156,26.817,27.492,28.204,28.919,29.603,30.25,30.792,31.281,31.712,32.085,32.376,32.59,32.797,33.002,33.208,NPgN,Primary,NG FES - Steady Progression (EE CF),Total peak demand with CF (MW)
BENSHAM,18.231,19.152,19.143,19.33,19.422,19.495,19.556,19.631,19.725,19.845,19.995,20.19,20.416,20.658,20.942,21.252,21.586,22.031,22.485,22.965,23.452,23.912,24.335,24.692,25.013,25.297,25.543,25.728,25.866,26.006,26.147,26.293,NPgN,Primary,NG FES - Steady Progression (EE CF),Total peak demand with CF (MW)
