Primary,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0.02,0.02,0.02,0.02,0.02,0.021,0.022,0.022,0.022,0.022,0.023,0.023,0.023,0.023,0.024,0.025,0.026,0.026,0.027,0.027,0.028,0.029,0.029,0.029,0.03,0.031,0.031,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
AMBERTON ROAD,0.007,0.007,0.007,0.007,0.007,0.007,0.01,0.012,0.012,0.012,0.013,0.015,0.017,0.017,0.017,0.02,0.022,0.027,0.027,0.028,0.028,0.032,0.035,0.035,0.035,0.037,0.04,0.042,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
ANNFIELD 66/20KV,5.503,5.503,5.503,5.503,5.503,5.503,5.517,5.526,5.526,5.526,5.535,5.544,5.553,5.553,5.553,5.571,5.58,5.607,5.607,5.616,5.616,5.634,5.653,5.653,5.653,5.662,5.68,5.689,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
ASHINGTON,3.24,3.24,3.24,3.24,3.24,3.24,3.304,3.344,3.344,3.344,3.383,3.423,3.463,3.463,3.463,3.542,3.582,3.7,3.7,3.74,3.74,3.819,3.899,3.899,3.899,3.938,4.018,4.057,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
AYCLIFFE INDUSTRIAL,0,0,0,0,0,0,0.006,0.01,0.01,0.01,0.014,0.017,0.021,0.021,0.021,0.029,0.032,0.044,0.044,0.047,0.047,0.055,0.062,0.062,0.062,0.066,0.074,0.077,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
BARDEN FRIAR,0,0,0,0,0,0,0.002,0.004,0.004,0.004,0.005,0.007,0.008,0.008,0.008,0.011,0.013,0.017,0.017,0.018,0.018,0.021,0.024,0.024,0.024,0.025,0.028,0.03,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
BEDALE,0.011,0.011,0.011,0.011,0.011,0.011,0.03,0.042,0.042,0.042,0.055,0.067,0.079,0.079,0.079,0.103,0.115,0.151,0.151,0.163,0.163,0.187,0.212,0.212,0.212,0.224,0.248,0.26,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
BELMONT,0,0,0,0,0,0,0.01,0.017,0.017,0.017,0.023,0.03,0.036,0.036,0.036,0.049,0.056,0.075,0.075,0.082,0.082,0.095,0.108,0.108,0.108,0.114,0.127,0.134,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
BENSHAM,0,0,0,0,0,0,0.001,0.002,0.002,0.002,0.003,0.003,0.004,0.004,0.004,0.006,0.006,0.008,0.008,0.009,0.009,0.011,0.012,0.012,0.012,0.013,0.014,0.015,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
BENTON SQUARE,0,0,0,0,0,0,0.001,0.002,0.002,0.002,0.003,0.004,0.004,0.004,0.004,0.006,0.007,0.009,0.009,0.009,0.009,0.011,0.012,0.012,0.012,0.013,0.015,0.015,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
BENWELL,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.002,0.002,0.003,0.003,0.003,0.004,0.004,0.006,0.006,0.006,0.006,0.007,0.008,0.008,0.008,0.009,0.01,0.01,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
BILLINGHAM MARSH HOUSE,0.006,0.006,0.006,0.006,0.006,0.006,0.009,0.011,0.011,0.011,0.012,0.014,0.016,0.016,0.016,0.019,0.021,0.026,0.026,0.028,0.028,0.031,0.035,0.035,0.035,0.036,0.04,0.041,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
BILLY MILL,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.004,0.005,0.005,0.006,0.006,0.006,0.006,0.007,0.007,0.008,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
BIRTLEY GROVE 66/11KV,0,0,0,0,0,0,0.005,0.007,0.007,0.007,0.01,0.013,0.016,0.016,0.016,0.022,0.025,0.033,0.033,0.036,0.036,0.042,0.047,0.047,0.047,0.05,0.056,0.059,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
BIRTLEY GROVE 66/20KV,0,0,0,0,0,0,0.002,0.003,0.003,0.003,0.004,0.005,0.006,0.006,0.006,0.008,0.009,0.013,0.013,0.014,0.014,0.016,0.018,0.018,0.018,0.019,0.021,0.022,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
BLAYDON BURN,0,0,0,0,0,0,0.001,0.002,0.002,0.002,0.003,0.004,0.005,0.005,0.005,0.007,0.007,0.01,0.01,0.011,0.011,0.013,0.014,0.014,0.014,0.015,0.017,0.018,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
BLUCHER 33/11KV,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.002,0.002,0.003,0.003,0.003,0.004,0.004,0.006,0.006,0.006,0.006,0.007,0.008,0.008,0.008,0.009,0.01,0.01,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
BOLDON DOWNHILL,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.004,0.005,0.005,0.005,0.005,0.006,0.007,0.007,0.007,0.007,0.008,0.009,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
