Primary,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,17.6,17.756,17.974,18.298,18.776,19.392,20.084,20.751,21.354,21.906,22.401,22.872,23.729,25.3,26.769,28.149,29.439,30.649,31.553,32.377,33.164,33.963,34.795,35.626,36.447,37.248,38.039,38.623,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
AMBERTON ROAD,24.704,29.33,31.124,33.903,34.281,34.788,35.368,35.942,36.471,36.962,37.414,37.85,38.545,40.032,41.427,42.745,43.979,45.135,46.024,46.829,47.596,48.367,49.153,49.938,50.693,51.504,52.301,52.969,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
ANNFIELD 66/20KV,19.747,19.807,19.947,20.186,20.61,21.196,21.871,22.534,23.144,23.732,24.289,24.821,25.77,27.585,29.247,30.812,32.279,33.661,34.713,35.66,36.585,37.515,38.477,39.39,40.115,40.786,41.403,41.882,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
ASHINGTON,15.898,15.906,15.953,16.108,16.387,16.822,17.27,17.658,17.992,18.265,18.524,18.774,19.347,20.715,21.994,23.211,24.361,25.448,26.346,27.146,27.917,28.705,29.542,30.362,31.067,31.725,32.329,32.784,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
AYCLIFFE FORREST,0.589,4.122,4.114,4.106,4.099,4.093,4.087,4.081,4.076,4.071,4.067,4.062,4.058,4.054,4.051,4.047,4.044,4.041,4.038,4.035,4.032,4.029,4.026,4.023,4.021,4.018,4.015,4.013,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
AYCLIFFE INDUSTRIAL,16.226,16.179,16.165,16.206,16.321,16.505,16.734,16.973,17.198,17.412,17.617,17.814,18.164,18.823,19.43,20.002,20.537,21.039,21.412,21.749,22.088,22.43,22.783,23.135,23.483,23.824,24.16,24.42,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
BARDEN FRIAR,1.169,1.175,1.18,1.189,1.2,1.215,1.231,1.248,1.263,1.279,1.294,1.31,1.336,1.406,1.472,1.535,1.597,1.658,1.714,1.768,1.821,1.874,1.929,1.983,2.017,2.05,2.084,2.117,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
BEDALE,16.98,17.315,17.371,17.489,17.683,17.95,18.234,18.515,18.794,19.063,19.331,19.599,20.018,20.936,21.799,22.645,23.453,24.224,24.92,25.556,26.17,26.792,27.442,28.068,28.462,28.81,29.112,29.402,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
BELMONT,21.618,22.684,22.556,22.477,22.429,22.438,22.48,22.546,22.615,22.672,22.73,22.789,22.891,23.061,23.217,23.361,23.494,23.618,23.696,23.764,23.848,23.932,24.018,24.101,24.171,24.236,24.296,24.346,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
BENSHAM,18.403,18.43,18.475,20.146,20.346,20.612,20.951,21.314,21.664,22.006,22.317,22.614,23.084,23.829,24.499,25.115,25.678,26.194,26.538,26.841,27.179,27.509,27.84,28.162,28.474,28.775,29.068,29.281,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
