Primary,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0.042,0.057,0.074,0.086,0.15,0.166,0.249,0.314,0.391,0.414,0.44,0.468,0.495,0.527,0.562,0.6,0.641,0.687,0.735,0.786,0.841,0.898,0.958,1.02,1.085,1.153,1.224,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed storage capacity (MW)
AMBERTON ROAD,0.031,0.043,0.064,0.085,0.095,0.216,0.23,0.386,0.501,0.636,0.656,0.678,0.702,0.725,0.753,0.782,0.814,0.849,0.888,0.929,0.973,1.019,1.067,1.119,1.171,1.227,1.284,1.345,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed storage capacity (MW)
ANNFIELD 66/20KV,0.037,0.05,0.072,0.095,0.107,0.231,0.247,0.407,0.526,0.666,0.69,0.717,0.745,0.773,0.806,0.841,0.88,0.922,0.969,1.018,1.071,1.126,1.185,1.246,1.309,1.376,1.445,1.518,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed storage capacity (MW)
ASHINGTON,0.055,0.068,0.093,0.121,0.14,0.262,0.287,0.446,0.567,0.711,0.746,0.786,0.829,0.87,0.92,0.972,1.031,1.094,1.164,1.238,1.317,1.4,1.487,1.58,1.674,1.774,1.878,1.987,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed storage capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed storage capacity (MW)
AYCLIFFE INDUSTRIAL,0.015,0.02,0.028,0.037,0.042,0.087,0.094,0.152,0.195,0.246,0.256,0.267,0.279,0.29,0.304,0.318,0.335,0.352,0.371,0.392,0.414,0.437,0.461,0.486,0.512,0.54,0.569,0.599,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed storage capacity (MW)
BARDEN FRIAR,0.002,0.004,0.006,0.009,0.009,0.028,0.028,0.052,0.069,0.089,0.09,0.092,0.093,0.094,0.095,0.097,0.099,0.1,0.102,0.104,0.107,0.109,0.112,0.114,0.117,0.12,0.123,0.126,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed storage capacity (MW)
BEDALE,0.025,0.041,0.062,0.085,0.093,0.235,0.247,0.432,0.565,0.724,0.74,0.758,0.778,0.796,0.819,0.843,0.87,0.898,0.93,0.963,0.999,1.037,1.077,1.118,1.161,1.207,1.254,1.303,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed storage capacity (MW)
BELMONT,0.026,0.036,0.052,0.069,0.078,0.17,0.182,0.301,0.39,0.495,0.511,0.53,0.551,0.57,0.594,0.619,0.647,0.677,0.71,0.746,0.783,0.823,0.864,0.908,0.953,1.001,1.051,1.102,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed storage capacity (MW)
BENSHAM,0.02,0.025,0.035,0.046,0.053,0.105,0.114,0.181,0.232,0.292,0.304,0.319,0.334,0.349,0.367,0.386,0.408,0.43,0.455,0.482,0.511,0.541,0.572,0.606,0.64,0.676,0.713,0.753,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed storage capacity (MW)
BENTON SQUARE,0.028,0.036,0.051,0.067,0.076,0.155,0.168,0.27,0.347,0.438,0.456,0.476,0.497,0.518,0.543,0.569,0.598,0.63,0.665,0.702,0.741,0.783,0.827,0.873,0.92,0.97,1.022,1.077,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed storage capacity (MW)
BENWELL,0.026,0.035,0.05,0.066,0.075,0.158,0.17,0.278,0.358,0.454,0.47,0.489,0.509,0.529,0.552,0.577,0.605,0.634,0.667,0.702,0.739,0.779,0.82,0.863,0.908,0.955,1.004,1.056,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed storage capacity (MW)
BILLINGHAM MARSH HOUSE,0.032,0.035,0.046,0.059,0.069,0.109,0.124,0.175,0.217,0.267,0.287,0.31,0.334,0.358,0.386,0.416,0.45,0.486,0.526,0.568,0.613,0.66,0.71,0.763,0.817,0.874,0.934,0.996,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed storage capacity (MW)
