Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,140,217,311,391,672,965,1315,1743,2677,3325,4037,4769,5568,6450,7301,8149,8995,9848,10723,11514,12332,13099,13807,14411,14980,15514,16048,16580,16686,16759,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
AMBERTON ROAD,191,270,366,449,679,950,1299,1745,2331,2877,3409,3961,4635,5342,6057,6765,7466,8201,8953,9676,10436,11123,11741,12264,12756,13192,13643,14093,14211,14284,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
ANNFIELD 66/20KV,148,213,286,360,558,799,1097,1461,2095,2590,3152,3664,4438,5166,5919,6658,7385,8163,8959,9723,10525,11224,11873,12405,12920,13365,13835,14312,14423,14489,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
ASHINGTON,159,241,335,415,658,932,1275,1709,2420,3004,3630,4235,5000,5813,6637,7458,8266,9123,9993,10820,11689,12464,13179,13774,14348,14854,15382,15905,16034,16111,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
AYCLIFFE INDUSTRIAL,60,95,138,169,273,383,523,704,960,1191,1420,1686,1946,2256,2562,2871,3174,3466,3786,4102,4435,4736,5001,5229,5439,5624,5814,6003,6050,6077,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
BARDEN FRIAR,6,7,10,25,36,98,173,273,173,226,214,237,189,204,207,224,241,255,266,278,295,317,317,334,331,346,343,345,351,354,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
BEDALE,116,149,185,243,329,523,781,1133,1143,1436,1624,1885,2104,2403,2671,2965,3255,3541,3837,4119,4418,4712,4950,5186,5378,5585,5767,5960,6023,6063,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
BELMONT,114,160,213,264,407,572,780,1041,1583,1973,2414,2855,3392,3942,4478,5009,5537,6075,6630,7135,7657,8144,8597,8985,9353,9696,10041,10389,10461,10508,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
BENSHAM,78,110,151,188,295,421,579,788,1111,1389,1669,1947,2369,2759,3175,3577,3972,4394,4826,5241,5679,6065,6416,6709,6986,7228,7482,7736,7792,7823,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
BENTON SQUARE,99,160,235,287,464,651,895,1226,1697,2132,2560,3030,3544,4143,4757,5373,5973,6583,7227,7862,8535,9133,9665,10117,10540,10905,11289,11665,11754,11801,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
BENWELL,124,178,247,315,551,799,1085,1418,2142,2634,3180,3715,4417,5087,5752,6396,7045,7718,8401,9020,9658,10255,10809,11281,11728,12147,12568,12995,13097,13169,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
BILLINGHAM MARSH HOUSE,120,184,262,327,544,777,1069,1442,2010,2492,2989,3543,4137,4790,5422,6058,6688,7297,7952,8573,9223,9822,10358,10819,11246,11633,12028,12424,12512,12569,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
BILLY MILL,74,110,155,193,331,478,661,903,1465,1857,2289,2731,3264,3820,4374,4919,5460,6013,6578,7086,7613,8108,8564,8959,9329,9678,10026,10373,10434,10472,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
BIRTLEY GROVE 66/11KV,69,105,149,184,298,422,579,783,1134,1417,1715,2029,2383,2775,3164,3553,3937,4325,4729,5112,5512,5877,6207,6488,6752,6989,7232,7473,7524,7554,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
BIRTLEY GROVE 66/20KV,40,61,86,107,175,249,339,452,684,853,1039,1224,1463,1707,1957,2203,2444,2696,2957,3205,3465,3698,3910,4089,4259,4409,4564,4720,4754,4774,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
BLAYDON BURN,78,118,167,209,362,517,701,925,1534,1922,2373,2792,3382,3955,4552,5129,5698,6310,6926,7498,8094,8629,9128,9545,9946,10305,10675,11045,11121,11165,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
BLUCHER 33/11KV,112,172,245,312,563,819,1114,1457,2218,2729,3298,3860,4544,5238,5916,6581,7249,7936,8633,9261,9910,10517,11079,11557,12009,12433,12857,13287,13383,13452,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
BOLDON DOWNHILL,84,120,161,198,301,426,588,802,1208,1518,1864,2229,2722,3188,3661,4125,4578,5028,5516,5984,6475,6915,7310,7649,7964,8243,8531,8827,8883,8914,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,42,51,62,80,107,157,230,338,374,478,559,663,761,885,1001,1126,1247,1366,1491,1612,1740,1864,1968,2067,2153,2239,2319,2404,2427,2439,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
BOWESFIELD 33/11KV,76,110,151,189,321,457,614,801,1280,1590,1947,2275,2703,3137,3574,4001,4428,4890,5347,5760,6188,6585,6961,7279,7589,7877,8168,8458,8532,8581,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
BOWESFIELD 66/11KV,68,120,184,223,357,495,679,928,1045,1288,1474,1731,1865,2149,2420,2715,3002,3267,3567,3889,4236,4544,4803,5026,5230,5398,5580,5748,5810,5844,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
BRANCEPETH,279,370,459,565,723,1048,1503,2112,2592,3236,3876,4584,5433,6290,7089,7910,8720,9506,10350,11135,11952,12713,13398,14001,14552,15080,15598,16136,16246,16318,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
BREAMISH STREET,56,78,108,135,208,293,395,519,681,833,980,1131,1332,1527,1727,1922,2118,2323,2536,2740,2956,3151,3329,3481,3624,3754,3888,4021,4064,4092,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
BRENDA TRADING,152,232,328,411,702,1003,1359,1785,2715,3356,4066,4794,5635,6520,7389,8245,9099,9960,10857,11687,12547,13343,14072,14695,15281,15822,16368,16916,17039,17121,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
CAMPLESHON ROAD,113,160,216,281,459,669,921,1228,1655,2038,2442,2814,3333,3857,4391,4924,5450,6017,6586,7131,7707,8214,8681,9067,9438,9763,10102,10447,10537,10591,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
CARLEY HILL,99,143,197,245,401,569,775,1039,1744,2200,2728,3159,3854,4526,5249,5946,6631,7421,8172,8864,9586,10221,10827,11318,11805,12231,12679,13119,13204,13251,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
CARLIN HOW T3 T4,161,217,273,358,487,739,1069,1493,1826,2284,2741,3260,3800,4423,5003,5612,6208,6770,7396,7999,8635,9213,9726,10182,10593,10982,11365,11769,11864,11923,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
CARR HILL,145,216,303,375,609,867,1191,1615,2378,2976,3604,4264,5133,5987,6873,7736,8582,9448,10361,11240,12163,12989,13729,14359,14946,15463,15999,16539,16652,16715,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
CATTERICK CAMP,164,211,264,330,452,649,923,1296,1483,1844,2161,2534,2972,3423,3849,4292,4729,5155,5614,6058,6527,6968,7352,7700,8013,8311,8604,8911,9001,9058,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
CLOSE,64,85,111,136,187,249,320,404,526,640,756,875,1017,1165,1316,1465,1618,1778,1950,2123,2305,2473,2630,2771,2906,3032,3161,3286,3346,3383,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
CONEYTHORPE,68,88,110,151,210,337,502,727,819,1043,1235,1473,1700,1988,2260,2552,2836,3103,3401,3696,4010,4298,4542,4770,4966,5157,5339,5534,5584,5612,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
CONSETT,173,250,336,428,660,960,1333,1794,2432,3009,3633,4251,5070,5897,6729,7561,8379,9218,10103,10961,11867,12661,13385,13991,14565,15068,15592,16128,16256,16331,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
CORPORATION STREET,46,61,82,102,156,220,296,388,536,657,781,898,1067,1224,1385,1541,1698,1870,2040,2198,2363,2514,2655,2775,2889,2996,3104,3211,3244,3265,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
COWTON,11,14,19,28,43,75,114,163,156,194,216,250,266,304,336,373,410,444,481,520,561,600,630,660,683,708,729,753,762,768,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
CRAMLINGTON T1 T3,40,58,79,97,153,215,292,388,591,736,900,1070,1270,1477,1679,1879,2078,2277,2487,2680,2880,3067,3240,3389,3530,3661,3793,3926,3957,3976,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
CRAMLINGTON T2 T4,37,54,73,90,140,196,266,354,535,667,816,968,1149,1335,1516,1696,1876,2056,2244,2417,2597,2764,2919,3054,3180,3299,3419,3538,3566,3584,NPgN,Primary,NPg Planning Scenario,Number of heat pumps (total)
