Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,18.7,18.064,18.024,18.072,18.331,18.633,19.045,19.606,21.07,22.144,23.295,24.368,25.627,26.915,28.272,29.559,30.745,31.894,32.999,33.874,34.683,35.471,36.246,36.886,37.515,38.121,38.721,39.313,39.282,39.234,NPgN,Primary,NPg Planning Scenario,Total peak demand with CF (MW)
AMBERTON ROAD,23.048,22.771,22.64,22.595,22.672,22.828,23.104,23.514,24.294,25.045,25.82,26.493,27.34,28.188,29.099,29.983,30.824,31.652,32.484,33.186,33.832,34.471,35.128,35.69,36.267,36.821,37.378,37.919,38.024,38.04,NPgN,Primary,NPg Planning Scenario,Total peak demand with CF (MW)
ANNFIELD 66/20KV,20.214,19.598,19.565,19.623,19.797,20.06,20.452,20.985,22.082,23.03,24.072,24.926,25.999,27.12,28.347,29.522,30.602,31.613,32.64,33.491,34.267,34.979,35.721,36.31,36.928,37.485,38.071,38.645,38.668,38.64,NPgN,Primary,NPg Planning Scenario,Total peak demand with CF (MW)
ASHINGTON,17.629,17.233,17.268,17.389,17.673,18.017,18.479,19.098,20.308,21.353,22.454,23.381,24.546,25.747,27.07,28.326,29.462,30.529,31.588,32.456,33.246,33.983,34.741,35.352,35.987,36.564,37.168,37.759,37.789,37.779,NPgN,Primary,NPg Planning Scenario,Total peak demand with CF (MW)
AYCLIFFE FORREST,2.076,2.045,2.014,1.984,1.954,1.926,1.9,1.876,1.855,1.836,1.819,1.802,1.786,1.771,1.757,1.744,1.731,1.718,1.706,1.695,1.684,1.673,1.663,1.653,1.643,1.634,1.624,1.615,1.606,1.596,NPgN,Primary,NPg Planning Scenario,Total peak demand with CF (MW)
AYCLIFFE INDUSTRIAL,12.208,11.881,11.868,11.901,12.002,12.11,12.277,12.519,12.961,13.392,13.817,14.24,14.729,15.215,15.75,16.259,16.712,17.154,17.567,17.902,18.198,18.482,18.757,18.981,19.202,19.404,19.61,19.812,19.806,19.79,NPgN,Primary,NPg Planning Scenario,Total peak demand with CF (MW)
BARDEN FRIAR,0.719,0.705,0.711,0.722,0.732,0.805,0.896,1.019,0.914,0.989,0.99,1.011,1.078,1.114,1.162,1.209,1.247,1.294,1.326,1.354,1.378,1.41,1.417,1.445,1.45,1.476,1.482,1.493,1.504,1.512,NPgN,Primary,NPg Planning Scenario,Total peak demand with CF (MW)
BEDALE,18.632,18.619,18.545,18.503,18.485,18.636,18.91,19.335,19.466,19.955,20.36,20.8,21.362,21.881,22.428,22.979,23.494,24.016,24.501,24.919,25.301,25.69,26.036,26.367,26.659,26.97,27.255,27.546,27.658,27.741,NPgN,Primary,NPg Planning Scenario,Total peak demand with CF (MW)
BELMONT,21.826,22.333,22.189,22.102,22.081,22.11,22.223,22.43,23.034,23.522,24.062,24.553,25.141,25.746,26.399,27.025,27.598,28.158,28.702,29.14,29.539,29.925,30.31,30.626,30.94,31.24,31.538,31.831,31.813,31.769,NPgN,Primary,NPg Planning Scenario,Total peak demand with CF (MW)
BENSHAM,17.291,16.886,16.793,16.744,16.751,16.792,16.899,17.078,17.46,17.83,18.206,18.528,18.94,19.361,19.842,20.305,20.714,21.094,21.461,21.76,22.019,22.25,22.482,22.656,22.832,22.981,23.14,23.293,23.259,23.216,NPgN,Primary,NPg Planning Scenario,Total peak demand with CF (MW)
