Primary,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,2,2.211,2.424,2.669,2.934,3.207,3.48,3.756,4.137,4.55,4.922,5.339,5.745,6.087,6.52,6.942,7.405,7.876,8.375,8.871,9.39,9.886,10.41,10.936,11.411,11.952,12.475,13.039,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - domestic (MW)
AMBERTON ROAD,1.783,1.973,2.154,2.362,2.587,2.82,3.052,3.286,3.61,3.961,4.277,4.633,4.978,5.269,5.636,5.996,6.389,6.79,7.214,7.636,8.077,8.499,8.945,9.392,9.796,10.255,10.701,11.18,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - domestic (MW)
ANNFIELD 66/20KV,1.969,2.197,2.415,2.665,2.936,3.215,3.495,3.776,4.166,4.588,4.968,5.395,5.81,6.16,6.602,7.034,7.507,7.989,8.498,9.006,9.536,10.043,10.579,11.116,11.602,12.155,12.69,13.266,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - domestic (MW)
ASHINGTON,2.636,2.978,3.304,3.679,4.086,4.505,4.924,5.345,5.93,6.563,7.133,7.773,8.395,8.919,9.582,10.23,10.939,11.662,12.425,13.186,13.982,14.741,15.545,16.351,17.079,17.908,18.71,19.574,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - domestic (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - domestic (MW)
AYCLIFFE INDUSTRIAL,0.921,1.016,1.106,1.209,1.322,1.437,1.553,1.67,1.831,2.006,2.163,2.34,2.512,2.657,2.84,3.019,3.215,3.415,3.626,3.836,4.056,4.266,4.488,4.71,4.911,5.14,5.362,5.601,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - domestic (MW)
BARDEN FRIAR,0.064,0.074,0.083,0.094,0.105,0.117,0.129,0.141,0.158,0.176,0.192,0.211,0.228,0.243,0.262,0.281,0.301,0.322,0.343,0.365,0.388,0.41,0.432,0.456,0.476,0.5,0.523,0.548,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - domestic (MW)
BEDALE,1.502,1.658,1.806,1.976,2.161,2.351,2.541,2.732,2.998,3.285,3.543,3.834,4.116,4.354,4.655,4.949,5.271,5.599,5.946,6.291,6.652,6.997,7.362,7.728,8.058,8.434,8.798,9.191,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - domestic (MW)
BELMONT,1.483,1.645,1.801,1.979,2.173,2.372,2.572,2.773,3.051,3.352,3.624,3.929,4.225,4.474,4.79,5.099,5.436,5.78,6.144,6.507,6.885,7.247,7.63,8.013,8.36,8.755,9.137,9.548,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - domestic (MW)
BENSHAM,0.491,0.615,0.733,0.868,1.015,1.166,1.317,1.47,1.681,1.909,2.115,2.346,2.571,2.76,2.999,3.233,3.489,3.75,4.026,4.301,4.588,4.862,5.152,5.443,5.706,6.005,6.295,6.607,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - domestic (MW)
BENTON SQUARE,1.696,1.867,2.03,2.217,2.421,2.63,2.84,3.051,3.343,3.66,3.945,4.265,4.576,4.838,5.17,5.494,5.849,6.21,6.592,6.973,7.371,7.751,8.153,8.556,8.92,9.335,9.736,10.168,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - domestic (MW)
BENWELL,1.135,1.296,1.45,1.626,1.818,2.016,2.213,2.412,2.688,2.986,3.255,3.557,3.85,4.097,4.41,4.715,5.05,5.391,5.751,6.11,6.485,6.843,7.222,7.602,7.945,8.336,8.715,9.122,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - domestic (MW)
BILLINGHAM MARSH HOUSE,2.425,2.621,2.807,3.021,3.253,3.493,3.732,3.973,4.307,4.668,4.994,5.359,5.715,6.014,6.393,6.762,7.168,7.58,8.016,8.451,8.906,9.339,9.798,10.259,10.675,11.148,11.606,12.1,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - domestic (MW)
BILLY MILL,1.605,1.755,1.899,2.064,2.242,2.426,2.61,2.796,3.053,3.331,3.581,3.862,4.136,4.366,4.658,4.942,5.254,5.571,5.907,6.242,6.591,6.925,7.278,7.632,7.952,8.317,8.669,9.049,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - domestic (MW)
BIRTLEY GROVE 66/11KV,1.097,1.211,1.319,1.444,1.58,1.719,1.859,1.999,2.194,2.404,2.594,2.807,3.015,3.189,3.41,3.626,3.862,4.103,4.357,4.61,4.875,5.128,5.396,5.664,5.907,6.183,6.45,6.738,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - domestic (MW)
BIRTLEY GROVE 66/20KV,0.458,0.525,0.588,0.661,0.74,0.822,0.903,0.985,1.099,1.222,1.332,1.457,1.578,1.68,1.809,1.934,2.072,2.213,2.361,2.509,2.664,2.811,2.968,3.124,3.266,3.427,3.583,3.751,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - domestic (MW)
BLAYDON BURN,0.819,0.964,1.103,1.262,1.435,1.612,1.79,1.969,2.217,2.485,2.727,2.999,3.263,3.485,3.766,4.041,4.342,4.649,4.973,5.296,5.633,5.955,6.296,6.638,6.947,7.299,7.639,8.006,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - domestic (MW)
BLUCHER 33/11KV,1.268,1.427,1.58,1.755,1.945,2.14,2.336,2.533,2.806,3.101,3.368,3.666,3.957,4.202,4.511,4.814,5.145,5.482,5.839,6.195,6.566,6.921,7.296,7.672,8.012,8.399,8.774,9.178,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - domestic (MW)
BOLDON DOWNHILL,1.865,1.992,2.112,2.251,2.402,2.557,2.712,2.868,3.085,3.319,3.53,3.767,3.997,4.191,4.437,4.676,4.939,5.207,5.489,5.771,6.066,6.347,6.644,6.943,7.212,7.519,7.816,8.136,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - domestic (MW)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,0.517,0.567,0.615,0.67,0.73,0.792,0.853,0.915,1.001,1.095,1.178,1.273,1.364,1.441,1.539,1.634,1.738,1.845,1.957,2.069,2.186,2.298,2.416,2.534,2.641,2.763,2.881,3.008,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - domestic (MW)
BOWESFIELD 33/11KV,0.669,0.79,0.907,1.041,1.186,1.335,1.485,1.635,1.844,2.07,2.273,2.501,2.723,2.91,3.147,3.378,3.631,3.889,4.162,4.433,4.717,4.988,5.275,5.562,5.822,6.118,6.404,6.713,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - domestic (MW)
BOWESFIELD 66/11KV,0.848,0.939,1.025,1.124,1.232,1.342,1.453,1.564,1.719,1.886,2.037,2.206,2.371,2.509,2.685,2.856,3.043,3.234,3.436,3.638,3.848,4.049,4.261,4.474,4.667,4.886,5.098,5.326,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - domestic (MW)
BRANCEPETH,2.557,2.816,3.062,3.346,3.653,3.969,4.286,4.605,5.046,5.524,5.955,6.439,6.909,7.305,7.806,8.296,8.832,9.378,9.955,10.53,11.131,11.705,12.312,12.921,13.472,14.098,14.704,15.357,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - domestic (MW)
BREAMISH STREET,0.18,0.242,0.301,0.37,0.443,0.519,0.596,0.672,0.779,0.893,0.997,1.113,1.226,1.322,1.442,1.56,1.689,1.82,1.959,2.097,2.242,2.38,2.526,2.672,2.805,2.955,3.101,3.258,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - domestic (MW)
BRENDA TRADING,2.012,2.234,2.447,2.691,2.956,3.229,3.502,3.777,4.157,4.569,4.941,5.358,5.763,6.105,6.537,6.958,7.421,7.891,8.388,8.884,9.403,9.897,10.421,10.946,11.42,11.96,12.483,13.046,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - domestic (MW)
CAMPLESHON ROAD,1.665,1.83,1.988,2.169,2.365,2.567,2.769,2.973,3.255,3.56,3.835,4.144,4.444,4.697,5.017,5.33,5.672,6.021,6.389,6.756,7.14,7.507,7.894,8.283,8.635,9.035,9.422,9.839,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - domestic (MW)
CARLEY HILL,1.398,1.588,1.77,1.978,2.205,2.438,2.671,2.906,3.231,3.583,3.9,4.256,4.603,4.894,5.263,5.624,6.019,6.421,6.846,7.269,7.712,8.135,8.582,9.03,9.435,9.897,10.343,10.824,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - domestic (MW)
CARLIN HOW T3 T4,1.859,2.065,2.262,2.488,2.733,2.985,3.238,3.492,3.844,4.225,4.569,4.954,5.329,5.645,6.045,6.435,6.863,7.298,7.758,8.217,8.696,9.154,9.638,10.123,10.562,11.062,11.545,12.066,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - domestic (MW)
CARR HILL,1.687,1.915,2.133,2.384,2.656,2.936,3.216,3.498,3.888,4.311,4.692,5.12,5.536,5.886,6.329,6.762,7.236,7.719,8.229,8.738,9.27,9.777,10.314,10.853,11.34,11.894,12.43,13.007,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - domestic (MW)
CATTERICK CAMP,1.621,1.874,2.116,2.393,2.694,3.004,3.314,3.627,4.059,4.528,4.95,5.423,5.884,6.272,6.763,7.242,7.767,8.302,8.867,9.431,10.02,10.582,11.177,11.773,12.312,12.926,13.52,14.159,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - domestic (MW)
