Primary,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,17.9,18.08,18.299,18.644,19.153,19.739,20.449,21.342,22.231,23.112,23.953,24.792,25.642,26.468,27.246,27.97,28.661,29.295,29.901,30.466,31.011,31.494,31.806,32.048,32.276,32.487,32.691,32.877,NPgN,Primary,NG FES - Counterfactual,Total peak demand (MW)
AMBERTON ROAD,24.92,29.65,31.509,34.328,34.743,35.2,35.763,36.472,37.189,37.902,38.591,39.285,40.022,40.736,41.435,42.086,42.705,43.302,43.856,44.371,44.858,45.288,45.579,45.825,46.049,46.324,46.585,46.805,NPgN,Primary,NG FES - Counterfactual,Total peak demand (MW)
ANNFIELD 66/20KV,19.966,20.139,20.342,20.669,21.165,21.78,22.503,23.338,24.176,25.017,25.845,26.671,27.508,28.314,29.088,29.821,30.517,31.166,31.768,32.321,32.866,33.356,33.739,34.054,34.346,34.617,34.87,35.095,NPgN,Primary,NG FES - Counterfactual,Total peak demand (MW)
ASHINGTON,16.03,16.092,16.175,16.321,16.556,16.816,17.154,17.617,18.084,18.548,19.005,19.466,19.952,20.429,20.886,21.323,21.744,22.145,22.531,22.895,23.272,23.609,23.832,24.024,24.206,24.378,24.546,24.696,NPgN,Primary,NG FES - Counterfactual,Total peak demand (MW)
AYCLIFFE FORREST,0.592,4.13,4.126,4.123,4.121,4.118,4.116,4.114,4.112,4.11,4.109,4.107,4.106,4.105,4.104,4.104,4.103,4.102,4.102,4.102,4.101,4.101,4.101,4.101,4.101,4.101,4.101,4.101,NPgN,Primary,NG FES - Counterfactual,Total peak demand (MW)
AYCLIFFE INDUSTRIAL,16.358,16.42,16.498,16.631,16.837,17.084,17.381,17.738,18.1,18.466,18.829,19.194,19.569,19.935,20.289,20.628,20.954,21.262,21.553,21.824,22.095,22.342,22.536,22.702,22.858,23.005,23.144,23.272,NPgN,Primary,NG FES - Counterfactual,Total peak demand (MW)
BARDEN FRIAR,1.174,1.191,1.208,1.227,1.248,1.271,1.295,1.32,1.345,1.37,1.396,1.422,1.45,1.478,1.506,1.533,1.56,1.587,1.613,1.639,1.664,1.689,1.713,1.738,1.762,1.785,1.809,1.831,NPgN,Primary,NG FES - Counterfactual,Total peak demand (MW)
BEDALE,17.076,17.544,17.737,17.959,18.222,18.495,18.803,19.163,19.538,19.924,20.314,20.713,21.137,21.566,22.007,22.466,22.924,23.375,23.813,24.236,24.647,25.034,25.374,25.696,26.005,26.304,26.597,26.873,NPgN,Primary,NG FES - Counterfactual,Total peak demand (MW)
BELMONT,21.729,22.971,23.028,23.113,23.233,23.376,23.541,23.726,23.921,24.12,24.322,24.528,24.74,24.952,25.167,25.379,25.589,25.793,25.991,26.181,26.383,26.576,26.757,26.927,27.091,27.25,27.406,27.556,NPgN,Primary,NG FES - Counterfactual,Total peak demand (MW)
BENSHAM,18.542,18.654,18.772,20.524,20.811,21.145,21.547,22.012,22.486,22.967,23.427,23.89,24.357,24.808,25.24,25.649,26.038,26.395,26.725,27.022,27.351,27.647,27.888,28.085,28.267,28.433,28.586,28.725,NPgN,Primary,NG FES - Counterfactual,Total peak demand (MW)
BENTON SQUARE,17.396,17.674,18.528,24.671,25.233,25.828,26.542,27.455,28.379,29.302,30.143,30.991,31.87,32.74,33.58,34.504,35.402,36.262,37.09,37.872,38.644,39.344,39.855,40.303,40.728,41.134,41.529,41.897,NPgN,Primary,NG FES - Counterfactual,Total peak demand (MW)
BENWELL,18.054,18.162,18.685,18.893,19.21,19.615,20.092,20.654,21.226,21.796,22.332,22.869,23.422,23.958,24.479,25.01,25.521,26.01,26.462,26.881,27.275,27.627,27.898,28.128,28.337,28.529,28.707,28.863,NPgN,Primary,NG FES - Counterfactual,Total peak demand (MW)
BILLINGHAM MARSH HOUSE,18.085,18.377,18.692,20.472,21.008,21.638,22.355,23.166,23.992,24.837,25.675,26.519,27.372,28.217,29.049,29.877,30.687,31.442,32.166,32.841,33.479,34.064,34.562,34.987,35.387,35.766,36.13,36.475,NPgN,Primary,NG FES - Counterfactual,Total peak demand (MW)
BILLY MILL,16.842,16.96,17.527,17.754,18.098,18.539,19.049,19.622,20.201,20.778,21.335,21.889,22.444,22.979,23.492,24.008,24.501,24.953,25.375,25.762,26.122,26.447,26.715,26.931,27.131,27.317,27.49,27.649,NPgN,Primary,NG FES - Counterfactual,Total peak demand (MW)
BIRTLEY GROVE 66/11KV,11.001,12.457,13.03,13.241,13.556,13.944,14.417,18.122,18.726,19.354,19.993,20.645,21.317,21.994,22.676,23.357,24.025,24.652,25.233,25.756,26.238,26.654,26.975,27.225,27.435,27.612,27.765,27.895,NPgN,Primary,NG FES - Counterfactual,Total peak demand (MW)
BIRTLEY GROVE 66/20KV,11.125,11.125,11.128,11.149,11.193,11.235,11.299,11.4,11.511,11.626,11.741,11.863,11.999,12.139,12.285,12.427,12.568,12.706,12.838,12.961,13.095,13.214,13.302,13.378,13.447,13.511,13.572,13.625,NPgN,Primary,NG FES - Counterfactual,Total peak demand (MW)
BLAYDON BURN,11.817,11.857,11.901,14.066,14.189,14.299,14.462,14.724,15.007,15.305,15.604,15.917,16.263,16.622,16.991,17.354,17.716,18.073,18.412,18.727,19.053,19.338,19.527,19.691,19.834,19.963,20.082,20.184,NPgN,Primary,NG FES - Counterfactual,Total peak demand (MW)
BLUCHER 33/11KV,14.24,14.499,15.382,15.713,16.18,16.743,17.408,18.2,19.012,19.834,20.633,21.44,22.255,23.054,23.819,24.573,25.293,25.959,26.582,27.151,27.685,28.157,28.51,28.796,29.053,29.284,29.495,29.683,NPgN,Primary,NG FES - Counterfactual,Total peak demand (MW)
BOLDON DOWNHILL,5.744,7.85,8.446,8.599,8.838,9.137,9.487,9.892,10.296,10.705,11.107,11.506,11.904,12.287,12.651,13.004,13.34,13.641,13.921,14.175,14.411,14.619,14.775,14.888,14.991,15.083,15.167,15.242,NPgN,Primary,NG FES - Counterfactual,Total peak demand (MW)
