Primary,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0.1,0.137,0.195,0.27,0.368,0.484,0.618,0.772,0.888,1.008,1.129,1.249,1.375,1.507,1.637,1.771,1.908,2.051,2.199,2.35,2.498,2.656,2.805,2.958,3.131,3.284,3.45,3.608,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - I&C and large (MW)
AMBERTON ROAD,0.1,0.181,0.3,0.47,0.715,1.005,1.34,1.728,2.018,2.319,2.62,2.923,3.238,3.567,3.893,4.228,4.573,4.93,5.301,5.68,6.049,6.445,6.818,7.202,7.636,8.017,8.433,8.83,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - I&C and large (MW)
ANNFIELD 66/20KV,8.032,8.151,8.294,8.467,8.668,8.906,9.18,9.498,9.735,9.982,10.229,10.477,10.736,11.005,11.272,11.547,11.829,12.122,12.426,12.736,13.039,13.363,13.669,13.983,14.339,14.652,14.993,15.318,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - I&C and large (MW)
ASHINGTON,0.479,0.614,0.777,0.976,1.211,1.488,1.809,2.179,2.456,2.744,3.032,3.321,3.623,3.937,4.248,4.569,4.899,5.241,5.594,5.957,6.309,6.688,7.045,7.412,7.827,8.191,8.589,8.968,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - I&C and large (MW)
AYCLIFFE FORREST,0,0,0,0,0,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.007,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - I&C and large (MW)
AYCLIFFE INDUSTRIAL,0.333,0.373,0.422,0.483,0.556,0.641,0.741,0.855,0.941,1.03,1.119,1.209,1.302,1.399,1.496,1.595,1.697,1.803,1.912,2.024,2.133,2.251,2.361,2.475,2.603,2.716,2.839,2.956,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - I&C and large (MW)
BARDEN FRIAR,0.006,0.014,0.028,0.048,0.078,0.113,0.155,0.202,0.238,0.275,0.312,0.349,0.388,0.428,0.468,0.51,0.552,0.596,0.641,0.688,0.733,0.782,0.828,0.875,0.928,0.975,1.026,1.075,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - I&C and large (MW)
BEDALE,1.562,1.756,1.972,2.213,2.455,2.741,3.071,3.453,3.739,4.036,4.333,4.631,4.942,5.266,5.587,5.918,6.257,6.61,6.975,7.348,7.712,8.103,8.471,8.849,9.277,9.653,10.063,10.454,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - I&C and large (MW)
BELMONT,0.131,0.194,0.286,0.418,0.608,0.832,1.091,1.391,1.615,1.848,2.081,2.314,2.558,2.812,3.064,3.324,3.59,3.866,4.153,4.445,4.731,5.037,5.326,5.622,5.958,6.253,6.574,6.881,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - I&C and large (MW)
BENSHAM,0.06,0.095,0.144,0.212,0.305,0.414,0.541,0.687,0.797,0.911,1.025,1.139,1.258,1.383,1.506,1.633,1.763,1.898,2.038,2.181,2.321,2.471,2.612,2.757,2.921,3.065,3.222,3.372,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - I&C and large (MW)
BENTON SQUARE,0.348,0.408,0.478,0.562,0.656,0.767,0.896,1.045,1.156,1.271,1.387,1.503,1.624,1.75,1.874,2.003,2.135,2.272,2.414,2.559,2.701,2.853,2.996,3.143,3.309,3.456,3.615,3.767,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - I&C and large (MW)
BENWELL,0.065,0.105,0.161,0.238,0.345,0.471,0.617,0.786,0.912,1.043,1.174,1.306,1.443,1.586,1.728,1.875,2.024,2.18,2.341,2.506,2.667,2.84,3.002,3.169,3.358,3.524,3.706,3.878,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - I&C and large (MW)
BILLINGHAM MARSH HOUSE,10.876,10.9,10.932,10.974,11.03,11.096,11.173,11.261,11.328,11.396,11.465,11.534,11.606,11.682,11.756,11.833,11.911,11.993,12.078,12.164,12.248,12.339,12.424,12.512,12.611,12.698,12.793,12.884,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - I&C and large (MW)
BILLY MILL,0.075,0.108,0.151,0.206,0.276,0.359,0.454,0.564,0.647,0.733,0.819,0.905,0.994,1.088,1.181,1.276,1.374,1.476,1.582,1.69,1.795,1.908,2.014,2.123,2.247,2.355,2.474,2.587,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - I&C and large (MW)
BIRTLEY GROVE 66/11KV,0.153,0.192,0.241,0.301,0.372,0.456,0.553,0.665,0.749,0.836,0.924,1.011,1.103,1.198,1.292,1.389,1.489,1.593,1.7,1.81,1.917,2.031,2.139,2.251,2.376,2.487,2.607,2.722,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - I&C and large (MW)
BIRTLEY GROVE 66/20KV,0.152,0.189,0.234,0.289,0.353,0.429,0.516,0.618,0.694,0.772,0.851,0.93,1.013,1.099,1.184,1.272,1.362,1.455,1.552,1.651,1.748,1.852,1.949,2.05,2.163,2.263,2.372,2.475,NPgN,Primary,NG FES - Electric Engagement,Total installed PV capacity - I&C and large (MW)
