Primary,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,1.9,2.056,2.221,2.436,2.683,2.951,3.227,3.504,3.782,4.167,4.584,4.96,5.382,5.792,6.138,6.575,7.002,7.47,7.946,8.449,8.951,9.476,9.977,10.506,11.038,11.518,12.064,12.593,13.163,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed PV capacity - domestic (MW)
AMBERTON ROAD,1.744,1.859,2.0,2.183,2.394,2.622,2.857,3.092,3.329,3.657,4.013,4.333,4.692,5.042,5.336,5.708,6.072,6.47,6.876,7.305,7.732,8.179,8.605,9.056,9.509,9.918,10.383,10.834,11.319,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed PV capacity - domestic (MW)
ANNFIELD 66/20KV,1.904,2.044,2.213,2.434,2.688,2.964,3.247,3.531,3.817,4.213,4.642,5.028,5.461,5.883,6.238,6.687,7.126,7.606,8.096,8.613,9.129,9.668,10.182,10.726,11.272,11.765,12.327,12.871,13.456,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed PV capacity - domestic (MW)
ASHINGTON,2.525,2.732,2.985,3.314,3.692,4.102,4.525,4.947,5.373,5.962,6.6,7.175,7.821,8.448,8.977,9.646,10.299,11.014,11.743,12.513,13.281,14.083,14.849,15.66,16.473,17.207,18.043,18.852,19.724,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed PV capacity - domestic (MW)
AYCLIFFE FORREST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed PV capacity - domestic (MW)
AYCLIFFE INDUSTRIAL,0.889,0.946,1.015,1.105,1.208,1.321,1.436,1.552,1.668,1.83,2.004,2.162,2.338,2.51,2.655,2.838,3.017,3.213,3.412,3.623,3.833,4.053,4.262,4.484,4.707,4.908,5.136,5.358,5.596,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed PV capacity - domestic (MW)
BARDEN FRIAR,0.061,0.067,0.074,0.083,0.094,0.106,0.118,0.13,0.142,0.159,0.177,0.193,0.211,0.229,0.244,0.263,0.282,0.302,0.323,0.345,0.367,0.39,0.411,0.434,0.457,0.478,0.502,0.525,0.55,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed PV capacity - domestic (MW)
BEDALE,1.463,1.556,1.668,1.815,1.983,2.166,2.353,2.541,2.731,2.993,3.277,3.533,3.82,4.1,4.335,4.632,4.923,5.242,5.566,5.908,6.25,6.607,6.948,7.309,7.67,7.997,8.369,8.729,9.117,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed PV capacity - domestic (MW)
BELMONT,1.428,1.526,1.645,1.801,1.979,2.173,2.372,2.571,2.772,3.051,3.352,3.623,3.928,4.224,4.473,4.789,5.097,5.435,5.779,6.143,6.505,6.884,7.245,7.628,8.011,8.358,8.753,9.135,9.546,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed PV capacity - domestic (MW)
BENSHAM,0.451,0.526,0.617,0.735,0.871,1.019,1.171,1.324,1.477,1.689,1.919,2.126,2.359,2.585,2.775,3.016,3.251,3.509,3.771,4.049,4.325,4.615,4.89,5.182,5.475,5.74,6.041,6.332,6.646,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed PV capacity - domestic (MW)
