Primary,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,596,774,1007,1385,1960,2743,3669,4698,5729,6779,7832,8884,9924,10883,11790,12644,13434,14165,14794,15349,15834,16256,16613,16888,17118,17311,17472,17608,NPgN,Primary,NG FES - Counterfactual,Number of electric cars and vans (hybrid and full electric)
AMBERTON ROAD,365,493,666,950,1392,2012,2753,3575,4399,5239,6083,6925,7758,8527,9255,9939,10573,11160,11664,12110,12499,12837,13124,13344,13529,13684,13814,13922,NPgN,Primary,NG FES - Counterfactual,Number of electric cars and vans (hybrid and full electric)
ANNFIELD 66/20KV,511,672,886,1234,1769,2505,3379,4349,5323,6313,7308,8301,9283,10190,11047,11853,12600,13291,13885,14410,14868,15266,15604,15864,16081,16264,16416,16544,NPgN,Primary,NG FES - Counterfactual,Number of electric cars and vans (hybrid and full electric)
ASHINGTON,464,640,879,1274,1893,2774,3827,4995,6167,7362,8562,9761,10947,12041,13077,14051,14953,15789,16506,17141,17695,18177,18585,18899,19162,19383,19567,19722,NPgN,Primary,NG FES - Counterfactual,Number of electric cars and vans (hybrid and full electric)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Counterfactual,Number of electric cars and vans (hybrid and full electric)
AYCLIFFE INDUSTRIAL,262,336,430,584,814,1124,1488,1893,2299,2712,3126,3540,3949,4326,4682,5017,5328,5615,5862,6080,6271,6437,6577,6685,6775,6851,6915,6968,NPgN,Primary,NG FES - Counterfactual,Number of electric cars and vans (hybrid and full electric)
BARDEN FRIAR,17,21,28,38,53,74,98,125,152,180,208,236,263,288,312,335,356,375,392,406,419,430,440,447,453,458,462,466,NPgN,Primary,NG FES - Counterfactual,Number of electric cars and vans (hybrid and full electric)
BEDALE,278,365,480,667,955,1351,1820,2342,2864,3397,3931,4464,4992,5479,5939,6372,6773,7144,7463,7745,7991,8205,8387,8526,8643,8741,8823,8892,NPgN,Primary,NG FES - Counterfactual,Number of electric cars and vans (hybrid and full electric)
BELMONT,534,672,845,1123,1536,2074,2704,3405,4106,4819,5534,6248,6953,7603,8218,8796,9332,9827,10253,10629,10957,11242,11484,11670,11825,11956,12066,12157,NPgN,Primary,NG FES - Counterfactual,Number of electric cars and vans (hybrid and full electric)
BENSHAM,229,311,421,603,885,1283,1759,2286,2815,3354,3895,4436,4970,5464,5931,6370,6777,7153,7477,7763,8013,8230,8414,8555,8674,8773,8856,8926,NPgN,Primary,NG FES - Counterfactual,Number of electric cars and vans (hybrid and full electric)
BENTON SQUARE,579,731,923,1233,1694,2300,3011,3801,4592,5396,6202,7008,7804,8537,9231,9883,10488,11047,11527,11951,12322,12643,12916,13126,13302,13449,13573,13676,NPgN,Primary,NG FES - Counterfactual,Number of electric cars and vans (hybrid and full electric)
BENWELL,376,490,640,883,1255,1764,2366,3035,3705,4387,5072,5756,6432,7056,7646,8201,8715,9191,9600,9961,10277,10551,10783,10962,11111,11237,11342,11430,NPgN,Primary,NG FES - Counterfactual,Number of electric cars and vans (hybrid and full electric)
BILLINGHAM MARSH HOUSE,547,704,909,1239,1740,2415,3212,4097,4985,5887,6793,7698,8593,9417,10197,10931,11610,12239,12779,13257,13674,14036,14343,14579,14777,14943,15082,15198,NPgN,Primary,NG FES - Counterfactual,Number of electric cars and vans (hybrid and full electric)
BILLY MILL,390,508,664,916,1302,1829,2453,3146,3841,4548,5258,5967,6668,7315,7927,8502,9034,9528,9951,10326,10653,10937,11178,11363,11518,11648,11757,11848,NPgN,Primary,NG FES - Counterfactual,Number of electric cars and vans (hybrid and full electric)
BIRTLEY GROVE 66/11KV,337,428,544,732,1012,1383,1820,2305,2791,3284,3780,4275,4764,5215,5641,6042,6414,6757,7052,7313,7541,7739,7907,8036,8144,8234,8310,8374,NPgN,Primary,NG FES - Counterfactual,Number of electric cars and vans (hybrid and full electric)
BIRTLEY GROVE 66/20KV,209,264,334,447,614,834,1092,1379,1666,1958,2250,2543,2832,3098,3350,3587,3806,4009,4183,4337,4472,4589,4688,4764,4828,4881,4926,4964,NPgN,Primary,NG FES - Counterfactual,Number of electric cars and vans (hybrid and full electric)
BLAYDON BURN,487,611,767,1018,1389,1872,2437,3065,3694,4333,4974,5613,6246,6828,7379,7897,8377,8821,9202,9539,9833,10089,10305,10472,10611,10729,10827,10909,NPgN,Primary,NG FES - Counterfactual,Number of electric cars and vans (hybrid and full electric)
