Primary,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,2.1,2.368,2.639,2.959,3.322,3.711,4.119,4.55,5.047,5.579,6.072,6.611,7.144,7.617,8.18,8.737,9.338,9.954,10.6,11.248,11.915,12.57,13.244,13.923,14.571,15.265,15.956,16.678,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
AMBERTON ROAD,1.89,2.161,2.461,2.838,3.31,3.832,4.402,5.026,5.64,6.292,6.911,7.57,8.233,8.852,9.546,10.244,10.984,11.747,12.541,13.344,14.155,14.976,15.798,16.628,17.466,18.309,19.174,20.052,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
ANNFIELD 66/20KV,15.504,15.851,16.212,16.635,17.107,17.624,18.193,18.801,19.428,20.096,20.733,21.416,22.099,22.718,23.427,24.152,24.916,25.718,26.531,27.358,28.191,29.041,29.9,30.752,31.593,32.468,33.362,34.272,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
ASHINGTON,7.356,7.832,8.322,8.896,9.537,10.233,11.037,11.868,12.73,13.65,14.548,15.517,16.481,17.319,18.293,19.341,20.419,21.603,22.72,23.883,25.032,26.249,27.489,28.661,29.804,31.037,32.317,33.6,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.007,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
AYCLIFFE INDUSTRIAL,1.254,1.389,1.528,1.692,1.877,2.079,2.3,2.535,2.782,3.046,3.296,3.566,3.835,4.077,4.357,4.643,4.944,5.261,5.581,5.908,6.237,6.571,6.911,7.247,7.577,7.922,8.275,8.635,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BARDEN FRIAR,0.07,0.088,0.111,0.141,0.183,0.231,0.286,0.347,0.4,0.455,0.509,0.566,0.624,0.68,0.739,0.801,0.865,0.934,1.002,1.071,1.139,1.213,1.284,1.354,1.429,1.501,1.578,1.652,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BEDALE,3.076,3.425,3.789,4.2,4.627,5.102,5.642,6.228,6.779,7.363,7.931,8.532,9.137,9.699,10.321,10.97,11.644,12.36,13.072,13.803,14.528,15.287,16.044,16.788,17.546,18.311,19.109,19.904,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BELMONT,1.614,1.84,2.087,2.397,2.781,3.204,3.674,4.181,4.683,5.217,5.728,6.273,6.82,7.323,7.891,8.472,9.082,9.722,10.372,11.034,11.698,12.379,13.063,13.743,14.425,15.121,15.838,16.563,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BENSHAM,0.551,0.71,0.877,1.08,1.319,1.58,1.859,2.159,2.479,2.822,3.142,3.488,3.833,4.147,4.509,4.871,5.258,5.657,6.072,6.491,6.918,7.343,7.776,8.212,8.639,9.083,9.532,9.995,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BENTON SQUARE,2.044,2.275,2.509,2.78,3.077,3.398,3.737,4.097,4.501,4.933,5.334,5.771,6.204,6.592,7.049,7.503,7.99,8.491,9.015,9.542,10.081,10.614,11.161,11.711,12.242,12.803,13.366,13.951,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BENWELL,1.199,1.4,1.61,1.864,2.163,2.486,2.831,3.199,3.601,4.03,4.431,4.865,5.296,5.687,6.141,6.594,7.079,7.577,8.098,8.622,9.158,9.69,10.233,10.78,11.312,11.87,12.43,13.011,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BILLINGHAM MARSH HOUSE,13.308,13.527,13.745,14.001,14.29,14.595,14.914,15.245,15.645,16.075,16.471,16.908,17.337,17.711,18.164,18.614,19.1,19.599,20.12,20.643,21.182,21.71,22.257,22.805,23.32,23.883,24.439,25.025,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BILLY MILL,1.68,1.864,2.05,2.27,2.518,2.785,3.065,3.361,3.701,4.064,4.401,4.769,5.133,5.456,5.841,6.222,6.632,7.052,7.493,7.936,8.391,8.838,9.298,9.762,10.205,10.678,11.15,11.643,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BIRTLEY GROVE 66/11KV,1.25,1.403,1.56,1.745,1.952,2.175,2.416,2.672,2.95,3.248,3.528,3.832,4.133,4.403,4.718,5.037,5.376,5.728,6.09,6.456,6.828,7.201,7.583,7.962,8.33,8.72,9.113,9.519,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BIRTLEY GROVE 66/20KV,0.61,0.714,0.822,0.95,1.093,1.25,1.421,1.606,1.795,1.997,2.188,2.392,2.597,2.785,2.999,3.215,3.444,3.681,3.926,4.174,4.425,4.679,4.935,5.192,5.447,5.709,5.976,6.249,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BLAYDON BURN,1.528,1.793,2.066,2.379,2.712,3.079,3.477,3.909,4.347,4.811,5.251,5.721,6.192,6.629,7.123,7.618,8.145,8.688,9.253,9.824,10.403,10.986,11.572,12.164,12.756,13.358,13.972,14.598,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BLUCHER 33/11KV,1.395,1.598,1.8,2.034,2.287,2.557,2.84,3.137,3.484,3.857,4.202,4.579,4.951,5.28,5.674,6.064,6.484,6.915,7.367,7.82,8.287,8.744,9.217,9.692,10.143,10.629,11.112,11.618,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BOLDON DOWNHILL,2.111,2.258,2.407,2.584,2.788,3.006,3.235,3.476,3.756,4.055,4.333,4.636,4.936,5.201,5.518,5.831,6.17,6.516,6.88,7.244,7.62,7.988,8.368,8.749,9.114,9.504,9.893,10.299,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,1.063,1.216,1.366,1.517,1.64,1.775,1.928,2.092,2.252,2.422,2.586,2.76,2.935,3.096,3.277,3.464,3.66,3.867,4.073,4.285,4.497,4.716,4.935,5.152,5.37,5.592,5.823,6.054,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BOWESFIELD 33/11KV,0.807,1.01,1.238,1.523,1.877,2.272,2.708,3.189,3.643,4.125,4.585,5.071,5.562,6.028,6.541,7.06,7.606,8.171,8.758,9.352,9.949,10.559,11.164,11.777,12.406,13.026,13.668,14.314,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BOWESFIELD 66/11KV,0.904,1.034,1.176,1.353,1.572,1.814,2.078,2.366,2.652,2.955,3.244,3.551,3.859,4.146,4.469,4.794,5.138,5.494,5.863,6.237,6.615,6.997,7.38,7.766,8.156,8.548,8.95,9.359,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BRANCEPETH,16.332,16.701,17.09,17.554,18.092,18.68,19.328,20.02,20.733,21.493,21.881,22.658,23.416,24.12,24.916,25.728,26.585,27.497,28.411,29.352,30.288,31.254,32.22,33.188,34.145,35.14,36.157,37.192,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BREAMISH STREET,0.845,0.977,1.114,1.268,1.427,1.605,1.798,2.01,2.218,2.438,2.647,2.869,3.092,3.302,3.536,3.772,4.021,4.278,4.546,4.816,5.09,5.367,5.643,5.924,6.207,6.491,6.783,7.078,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BRENDA TRADING,2.13,2.434,2.762,3.167,3.659,4.2,4.787,5.422,6.071,6.762,7.415,8.114,8.813,9.459,10.192,10.929,11.712,12.52,13.36,14.209,15.069,15.934,16.807,17.687,18.563,19.459,20.371,21.303,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
CAMPLESHON ROAD,1.999,2.266,2.537,2.844,3.167,3.519,3.897,4.303,4.734,5.195,5.628,6.095,6.56,6.983,7.471,7.961,8.483,9.023,9.582,10.147,10.722,11.297,11.882,12.468,13.043,13.642,14.249,14.873,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
CARLEY HILL,1.592,1.865,2.151,2.492,2.883,3.311,3.77,4.266,4.785,5.34,5.86,6.42,6.978,7.491,8.078,8.665,9.292,9.936,10.609,11.288,11.979,12.669,13.368,14.073,14.77,15.488,16.215,16.963,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
CARLIN HOW T3 T4,4.321,4.603,4.914,5.304,5.791,6.327,6.914,7.552,8.188,8.864,9.507,10.193,10.881,11.519,12.238,12.965,13.734,14.531,15.354,16.188,17.029,17.883,18.741,19.602,20.467,21.344,22.243,23.156,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
CARR HILL,2.014,2.334,2.657,3.03,3.436,3.872,4.336,4.83,5.377,5.963,6.509,7.102,7.691,8.219,8.839,9.456,10.119,10.8,11.511,12.226,12.958,13.683,14.425,15.172,15.894,16.656,17.421,18.214,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
