Scenario ,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Consumer Transformation,5.986805647,6.443320388,6.413478686,6.412530845,6.439425158,6.524668399,6.640457613,6.795809895,7.011469151,7.327515215,7.677471209,8.05017194,8.423106636,8.774956104,9.283153009,9.610745674,9.880978823,10.11582279,10.32545727,10.52420548,10.68327069,10.79077209,10.85072888,10.88371259,10.90572498,10.92089958,10.9320075,10.93955945,10.93706496,10.91550803
System Transformation,6.003826146,6.573592377,6.560536283,6.534749593,6.541368585,6.591646392,6.669236535,6.767944148,6.889303553,7.083622716,7.251646995,7.437330269,7.648165036,7.878513967,8.289743528,8.63345416,8.954074667,9.252283116,9.519505769,9.759121063,9.993651255,10.18592316,10.34485,10.47833145,10.61527331,10.77869834,10.91328715,11.05474549,11.19449867,11.32225044
Leading The Way,5.98654234,6.352269558,6.271905459,6.241979631,6.255064597,6.327752799,6.454056255,6.63888329,6.847997323,7.157733943,7.543521279,7.890694231,8.23366803,8.551881211,9.002390966,9.315933458,9.520159362,9.659287742,9.769314247,9.826600444,9.912128342,9.913343439,9.89470869,9.87688902,9.849806677,9.832369347,9.807699267,9.771163802,9.731866594,9.678162076
NPg Planning Scenario no customer flexibility,5.97446741,6.550347841,6.610404709,6.659772545,6.744214469,6.865795718,7.033066331,7.255989124,7.533729478,7.960311949,8.287769807,8.601690381,8.949517356,9.294016855,9.856308625,10.22956746,10.55671558,10.86983089,11.16076592,11.40363146,11.61182286,11.81064179,11.99697571,12.15650857,12.30477686,12.44332471,12.58230194,12.71579503,12.73536654,12.74274774
Falling Short,6.004237499,6.787883478,6.877307554,6.914595862,6.946691894,6.96698956,7.014689726,7.087384714,7.179699302,7.351733022,7.486263669,7.632058221,7.795232514,7.97425339,8.349377288,8.622649519,8.895174306,9.188153329,9.499498827,9.815153581,10.15728728,10.44475807,10.71573195,10.96867491,11.2058214,11.39728926,11.58078599,11.77958485,11.99391158,12.21856536
NPg Planning Scenario,5.969345854,6.539902741,6.593133939,6.631402589,6.698548432,6.800633682,6.9422274,7.128464925,7.366552236,7.746006251,8.026759613,8.298471786,8.611801059,8.922868195,9.442773932,9.777352253,10.07674483,10.36909878,10.64393491,10.8730149,11.0730983,11.26565803,11.44772865,11.60444508,11.75156343,11.89032587,12.03013433,12.16511665,12.1867239,12.19631847
