Demand type,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Electric HGVs,0.217 ,1.027 ,2.431 ,4.428 ,7.019 ,10.203 ,20.040 ,36.057 ,57.962 ,85.465 ,118.275 ,156.041 ,193.398 ,230.308 ,266.735 ,302.638 ,340.147 ,374.988 ,407.158 ,436.658 ,463.484 ,484.726 ,502.172 ,515.823 ,525.679 ,531.741 ,535.100 ,538.450 ,541.792 ,545.127 ,548.453 
Electric Buses,0.101 ,0.469 ,1.103 ,2.003 ,3.170 ,4.603 ,6.386 ,8.578 ,11.147 ,14.060 ,17.287 ,20.615 ,24.032 ,27.447 ,30.731 ,33.893 ,37.828 ,41.633 ,45.309 ,48.619 ,51.562 ,54.080 ,56.170 ,57.833 ,59.225 ,60.344 ,61.193 ,61.769 ,62.072 ,62.313 ,62.494 
Electrolysers,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.094 ,0.173 ,0.227 ,0.262 ,0.455 ,1.021 ,1.974 ,3.281 ,4.895 ,6.093 ,7.581 ,9.062 ,10.424 ,11.642 ,12.796 ,13.624 ,14.119 ,14.350 ,14.370 ,14.236 ,13.944 ,13.655 ,13.379 ,13.155 ,12.995 
Large industry Fuel Switching,0.000 ,15.285 ,30.570 ,45.855 ,61.140 ,76.426 ,102.640 ,128.855 ,155.069 ,181.284 ,207.499 ,230.555 ,253.611 ,276.668 ,299.724 ,322.780 ,350.159 ,377.537 ,404.916 ,432.294 ,459.672 ,499.882 ,540.091 ,580.301 ,620.511 ,660.720 ,660.720 ,660.720 ,660.720 ,660.720 ,660.720 
