Scenario,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Consumer Transformation,33.43466416,33.23377937,32.95478299,32.94145133,33.08238045,33.52001789,34.09535453,34.88992929,35.99859514,37.36600401,39.2509837,41.27566593,43.33648875,45.33550068,47.65975215,49.66879568,51.42138712,53.03978581,54.53570185,55.99234164,57.23768831,58.11107252,58.57101837,58.83208366,59.00813735,59.1215151,59.21749481,59.29371378,59.33646541,59.1998397
System Transformation,33.43558567,33.75834916,33.54184727,33.37592049,33.36419616,33.56080773,33.88381677,34.32175691,34.88899105,35.52765278,36.34801364,37.28748882,38.36915688,39.56332956,41.09364538,42.64198138,44.10268546,45.43967265,46.61599399,47.64379795,48.59662621,49.35479848,49.89466967,50.23523039,50.5640014,50.94980362,51.23585846,51.54737867,51.85287765,52.12057449
Leading The Way,33.43375106,32.77733992,32.22142352,32.03461489,32.07032952,32.41502781,32.98519475,33.85619664,34.8904495,36.18402648,38.22802534,40.16701514,42.11739202,43.98225568,46.03215186,48.00282679,49.46163426,50.64180493,51.70516519,52.54056502,53.5372376,54.0840127,54.43176293,54.51142989,54.48712212,54.47154279,54.37922336,54.22987807,54.06261855,53.75379989
NPg Planning Scenario,33.40503555,33.82164533,34.03005886,34.3110803,34.76348244,35.45166686,36.42195228,37.71293353,39.28087244,41.37497229,43.29366663,45.18812174,47.20681545,49.22864071,51.85161932,54.08770224,56.03417942,57.9104878,59.65784184,61.24789425,62.63593159,63.86516955,64.91904702,65.80565075,66.55681841,67.19682274,67.83146033,68.43663282,68.54822159,68.57801292
Falling Short,33.43701218,34.84439246,35.16881298,35.35561899,35.52168622,35.61882631,35.8357711,36.17483082,36.61683147,37.15874382,37.74987172,38.40967609,39.1606707,39.99475081,41.21084041,42.41981929,43.67678309,45.02109709,46.43382307,47.89524038,49.42349685,50.8051905,52.14539563,53.42837637,54.69967921,55.68924769,56.5613165,57.22036048,57.92868641,58.6698601
