Scenario,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Consumer Transformation,55956,101669,160323,252512,391377,598542,809539,1070422,1380521,1734078,2159887,2611577,3060319,3470364,3823990,4106123,4312251,4459753,4552937,4612614,4619976,4608375,4589627,4563607,4529989,4486289,4432223,4372375,4298114,4211467
System Transformation,55956,84861,116723,160552,221150,305901,421821,580160,793281,1005491,1268575,1578832,1935100,2327290,2720731,3116692,3491035,3826361,4105417,4327703,4499029,4619061,4653438,4628815,4591689,4537532,4464840,4396785,4323869,4241804
Leading The Way,55956,99188,157675,246431,382317,588210,802792,1089652,1441581,1856121,2312335,2799431,3267498,3681880,4004929,4242174,4399033,4500405,4545426,4520504,4482058,4426958,4357391,4263987,4146432,4010951,3855464,3679794,3485480,3265163
NPg Planning Scenario,55956,108640,213800,350456,523703,716036,939481,1194431,1475724,1843408,2198530,2542871,2873291,3186376,3479607,3749194,3995456,4217344,4415258,4589052,4698245,4786011,4854110,4905744,4943989,4970617,4989110,5000992,5008709,5013445
Falling Short,55956,83356,111760,150270,201739,271706,364257,486860,647400,799403,976929,1182226,1415263,1674107,1953531,2281516,2626010,2978755,3326515,3628975,3903541,4144094,4351523,4521168,4653598,4685089,4712880,4737821,4760642,4781906
