Scenario,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Consumer Transformation,0.176486037,0.266229847,0.355204655,0.564379614,0.590742318,0.609640915,0.629022271,0.652518353,0.673349399,0.837408937,0.864796668,0.899205723,0.959533798,1.00485877,1.123846656,1.187387324,1.277064054,1.419668554,1.538326817,1.667240294,1.743134823,1.844748879,1.899406431,1.96588005,2.02257269,2.165602836,2.228066158,2.292002824,2.397502665,2.466123474
System Transformation,0.17465433,0.238141808,0.243430888,0.281781699,0.524944676,0.530548064,0.536261032,0.543278288,0.549383496,0.556557894,0.564258477,0.576332809,0.602481624,0.689135625,0.700349342,0.831833035,0.849319605,0.864125919,0.877462788,0.890776488,0.984076675,1.066322647,1.080168137,1.133330671,1.147435742,1.162178389,1.177392394,1.193186909,1.209535431,1.226409824
Leading The Way,0.176172921,0.420699059,0.499134735,0.617693335,0.6311569,0.651174201,0.7481435,0.773389956,0.812993818,0.848669887,0.886334611,0.922754017,1.002598507,1.173943646,1.297315745,1.386683937,1.440568088,1.499011941,1.623689659,1.680865897,1.742154567,1.840905499,1.903806026,1.968423739,2.06825787,2.187518549,2.260353256,2.334921227,2.451556521,2.531757128
NPg Planning Scenario,0.176172921,0.420699059,0.499134735,0.617693335,0.6311569,0.651174201,0.7481435,0.773389956,0.812993818,0.848669887,0.886334611,0.922754017,1.002598507,1.173943646,1.297315745,1.386683937,1.440568088,1.499011941,1.623689659,1.680865897,1.742154567,1.840905499,1.903806026,1.968423739,2.06825787,2.187518549,2.260353256,2.334921227,2.451556521,2.531757128
Falling Short,0.175168927,0.219938852,0.246505446,0.250128672,0.289166264,0.494955994,0.500206693,0.506669722,0.511075049,0.555744275,0.561532655,0.567137882,0.575801414,0.599715913,0.608179949,0.618254654,0.629128891,0.641303699,0.650543029,0.70912084,0.718294933,0.725102488,0.732479046,0.739517311,0.82424904,0.881275415,0.889212783,1.0332461,1.07970313,1.091853179
