Scenario,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Consumer Transformation,37489,60496,77413,95995,114619,156372,221081,314858,441924,596248,765830,931864,1097830,1262231,1454771,1669376,1859240,2047886,2238883,2429889,2605072,2749066,2863692,2949779,3015398,3068450,3118991,3166960,3209984,3224513
System Transformation,37489,50677,61770,73786,87361,103708,126231,150254,175686,202468,229157,249861,270891,292543,319920,421922,509682,599681,691302,784423,891919,989289,1092255,1201967,1320880,1462854,1588838,1715673,1842561,1960917
Leading The Way,37489,50600,103025,162562,243436,348261,459519,582052,696226,819729,995154,1135593,1276492,1415215,1577155,1812229,1973560,2095636,2211400,2299343,2429904,2482919,2524877,2583176,2631525,2682923,2717146,2743544,2769537,2766866
NPg Planning Scenario,37807,54255,73585,94167,145981,216586,305335,419489,545817,691754,825970,969084,1130282,1306315,1496164,1677062,1856404,2039602,2230016,2409952,2598963,2771448,2925286,3059379,3182376,3295319,3409463,3523789,3552198,3568971
Falling Short,37489,45319,52492,59561,66655,80477,102416,128177,157118,188885,230415,272029,315811,362622,413140,489992,557646,632642,717546,810031,922443,1010025,1094710,1176424,1255360,1334079,1414269,1519187,1633855,1751705
