Scenario,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Consumer Transformation,3.00796539,3.515046037,3.620449781,3.812749717,4.113260806,4.424899953,4.741723296,5.086592741,5.449696004,5.857079922,6.289918816,6.722737566,7.151230128,7.615143071,8.052239374,8.482382009,8.886782431,9.304898184,9.744981658,10.22599253,10.70163214,11.1788584,11.6571057,12.08604521,12.51234436,12.82961039,13.07648385,13.3231861,13.5674299,13.81622686
System Transformation,3.006892389,3.480425107,3.538991447,3.627071692,3.742744082,3.875949124,4.026318959,4.188621119,4.362636377,4.590609604,4.83776166,5.092561266,5.333905021,5.600930061,5.819225774,5.997879065,6.138315011,6.279131675,6.427808931,6.614619443,6.801700172,6.988492539,7.175513172,7.347801251,7.520442856,7.693573928,7.867082712,8.04098553,8.215291964,8.41155267
Leading The Way,3.007160639,3.534318448,3.674195275,3.936792612,4.295294965,4.662127581,5.032440115,5.412967098,5.796951484,6.205018195,6.653679571,7.122341404,7.582374158,8.031265393,8.44586419,8.821226342,9.172680658,9.524046339,9.939541117,10.39480189,10.83986076,11.29389067,11.74829516,12.10540268,12.42368884,12.67192048,12.87504101,13.07850069,13.28082034,13.49899907
NPg Planning Scenario,3.007160639,3.534318448,3.674195275,3.936792612,4.295294965,4.662127581,5.032440115,5.412967098,5.796951484,6.205018195,6.653679571,7.122341404,7.582374158,8.031265393,8.44586419,8.821226342,9.172680658,9.524046339,9.939541117,10.39480189,10.83986076,11.29389067,11.74829516,12.10540268,12.42368884,12.67192048,12.87504101,13.07850069,13.28082034,13.49899907
Falling Short,3.006758264,3.447245522,3.462172322,3.483786231,3.50757944,3.545843923,3.595522115,3.652636534,3.717451007,3.809571646,3.930150048,4.067394348,4.202572882,4.348805045,4.465882603,4.571883648,4.631683434,4.691530656,4.774159251,4.841363586,4.931240585,5.020974064,5.110558682,5.199998821,5.289293998,5.378439455,5.4674427,5.556297556,5.645006254,5.733567309
