Scenario,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Consumer Transformation,141.4571608,268.5476759,410.9407815,632.8733598,973.3597892,1497.118666,2076.090613,2863.073515,3931.260925,5378.08186,7327.880107,9945.188921,13418.53346,17954.21966,23623.4925,29813.40166,36494.59665,43556.49554,50748.82752,58127.85786,65236.64446,70878.51539,74264.17381,75118.99166,75880.15588,76546.69216,77213.42077,77633.78517,78143.73296,78266.82095
System Transformation,141.4571608,243.6587848,352.4074258,511.0550454,737.8371061,1063.88894,1533.835174,2212.170688,3192.018241,4304.170496,5785.822305,7754.375638,10341.35967,13626.6662,17788.34675,22035.15591,26314.84737,30569.45085,34735.39392,38732.41944,42480.02666,45763.50639,47937.2696,47631.43841,46977.15382,46186.64951,45297.52512,44331.63021,43334.81843,42309.18745
Leading The Way,141.4571608,318.6491878,489.2781377,755.4697386,1160.974087,1778.810318,2449.609115,3343.520366,4529.23153,6094.428723,8143.848142,10821.44116,14282.48528,18703.93596,24099.67683,29900.96599,36114.3799,42720.43277,49602.6969,56712.45779,63522.50266,69777.3239,74657.66526,75841.8712,75487.2086,75002.04641,74411.90907,73709.63745,72904.74336,71888.81374
NPg Planning Scenario,194.9805655,474.3573882,874.991904,1396.884113,2040.034015,3551.83516,5911.994406,9120.511753,13177.3872,18082.62075,23808.19894,29946.0562,36474.95013,43359.14097,50598.62872,57284.74678,63422.34915,69011.43583,73982.87011,78336.652,81805.69214,84563.29232,86609.45252,87984.67696,88688.96565,89091.41705,89407.24573,89636.45169,89859.69432,90076.97363
Falling Short,141.4571608,140.9680333,193.1721394,264.4504125,361.486128,486.1230586,658.2780857,897.4212169,1231.25923,1587.727654,2054.169084,2668.093691,3478.946703,4553.10164,5977.392114,7862.521849,10341.23788,13171.91625,16381.22814,21418.18665,26881.76247,32815.18974,39224.55777,46022.78937,53550.64254,59488.81947,63661.33901,65521.9897,67504.91381,69592.03737
