Emission type,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
Natural gas,11.112,10.983,10.854,10.690,10.518,10.279,9.987,9.638,9.181,8.711,8.228,7.840,7.426,6.955,6.418,5.878,5.366,4.875,4.379,3.869,3.342,2.781,2.278,1.834,1.408,1.044,0.714,0.392,0.136,0.071,0.017,
Hydrogen,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.004,0.006,0.007,0.009,0.012,0.014,0.017,0.019,0.021,0.024,0.027,0.035,0.041,0.045,0.050,0.053,0.055,0.056,0.057,0.058,0.058,
Bioenergy,0.058,0.057,0.055,0.053,0.051,0.049,0.046,0.043,0.039,0.037,0.034,0.032,0.030,0.028,0.026,0.024,0.022,0.020,0.019,0.017,0.015,0.013,0.012,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.009,
Petrol,18.142,18.136,17.886,17.279,16.601,15.734,14.595,13.438,12.228,11.007,9.831,8.668,7.427,6.288,5.258,4.336,3.563,2.882,2.284,1.763,1.314,0.948,0.652,0.416,0.265,0.164,0.108,0.067,0.048,0.036,0.027,
Solid fuel,0.283,0.277,0.265,0.251,0.237,0.225,0.208,0.189,0.167,0.154,0.141,0.130,0.118,0.107,0.097,0.086,0.077,0.067,0.057,0.046,0.036,0.026,0.016,0.006,0.005,0.004,0.004,0.004,0.003,0.003,0.003,
Electricity,5.584,5.433,5.334,4.848,4.915,4.602,3.495,2.876,2.565,2.390,1.985,1.662,1.237,0.963,0.748,0.554,0.538,0.506,0.495,0.472,0.440,0.306,0.282,0.267,0.258,0.173,0.158,0.126,0.126,0.107,0.105,
Total emissions,35.179,34.886,34.394,33.121,32.322,30.889,28.332,26.185,24.181,22.299,20.224,18.337,16.246,14.352,12.558,10.893,9.582,8.368,7.254,6.191,5.173,4.108,3.279,2.579,1.995,1.448,1.049,0.655,0.381,0.285,0.220,
