Demand breakdown,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Domestic,2.44804489,2.30045375,2.282730035,2.271687518,2.259112924,2.250734876,2.251640353,2.253449693,2.255696586,2.258380852,2.257618407,2.25749484,2.257472614,2.256858745,2.25703396,2.258726245,2.262629345,2.267762894,2.27165651,2.276591319,2.283158361,2.289491181,2.29585808,2.302260011,2.308775739,2.315172777,2.323174832,2.333783393,2.344509241,2.3598171
I & C,3.429756652,4.11868925,4.125933013,4.090915931,4.055751647,4.023753297,3.994409674,3.967749158,3.944009967,3.987293589,3.968673894,3.951345855,3.935202606,3.920159679,4.07268023,4.060050682,4.048329794,4.037466301,4.027385676,4.018024205,4.009327567,4.001238825,3.993693468,3.986655411,3.980034983,3.973782269,3.96783586,3.962133721,3.956613151,3.951210743
Heat pumps - domestic,0.022111132,0.028346995,0.035537781,0.042972142,0.06990346,0.115262902,0.17636371,0.265356592,0.383844693,0.535700979,0.660455637,0.78490612,0.936808525,1.093775289,1.255603194,1.410752309,1.56415077,1.715806276,1.866065731,1.985367672,2.101710144,2.218632561,2.333391683,2.431815352,2.528367834,2.622737534,2.720361829,2.815126544,2.81154971,2.804302064
Heat pumps - I & C,0.043292511,0.043208728,0.046794229,0.053643422,0.061635803,0.071064267,0.081158117,0.091553335,0.108783046,0.128370285,0.150930441,0.170150947,0.19313254,0.215331195,0.237156629,0.259413608,0.289716359,0.324044832,0.362549933,0.395974613,0.428042093,0.463023435,0.500623612,0.537891025,0.576971313,0.61760558,0.656835484,0.694153803,0.718310395,0.730448154
EV,0.024842549,0.046136755,0.096555752,0.163337858,0.239289568,0.316425468,0.398603219,0.48781939,0.583668431,0.71246662,0.827292075,0.935113853,1.052476511,1.163335827,1.310771781,1.440704354,1.528647256,1.607793184,1.669876589,1.72326184,1.755242272,1.7797155,1.796549778,1.807929751,1.813011805,1.812860442,1.810192045,1.804816528,1.797320849,1.788852192
