Primary,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,47864.8,47515.984,47335.484,47178.886,47058.713,46970.981,46936.183,46924.588,46942.191,47006.374,46967.014,46926.464,46886.686,46848.184,46807.989,46763.537,46719.671,46678.833,46640.352,46604.597,46571.042,46539.175,46507.771,46476.796,46446.251,46416.157,46386.499,46357.298,46328.953,NPgN,Primary,NG FES - Falling Short (EE CF),Domestic (MWh)
AMBERTON ROAD,53945.957,53680.566,53546.013,53423.954,53329.667,53253.201,53218.402,53198.358,53200.656,53243.851,53203.254,53164.809,53128.633,53092.573,53060.036,53024.198,52991.708,52961.713,52931.021,52901.86,52870.186,52838.667,52807.789,52777.52,52747.853,52718.82,52690.411,52662.645,52635.876,NPgN,Primary,NG FES - Falling Short (EE CF),Domestic (MWh)
ANNFIELD 66/20KV,44174.196,44019.482,44009.064,44017.501,44051.245,44102.825,44193.143,44293.662,44418.665,44582.929,44640.252,44690.345,44736.516,44782.731,44824.7,44859.457,44891.362,44925.305,44961.915,44999.735,45037.583,45074.453,45111.745,45149.38,45187.282,45225.596,45264.306,45303.419,45343.34,NPgN,Primary,NG FES - Falling Short (EE CF),Domestic (MWh)
ASHINGTON,36484.934,36355.879,36351.117,36356.002,36386.799,36426.56,36504.394,36590.602,36696.806,36836.26,36884.321,36931.999,36977.63,37015.301,37049.399,37076.785,37107.781,37139.513,37169.778,37200.247,37230.546,37259.935,37289.652,37319.638,37349.846,37380.376,37411.211,37442.363,37474.197,NPgN,Primary,NG FES - Falling Short (EE CF),Domestic (MWh)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Falling Short (EE CF),Domestic (MWh)
AYCLIFFE INDUSTRIAL,14291.168,14247.131,14248.162,14255.164,14270.599,14291.711,14325.456,14362.321,14407.199,14465.068,14486.749,14505.696,14523.188,14540.705,14556.611,14569.833,14581.929,14594.714,14608.501,14622.711,14636.91,14650.742,14664.713,14678.814,14693.041,14707.407,14721.907,14736.549,14751.468,NPgN,Primary,NG FES - Falling Short (EE CF),Domestic (MWh)
BARDEN FRIAR,942.435,934.398,930.447,927.357,924.488,922.19,920.93,919.882,919.764,920.555,919.196,918.173,917.061,916.194,915.448,914.829,914.562,914.316,914.108,913.903,913.713,913.519,913.333,913.144,912.941,912.744,912.554,912.368,912.195,NPgN,Primary,NG FES - Falling Short (EE CF),Domestic (MWh)
BEDALE,15935.427,15850.945,15821.61,15797.458,15781.132,15769.893,15777.886,15787.171,15808.924,15842.901,15843.904,15845.971,15849.199,15849.378,15849.534,15850.514,15852.741,15855.375,15857.878,15860.203,15863.727,15866.712,15869.841,15873.009,15876.088,15879.3,15882.636,15886.078,15889.765,NPgN,Primary,NG FES - Falling Short (EE CF),Domestic (MWh)
BELMONT,29494.171,29395.147,29397.543,29412.838,29444.999,29488.538,29557.715,29633.138,29724.825,29842.954,29887.143,29925.69,29961.227,29996.787,30029.032,30055.892,30080.424,30106.347,30134.292,30163.092,30191.851,30219.842,30248.1,30276.589,30305.285,30334.242,30363.45,30392.92,30422.917,NPgN,Primary,NG FES - Falling Short (EE CF),Domestic (MWh)
BENSHAM,27687.581,27492.624,27399.94,27319.897,27257.629,27213.603,27200.239,27200.66,27221.017,27270.477,27261.855,27256.359,27251.591,27248.08,27246.677,27245.282,27246.833,27251.692,27256.686,27262.752,27269.405,27275.892,27282.655,27289.669,27296.927,27304.45,27312.229,27320.275,27328.799,NPgN,Primary,NG FES - Falling Short (EE CF),Domestic (MWh)
