Primary,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,17.5,17.499,17.516,17.621,17.79,18.021,18.325,18.672,19.011,19.346,19.65,19.935,20.154,20.363,20.552,20.73,20.888,21.041,21.176,21.301,21.419,21.528,21.631,21.729,21.812,21.895,21.979,22.053,22.091,NPgN,Primary,NG FES - Falling Short (EE CF),Total peak demand (MW)
AMBERTON ROAD,23.495,23.544,28.058,28.631,30.169,30.568,31.087,31.669,32.229,32.778,33.286,33.771,34.182,34.603,34.969,35.346,35.659,35.949,36.21,36.438,36.644,36.826,36.989,37.135,37.259,37.376,37.487,37.589,37.63,NPgN,Primary,NG FES - Falling Short (EE CF),Total peak demand (MW)
ANNFIELD 66/20KV,19.884,19.959,20.071,20.264,20.517,20.83,21.22,21.658,22.091,22.523,22.925,23.311,23.65,23.981,24.28,24.572,24.842,25.107,25.357,25.587,25.803,26.003,26.189,26.363,26.521,26.671,26.819,26.957,27.07,NPgN,Primary,NG FES - Falling Short (EE CF),Total peak demand (MW)
ASHINGTON,17.892,17.878,17.909,18.02,18.191,18.423,18.726,19.072,19.408,19.738,20.038,20.321,20.547,20.748,20.918,21.079,21.221,21.354,21.467,21.569,21.663,21.746,21.821,21.891,21.944,21.997,22.05,22.101,22.139,NPgN,Primary,NG FES - Falling Short (EE CF),Total peak demand (MW)
AYCLIFFE FORREST,0.122,0.122,3.621,3.62,3.62,3.619,3.619,3.618,3.618,3.618,3.617,3.617,3.617,3.617,3.617,3.617,3.616,3.616,3.616,3.616,3.616,3.616,3.616,3.616,3.616,3.616,3.616,3.616,3.616,NPgN,Primary,NG FES - Falling Short (EE CF),Total peak demand (MW)
AYCLIFFE INDUSTRIAL,17.063,17.069,17.09,17.14,17.21,17.303,17.423,17.563,17.707,17.857,18.005,18.153,18.288,18.428,18.569,18.714,18.856,18.998,19.135,19.268,19.397,19.52,19.638,19.751,19.856,19.959,20.06,20.156,20.237,NPgN,Primary,NG FES - Falling Short (EE CF),Total peak demand (MW)
BARDEN FRIAR,0.939,0.955,0.974,0.997,1.024,1.053,1.087,1.125,1.162,1.199,1.234,1.268,1.3,1.332,1.361,1.389,1.416,1.441,1.467,1.49,1.513,1.533,1.553,1.572,1.59,1.608,1.625,1.641,1.657,NPgN,Primary,NG FES - Falling Short (EE CF),Total peak demand (MW)
BEDALE,17.257,17.405,17.845,18.036,18.251,18.496,18.776,19.081,19.396,19.723,20.052,20.387,20.718,21.065,21.411,21.771,22.127,22.485,22.835,23.174,23.503,23.818,24.12,24.409,24.684,24.95,25.209,25.46,25.689,NPgN,Primary,NG FES - Falling Short (EE CF),Total peak demand (MW)
BELMONT,22.461,22.506,23.722,23.823,23.951,24.103,24.29,24.498,24.711,24.932,25.145,25.359,25.557,25.775,25.988,26.206,26.415,26.625,26.831,27.031,27.228,27.419,27.606,27.788,27.964,28.137,28.308,28.472,28.605,NPgN,Primary,NG FES - Falling Short (EE CF),Total peak demand (MW)
BENSHAM,18.049,18.041,18.089,18.205,18.379,18.605,18.913,19.277,19.636,19.994,20.328,20.647,20.937,21.216,21.462,21.696,21.914,22.122,22.305,22.469,22.615,22.743,22.854,22.95,23.022,23.087,23.147,23.199,23.233,NPgN,Primary,NG FES - Falling Short (EE CF),Total peak demand (MW)
BENTON SQUARE,16.933,17.028,19.108,19.582,19.824,20.109,20.458,20.846,21.234,21.624,21.995,22.356,22.676,22.989,23.28,23.576,23.852,24.121,24.372,24.608,24.829,25.033,25.222,25.398,25.556,25.707,25.852,25.992,26.111,NPgN,Primary,NG FES - Falling Short (EE CF),Total peak demand (MW)
BENWELL,17.259,17.236,17.242,17.711,17.84,18.011,18.23,18.482,18.741,19.009,19.261,19.505,19.697,19.874,20.038,20.202,20.354,20.505,20.648,20.781,20.902,21.01,21.105,21.189,21.259,21.322,21.38,21.432,21.47,NPgN,Primary,NG FES - Falling Short (EE CF),Total peak demand (MW)
BILLINGHAM MARSH HOUSE,16.164,16.375,16.597,16.889,17.223,17.598,18.035,18.522,19.025,19.545,20.064,20.584,21.073,21.555,22.033,22.518,23.008,23.5,23.968,24.417,24.84,25.233,25.597,25.933,26.233,26.515,26.784,27.042,27.283,NPgN,Primary,NG FES - Falling Short (EE CF),Total peak demand (MW)
BILLY MILL,17.138,17.208,17.305,17.869,18.063,18.291,18.572,18.887,19.204,19.524,19.827,20.121,20.382,20.629,20.86,21.087,21.309,21.527,21.731,21.926,22.109,22.28,22.44,22.59,22.725,22.854,22.98,23.102,23.213,NPgN,Primary,NG FES - Falling Short (EE CF),Total peak demand (MW)
BIRTLEY GROVE 66/11KV,13.48,13.492,16.779,16.869,16.993,17.153,17.367,17.627,18.397,18.716,19.048,19.39,19.717,21.715,22.052,22.406,22.772,23.142,23.495,23.822,24.116,24.371,24.587,24.766,24.906,25.019,25.112,25.191,25.257,NPgN,Primary,NG FES - Falling Short (EE CF),Total peak demand (MW)
BIRTLEY GROVE 66/20KV,11.329,11.312,11.295,11.308,11.333,11.373,11.431,11.503,11.583,11.673,11.764,11.859,11.97,12.176,12.381,12.591,12.798,13.008,13.216,13.418,13.612,13.797,13.974,14.142,14.303,14.458,14.607,14.721,14.738,NPgN,Primary,NG FES - Falling Short (EE CF),Total peak demand (MW)
BLAYDON BURN,14.357,14.325,14.327,15.218,15.305,15.428,15.598,15.802,16.021,16.255,16.485,16.718,16.924,17.125,17.321,17.528,17.732,17.935,18.126,18.302,18.46,18.597,18.714,18.811,18.887,18.951,19.004,19.05,19.084,NPgN,Primary,NG FES - Falling Short (EE CF),Total peak demand (MW)
BLUCHER 33/11KV,13.003,13.026,13.088,13.638,13.854,14.115,14.43,14.782,15.139,15.501,15.843,16.171,16.427,16.654,16.861,17.06,17.243,17.42,17.584,17.735,17.873,17.996,18.105,18.201,18.281,18.353,18.419,18.481,18.532,NPgN,Primary,NG FES - Falling Short (EE CF),Total peak demand (MW)
BOLDON DOWNHILL,7.086,7.11,9.149,9.242,9.36,9.501,9.678,9.88,10.081,10.28,10.47,10.651,10.801,10.944,11.073,11.198,11.317,11.432,11.536,11.632,11.72,11.798,11.869,11.932,11.983,12.03,12.075,12.114,12.138,NPgN,Primary,NG FES - Falling Short (EE CF),Total peak demand (MW)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,4.666,4.686,4.715,4.758,4.817,4.9,5.014,5.16,5.337,5.545,5.774,6.022,6.28,6.559,6.854,7.173,7.505,7.844,8.173,8.477,8.75,8.987,9.187,9.351,9.484,9.59,9.674,9.743,9.795,NPgN,Primary,NG FES - Falling Short (EE CF),Total peak demand (MW)
BOWESFIELD 33/11KV,9.341,9.458,9.605,9.802,10.032,10.298,10.616,10.973,11.344,11.73,12.118,12.508,12.873,13.242,13.603,13.979,14.35,14.719,15.076,15.409,15.718,15.998,16.251,16.478,16.681,16.866,17.036,17.194,17.331,NPgN,Primary,NG FES - Falling Short (EE CF),Total peak demand (MW)
