Primary,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,76603.8,76615.433,77739.688,80370.793,84384.119,88795.548,91756.279,93962.403,97564.061,104452.828,110802.203,116733.44,122201.975,127216.03,131988.086,136682.533,141068.431,144992.353,147812.686,149920.381,151686.401,154565.84,158009.405,160514.483,159996.752,159472.05,158956.623,158443.521,157996.598,NPgN,Primary,NG FES - Leading the Way (EE CF),Total demand (MWh)
AMBERTON ROAD,124897.375,124591.953,135071.44,138113.932,144299.142,148143.125,150917.881,153157.39,156429.534,164517.948,172290.471,179745.955,186788.173,193320.679,199470.889,205376.174,210855.723,215805.563,219642.768,222842.589,225698.367,229389.486,233471.302,236921.162,236087.385,235256.983,234448.541,233655.832,232927.265,NPgN,Primary,NG FES - Leading the Way (EE CF),Total demand (MWh)
ANNFIELD 66/20KV,100905.778,101172.97,102606.286,105317.521,109406.505,113905.453,117212.359,120122.08,124519.949,132121.767,139248.368,146012.601,152357.792,158250.666,163742.96,168918.024,173685.475,177971.732,181291.793,183907.789,186110.264,189242.278,192751.757,195402.818,195173.771,194927.855,194687.835,194448.508,194271.34,NPgN,Primary,NG FES - Leading the Way (EE CF),Total demand (MWh)
ASHINGTON,85210.152,85337.852,86648.439,89330.265,93570.667,98317.072,101818.228,104842.949,109565.862,117940.803,125664.374,132910.022,139643.807,145843.237,151638.969,157200.6,162403.938,167147.554,170882.791,173858.987,176401.46,179902.84,183829.294,186742.063,186324.148,185891.522,185469.204,185050.597,184708.015,NPgN,Primary,NG FES - Leading the Way (EE CF),Total demand (MWh)
AYCLIFFE FORREST,621.878,614.215,8272.028,8265.261,8258.933,8252.937,8247.267,8241.923,8236.966,8232.684,8228.733,8225.007,8221.453,8217.96,8214.517,8211.165,8207.902,8204.755,8201.717,8198.752,8195.856,8193.038,8190.293,8187.615,8184.672,8181.787,8178.954,8176.159,8173.395,NPgN,Primary,NG FES - Leading the Way (EE CF),Total demand (MWh)
AYCLIFFE INDUSTRIAL,59925.398,59921.769,60472.98,61579.348,63279.449,65109.908,66437.031,67621.863,69463.969,72835.012,76036.771,79095.802,81976.927,84657.974,87160.778,89515.754,91673.248,93589.532,95061.561,96213.823,97178.411,98534.896,100040.071,101173.802,100975.587,100768.546,100562.45,100355.353,100172.931,NPgN,Primary,NG FES - Leading the Way (EE CF),Total demand (MWh)
BARDEN FRIAR,4584.259,4627.342,4715.458,4829.259,4982.147,5135.024,5274.547,5414.735,5608.875,5946.497,6274.532,6592.69,6897.408,7178.455,7436.698,7680.657,7910.875,8129.97,8329.302,8510.956,8680.333,8860.943,9046.041,9208.452,9238.835,9269.4,9301.26,9334.054,9369.861,NPgN,Primary,NG FES - Leading the Way (EE CF),Total demand (MWh)
BEDALE,88348.735,88809.907,90572.184,92449.34,95101.511,97989.938,100599.208,103180.369,106563.394,111560.707,116467.463,121254.939,125816.958,130033.279,133936.61,137609.274,140970.283,143985.67,146424.873,148461.252,150251.523,152303.526,154468.675,156278.681,156642.768,156979.886,157309.047,157630.25,157971.323,NPgN,Primary,NG FES - Leading the Way (EE CF),Total demand (MWh)
BELMONT,119727.689,119791.422,123455.253,125549.008,128564.923,131530.415,133732.048,135587.024,138433.057,143655.558,148585.762,153280.241,157683.599,161747.243,165551.879,169196.71,172572.372,175609.216,177920.196,179767.393,181366.832,183587.662,186118.83,188086.858,187884.041,187675.744,187476.573,187280.57,187128.561,NPgN,Primary,NG FES - Leading the Way (EE CF),Total demand (MWh)
BENSHAM,68664.012,68677.986,69525.054,71175.804,73667.763,76365.518,78392.36,80226.068,83089.94,88147.201,92929.91,97514.981,101845.381,105875.032,109637.396,113174.36,116408.473,119272.862,121456.363,123143.873,124531.497,126456.125,128598.385,130126.072,129776.616,129401.09,129017.254,128627.223,128275.031,NPgN,Primary,NG FES - Leading the Way (EE CF),Total demand (MWh)
