Primary,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,47864.8,47491.667,47293.805,47118.59,46979.26,46872.129,46819.296,46790.554,46791.449,46839.293,46783.945,46727.744,46672.606,46557.589,46259.556,45960.838,45665.108,45374.574,45088.3,44806.539,44528.569,44252.407,43977.454,43703.999,43432.028,43161.456,42892.187,42624.121,42415.807,NPgN,Primary,NPg Best View,Domestic (MWh)
AMBERTON ROAD,53945.957,53622.183,53433.795,53257.054,53107.875,52976.542,52892.35,52826.033,52783.51,52783.159,52700.257,52620.717,52544.602,52260.191,51360.825,50469.419,49589.564,48719.604,47855.567,46999.173,46145.983,45294.074,44445.505,43601.283,42761.3,41925.286,41092.978,40264.119,39637.724,NPgN,Primary,NPg Best View,Domestic (MWh)
ANNFIELD 66/20KV,44174.196,43996.475,43968.921,43959.139,43974.168,44006.783,44079.439,44163.127,44271.685,44419.827,44461.339,44495.923,44526.84,44497.998,44287.422,44072.753,43857.14,43645.246,43437.064,43231.344,43026.848,42821.232,42616.299,42412.347,42209.375,42007.296,41806.017,41605.412,41463.389,NPgN,Primary,NPg Best View,Domestic (MWh)
ASHINGTON,36484.934,36349.55,36339.796,36339.405,36364.778,36399.019,36471.55,36552.592,36653.673,36788.034,36831.029,36873.662,36914.251,36934.666,36915.403,36890.265,36869.084,36848.943,36827.286,36806.011,36784.726,36762.357,36740.266,36718.517,36697.131,36676.082,36655.339,36634.842,36626.579,NPgN,Primary,NPg Best View,Domestic (MWh)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NPg Best View,Domestic (MWh)
AYCLIFFE INDUSTRIAL,14291.168,14241.451,14237.244,14238.909,14248.966,14264.683,14293.486,14325.661,14365.96,14419.343,14436.631,14451.273,14464.545,14459.704,14399.393,14337.258,14274.575,14213.085,14153.009,14093.747,14034.833,13975.507,13916.412,13857.634,13799.167,13740.989,13683.071,13625.393,13585.576,NPgN,Primary,NPg Best View,Domestic (MWh)
BARDEN FRIAR,942.435,934.235,930.226,927.054,924.092,921.693,920.325,919.168,918.939,919.617,918.142,917.001,915.768,914.753,913.804,913.039,912.621,912.22,911.783,911.336,910.9,910.453,909.999,909.543,909.087,908.63,908.172,907.702,907.229,NPgN,Primary,NPg Best View,Domestic (MWh)
BEDALE,15935.427,15842.591,15808.212,15778.394,15756.11,15738.746,15740.894,15744.578,15760.827,15789.389,15785.051,15781.849,15779.837,15757.277,15682.894,15610.667,15540.207,15470.621,15400.592,15330.644,15262.205,15193.133,15124.161,15055.409,14986.896,14918.594,14850.468,14782.393,14731.155,NPgN,Primary,NPg Best View,Domestic (MWh)
BELMONT,29494.171,29379.94,29373.285,29378.428,29399.911,29432.505,29491.263,29556.676,29638.561,29747.055,29781.765,29810.979,29837.295,29833.082,29734.923,29633.049,29529.78,29428.725,29330.254,29233.253,29136.728,29039.176,28941.973,28845.272,28749.078,28653.345,28558.024,28463.037,28398.064,NPgN,Primary,NPg Best View,Domestic (MWh)
BENSHAM,27687.581,27482.209,27382.891,27295.506,27225.58,27173.735,27152.976,27146.305,27159.708,27202.323,27186.948,27174.785,27163.398,27130.94,27034.683,26940.336,26849.913,26763.698,26678.397,26594.924,26512.472,26429.351,26346.732,26264.74,26183.397,26102.671,26022.522,25942.806,25884.644,NPgN,Primary,NPg Best View,Domestic (MWh)
