Primary,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0.06,0.088,0.12,0.168,0.223,0.29,0.361,0.445,0.538,0.645,0.764,0.896,1.037,1.187,1.357,1.54,1.731,1.932,2.152,2.379,2.62,2.872,3.135,3.413,3.703,4.007,4.328,4.666,NPgN,Primary,NG FES - Leading the Way (EE CF),Total installed storage capacity (MW)
AMBERTON ROAD,0.031,0.066,0.096,0.13,0.183,0.239,0.308,0.374,0.455,0.542,0.639,0.757,0.883,1.017,1.163,1.328,1.508,1.685,1.866,2.066,2.262,2.472,2.689,2.913,3.15,3.397,3.657,3.93,4.218,NPgN,Primary,NG FES - Leading the Way (EE CF),Total installed storage capacity (MW)
ANNFIELD 66/20KV,0.034,0.075,0.109,0.148,0.208,0.272,0.353,0.43,0.525,0.627,0.742,0.879,1.027,1.185,1.355,1.548,1.757,1.966,2.181,2.419,2.654,2.906,3.167,3.438,3.724,4.021,4.334,4.664,5.011,NPgN,Primary,NG FES - Leading the Way (EE CF),Total installed storage capacity (MW)
ASHINGTON,0.042,0.097,0.142,0.192,0.27,0.357,0.464,0.574,0.706,0.851,1.016,1.204,1.41,1.631,1.866,2.133,2.421,2.718,3.029,3.37,3.717,4.088,4.474,4.877,5.302,5.745,6.211,6.701,7.218,NPgN,Primary,NG FES - Leading the Way (EE CF),Total installed storage capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Leading the Way (EE CF),Total installed storage capacity (MW)
AYCLIFFE INDUSTRIAL,0.014,0.03,0.043,0.059,0.083,0.109,0.141,0.172,0.21,0.252,0.298,0.353,0.413,0.476,0.545,0.622,0.707,0.791,0.878,0.974,1.07,1.173,1.279,1.389,1.506,1.627,1.754,1.889,2.03,NPgN,Primary,NG FES - Leading the Way (EE CF),Total installed storage capacity (MW)
BARDEN FRIAR,0.003,0.006,0.008,0.011,0.015,0.019,0.025,0.029,0.034,0.04,0.046,0.054,0.063,0.072,0.082,0.093,0.106,0.117,0.128,0.14,0.15,0.162,0.173,0.184,0.197,0.209,0.222,0.236,0.251,NPgN,Primary,NG FES - Leading the Way (EE CF),Total installed storage capacity (MW)
BEDALE,0.028,0.058,0.084,0.114,0.161,0.21,0.27,0.325,0.392,0.465,0.545,0.645,0.751,0.864,0.987,1.128,1.281,1.427,1.576,1.74,1.899,2.068,2.242,2.421,2.611,2.808,3.016,3.234,3.464,NPgN,Primary,NG FES - Leading the Way (EE CF),Total installed storage capacity (MW)
BELMONT,0.025,0.054,0.078,0.105,0.148,0.194,0.251,0.306,0.373,0.445,0.526,0.623,0.728,0.839,0.96,1.097,1.245,1.392,1.544,1.712,1.878,2.055,2.238,2.428,2.629,2.838,3.058,3.29,3.534,NPgN,Primary,NG FES - Leading the Way (EE CF),Total installed storage capacity (MW)
BENSHAM,0.017,0.038,0.055,0.075,0.105,0.138,0.179,0.22,0.269,0.323,0.383,0.454,0.531,0.614,0.702,0.802,0.911,1.02,1.134,1.259,1.385,1.52,1.659,1.804,1.958,2.117,2.285,2.462,2.648,NPgN,Primary,NG FES - Leading the Way (EE CF),Total installed storage capacity (MW)
