Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Falling Short (EE CF),Number of electric HGVs
AMBERTON ROAD,0,0,0,0,0,0,0,0,1,1,1,2,2,3,5,6,9,12,16,22,29,36,44,53,63,71,76,78,80,81,NPgN,Primary,NG FES - Falling Short (EE CF),Number of electric HGVs
ANNFIELD 66/20KV,0,0,0,0,0,0,0,0,1,1,1,2,3,4,6,8,12,16,20,28,36,46,56,67,79,89,96,98,100,103,NPgN,Primary,NG FES - Falling Short (EE CF),Number of electric HGVs
ASHINGTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,6,7,8,10,11,12,12,12,13,NPgN,Primary,NG FES - Falling Short (EE CF),Number of electric HGVs
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Falling Short (EE CF),Number of electric HGVs
AYCLIFFE INDUSTRIAL,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,6,8,12,15,20,27,34,41,49,58,65,70,72,73,75,NPgN,Primary,NG FES - Falling Short (EE CF),Number of electric HGVs
BARDEN FRIAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Falling Short (EE CF),Number of electric HGVs
BEDALE,0,0,0,0,0,0,0,1,1,2,2,3,5,7,10,14,20,27,36,48,63,80,98,117,138,155,167,171,175,179,NPgN,Primary,NG FES - Falling Short (EE CF),Number of electric HGVs
BELMONT,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,6,8,11,14,19,24,29,35,41,47,50,52,53,54,NPgN,Primary,NG FES - Falling Short (EE CF),Number of electric HGVs
BENSHAM,0,0,0,0,0,0,0,0,1,1,1,2,2,3,5,7,9,13,17,23,30,37,46,55,65,73,78,80,82,84,NPgN,Primary,NG FES - Falling Short (EE CF),Number of electric HGVs
BENTON SQUARE,0,0,0,0,0,0,0,1,1,2,2,3,5,7,10,14,20,27,35,48,63,79,97,116,137,154,166,170,174,178,NPgN,Primary,NG FES - Falling Short (EE CF),Number of electric HGVs
BENWELL,0,0,0,0,0,0,0,1,1,1,2,3,4,6,8,12,17,23,30,41,54,68,83,99,117,131,141,145,148,152,NPgN,Primary,NG FES - Falling Short (EE CF),Number of electric HGVs
