Primary,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,47864.8,47495.628,47296.706,47121.532,46983.328,46878.006,46826.024,46797.646,46800.104,46848.395,46793.608,46738.02,46683.952,46542.803,46332.186,46175.752,46026.531,45874.612,45720.602,45566.675,45405.91,45231.203,45036.339,44816.822,44574.132,44316.937,44045.03,43756.878,43475.26,NPgN,Primary,NG FES - System Transformation (EE CF),Domestic (MWh)
AMBERTON ROAD,53945.957,53625.264,53436.901,53263.476,53119.282,52994.292,52912.33,52846.483,52804.712,52804.765,52722.363,52643.429,52568.112,52190.213,51558.192,51139.636,50753.803,50353.67,49939.236,49518.261,49064.883,48558.901,47983.719,47323.952,46584.602,45794.995,44954.402,44057.561,43181.522,NPgN,Primary,NG FES - System Transformation (EE CF),Domestic (MWh)
ANNFIELD 66/20KV,44174.196,43999.62,43971.258,43961.675,43977.879,44012.306,44085.832,44169.92,44280.004,44428.651,44470.784,44506.045,44538.084,44483.796,44358.634,44283.314,44211.488,44135.915,44058.457,43979.41,43891.292,43786.543,43661.631,43512.077,43339.311,43151.819,42949.342,42730.319,42517.269,NPgN,Primary,NG FES - System Transformation (EE CF),Domestic (MWh)
ASHINGTON,36484.934,36350.482,36340.554,36340.188,36365.821,36400.475,36473.254,36554.456,36656.04,36790.62,36833.881,36876.809,36917.848,36933.399,36932.814,36936.468,36944.742,36952.44,36957.647,36962.414,36965.088,36963.583,36958.15,36947.875,36933.047,36915.4,36894.875,36871.162,36849.107,NPgN,Primary,NG FES - System Transformation (EE CF),Domestic (MWh)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Domestic (MWh)
AYCLIFFE INDUSTRIAL,14291.168,14241.754,14237.54,14239.482,14249.97,14266.239,14295.245,14327.473,14367.872,14421.308,14438.659,14453.375,14466.748,14453.825,14416.998,14396.145,14376.612,14356.217,14335.559,14314.542,14290.82,14262.028,14227.165,14184.863,14135.546,14081.77,14023.458,13960.138,13898.684,NPgN,Primary,NG FES - System Transformation (EE CF),Domestic (MWh)
BARDEN FRIAR,942.435,934.344,930.317,927.13,924.171,921.784,920.436,919.3,919.128,919.835,918.394,917.29,916.109,915.16,914.571,913.956,913.626,913.287,912.97,912.645,912.322,911.976,911.622,911.261,910.895,910.527,910.158,909.786,909.423,NPgN,Primary,NG FES - System Transformation (EE CF),Domestic (MWh)
BEDALE,15935.427,15844.661,15809.781,15779.775,15757.798,15741.04,15743.628,15747.621,15764.966,15793.945,15790.113,15787.461,15786.325,15757.112,15711.712,15681.655,15653.864,15624.45,15593.374,15561.179,15527.414,15488.401,15443.425,15391.201,15332.163,15268.812,15201.068,15128.462,15057.551,NPgN,Primary,NG FES - System Transformation (EE CF),Domestic (MWh)
BELMONT,29494.171,29383.165,29375.523,29380.25,29402.144,29435.632,29494.946,29560.691,29644.148,29753.088,29788.353,29818.165,29845.542,29829.094,29780.006,29751.569,29722.832,29692.034,29660.64,29628.487,29591.46,29545.553,29489.289,29420.381,29339.553,29251.189,29155.164,29050.677,28949.25,NPgN,Primary,NG FES - System Transformation (EE CF),Domestic (MWh)
BENSHAM,27687.581,27484.941,27385.013,27297.451,27227.899,27176.761,27156.438,27150.049,27164.529,27207.557,27192.704,27181.136,27170.713,27129.604,27069.457,27028.675,26992.498,26957.282,26920.427,26883.608,26844.017,26798.571,26745.927,26684.479,26614.686,26539.767,26459.702,26373.939,26290.723,NPgN,Primary,NG FES - System Transformation (EE CF),Domestic (MWh)
BENTON SQUARE,35856.524,35783.333,35824.805,35873.428,35945.237,36029.486,36148.383,36277.727,36427.433,36610.961,36706.779,36796.007,36884.784,36942.378,36978.911,37027.541,37079.681,37131.593,37180.537,37227.681,37270.977,37306.667,37336.582,37359.41,37375.521,37387.425,37395.067,37397.998,37403.008,NPgN,Primary,NG FES - System Transformation (EE CF),Domestic (MWh)
BENWELL,36219.635,36028.916,35987.397,35987.348,36026.976,36100.133,36200.289,36310.662,36444.394,36612.225,36675.806,36715.305,36743.971,36742.048,36712.241,36680.336,36630.204,36579.432,36535.661,36498.06,36460.687,36418.939,36369.465,36310.545,36242.665,36169.193,36090.071,36004.698,35921.905,NPgN,Primary,NG FES - System Transformation (EE CF),Domestic (MWh)
BILLINGHAM MARSH HOUSE,24324.102,24195.38,24136.47,24083.663,24041.344,24006.961,23993.322,23985.428,23990.666,24015.184,23990.316,23967.121,23944.462,23848.572,23688.662,23582.88,23486.877,23389.228,23289.149,23187.544,23078.65,22957.134,22818.605,22659.255,22480.306,22288.981,22085.092,21867.34,21654.853,NPgN,Primary,NG FES - System Transformation (EE CF),Domestic (MWh)
BILLY MILL,33992.576,33922.002,33957.385,33998.568,34059.982,34131.783,34234.053,34345.545,34475.458,34634.788,34717.314,34794.235,34871.366,34873.226,34819.626,34808.862,34805.348,34798.753,34787.021,34772.189,34749.018,34710.54,34655.901,34581.512,34488.45,34383.612,34266.849,34136.917,34011.9,NPgN,Primary,NG FES - System Transformation (EE CF),Domestic (MWh)
BIRTLEY GROVE 66/11KV,30762.023,30490.298,30454.583,30425.296,30404.503,30390.089,30393.767,30402.275,30440.474,30481.756,30470.9,30457.668,30448.373,30420.863,30489.343,30493.306,30469.053,30432.97,30390.272,30343.559,30290.162,30229.446,30160.716,30082.906,29996.937,29906.265,29810.838,29710.111,29609.433,NPgN,Primary,NG FES - System Transformation (EE CF),Domestic (MWh)
BIRTLEY GROVE 66/20KV,23372.426,23092.38,23042.093,22993.804,22947.973,22905.524,22872.874,22843.896,22842.383,22834.512,22800.765,22767.254,22740.03,22697.962,22770.879,22770.087,22737.984,22692.561,22638.519,22579.828,22514.297,22441.695,22361.394,22272.499,22175.976,22075.187,21970.097,21860.202,21749.997,NPgN,Primary,NG FES - System Transformation (EE CF),Domestic (MWh)
BLAYDON BURN,30520.092,30313.674,30217.692,30135.214,30073.866,30034.452,30031.633,30046.007,30084.842,30159.081,30164.473,30174.509,30185.692,30198.843,30217.031,30233.602,30253.985,30278.981,30303.951,30330.266,30357.131,30383.433,30409.829,30436.314,30462.866,30489.511,30516.245,30543.071,30570.256,NPgN,Primary,NG FES - System Transformation (EE CF),Domestic (MWh)
