Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,129,164,197,230,264,328,434,557,694,843,1033,1227,1431,1649,1895,2260,2585,2948,3360,3809,4353,4780,5193,5594,5987,6366,6769,7302,7894,8532,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
AMBERTON ROAD,186,225,262,298,334,397,504,626,759,905,1089,1276,1472,1681,1899,2226,2520,2839,3201,3597,4068,4437,4792,5136,5471,5789,6125,6561,7043,7561,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
ANNFIELD 66/20KV,137,165,192,218,245,293,377,474,584,704,860,1018,1185,1363,1555,1860,2135,2442,2788,3169,3623,3980,4326,4663,4989,5302,5631,6061,6537,7050,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
ASHINGTON,146,182,216,250,284,346,450,568,700,843,1025,1209,1403,1610,1837,2180,2489,2833,3222,3647,4157,4557,4944,5322,5688,6039,6409,6893,7427,8003,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
AYCLIFFE INDUSTRIAL,56,72,86,101,115,143,187,237,292,352,428,504,584,670,763,899,1021,1156,1308,1474,1675,1833,1986,2132,2273,2408,2550,2734,2937,3156,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
BARDEN FRIAR,6,6,7,7,8,11,17,25,36,49,71,91,113,137,157,176,192,208,225,242,261,275,289,299,307,315,322,332,342,353,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
BEDALE,134,154,172,190,207,237,290,350,418,495,598,699,806,920,1030,1179,1313,1456,1617,1790,1995,2157,2311,2456,2595,2728,2869,3051,3252,3467,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
BELMONT,109,131,152,173,193,229,291,362,442,527,637,748,865,989,1132,1349,1542,1761,2008,2279,2608,2867,3117,3362,3600,3831,4076,4400,4758,5146,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
BENSHAM,78,96,113,130,147,176,226,281,340,405,486,568,654,745,847,1010,1157,1321,1506,1710,1956,2149,2336,2518,2695,2864,3042,3273,3529,3805,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
BENTON SQUARE,101,129,155,182,210,259,338,425,520,624,753,881,1016,1161,1327,1572,1794,2043,2325,2633,3007,3302,3587,3863,4129,4383,4650,4996,5377,5790,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
BENWELL,115,141,166,192,217,265,348,446,558,678,832,991,1158,1336,1527,1821,2083,2371,2697,3055,3484,3820,4144,4461,4770,5069,5387,5805,6269,6769,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
BILLINGHAM MARSH HOUSE,126,158,187,217,247,301,390,491,603,725,879,1035,1200,1376,1565,1848,2101,2381,2697,3042,3460,3788,4105,4410,4706,4990,5290,5684,6120,6590,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
BILLY MILL,78,98,117,136,155,189,245,308,376,451,544,637,735,840,974,1176,1357,1566,1804,2063,2384,2635,2881,3121,3355,3583,3825,4147,4503,4889,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
BIRTLEY GROVE 66/11KV,69,86,102,118,135,164,213,268,328,394,477,561,649,743,850,1009,1153,1314,1496,1695,1936,2125,2309,2487,2660,2826,3002,3232,3486,3761,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
BIRTLEY GROVE 66/20KV,39,48,56,65,74,90,118,150,185,223,271,320,371,426,489,587,675,774,886,1009,1158,1275,1388,1499,1606,1709,1818,1960,2117,2287,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
BLAYDON BURN,74,91,108,125,143,175,230,295,367,445,544,645,751,864,1003,1220,1416,1639,1892,2171,2510,2775,3034,3289,3536,3775,4028,4361,4730,5129,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
BLUCHER 33/11KV,101,128,153,179,205,256,341,443,559,683,844,1009,1183,1369,1569,1873,2144,2441,2778,3147,3590,3936,4271,4597,4916,5224,5551,5983,6462,6979,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
BOLDON DOWNHILL,82,101,118,135,152,181,230,285,346,412,495,579,668,762,874,1051,1211,1393,1600,1826,2106,2325,2538,2745,2944,3137,3340,3607,3902,4221,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,56,63,71,78,84,95,113,132,152,175,206,235,266,299,335,386,431,482,540,602,679,738,797,852,904,954,1008,1077,1153,1235,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
BOWESFIELD 33/11KV,69,83,97,112,126,153,200,255,318,385,471,560,652,751,865,1039,1194,1369,1567,1785,2046,2252,2451,2647,2839,3026,3223,3483,3771,4082,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
BOWESFIELD 66/11KV,70,92,111,132,153,191,252,320,392,472,571,670,773,885,994,1141,1276,1418,1578,1751,1957,2118,2272,2418,2558,2688,2824,2995,3182,3381,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
BRANCEPETH,277,325,370,410,451,517,633,763,907,1065,1270,1475,1691,1921,2158,2517,2838,3194,3597,4034,4565,4981,5383,5770,6145,6507,6892,7399,7960,8564,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
BREAMISH STREET,54,65,75,85,96,114,146,182,222,266,321,377,435,498,560,654,739,830,933,1046,1180,1284,1385,1482,1577,1668,1763,1886,2021,2166,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
BRENDA TRADING,136,170,202,235,269,332,438,564,705,857,1053,1253,1463,1687,1936,2310,2644,3014,3434,3894,4449,4884,5305,5714,6112,6496,6903,7439,8033,8673,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
CAMPLESHON ROAD,118,140,161,182,203,242,310,389,479,577,707,839,978,1126,1279,1515,1727,1959,2222,2509,2848,3115,3371,3621,3860,4089,4331,4645,4992,5367,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
CARLEY HILL,94,116,136,157,178,215,279,351,431,517,627,737,853,977,1135,1385,1610,1870,2164,2489,2878,3184,3483,3781,4070,4350,4645,5034,5464,5932,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
CARLIN HOW T3 T4,153,179,204,227,249,290,362,445,541,648,795,942,1097,1263,1436,1690,1919,2175,2464,2775,3156,3455,3745,4019,4281,4534,4801,5152,5540,5958,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
CARR HILL,140,177,210,244,278,339,440,553,677,813,983,1154,1334,1526,1748,2094,2405,2754,3150,3585,4115,4531,4935,5327,5706,6070,6453,6954,7508,8107,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
CATTERICK CAMP,190,219,247,273,299,340,412,491,579,676,801,926,1057,1197,1335,1541,1726,1927,2155,2402,2699,2932,3156,3371,3577,3775,3984,4254,4553,4874,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
CLOSE,60,66,73,80,87,100,124,152,183,215,257,299,342,388,433,501,562,627,701,783,880,956,1028,1100,1169,1236,1305,1392,1487,1588,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
CONEYTHORPE,78,89,100,110,121,138,171,207,249,297,364,430,499,573,654,768,871,987,1119,1260,1434,1571,1704,1829,1947,2060,2180,2335,2507,2692,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
CONSETT,164,197,229,260,291,348,447,563,694,837,1026,1217,1418,1632,1859,2211,2527,2878,3275,3708,4229,4638,5033,5414,5782,6134,6504,6987,7521,8097,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
CORPORATION STREET,42,50,58,66,73,86,110,137,167,199,240,282,325,372,419,493,558,629,710,798,903,984,1063,1140,1215,1288,1364,1463,1573,1691,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
COWTON,11,12,14,15,17,20,26,33,43,53,68,83,99,116,132,152,171,190,211,234,261,282,302,321,338,354,371,393,416,442,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
CRAMLINGTON T1 T3,37,46,53,61,69,83,107,134,164,196,237,279,323,369,423,504,577,659,752,854,978,1076,1171,1263,1353,1440,1532,1653,1788,1933,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
CRAMLINGTON T2 T4,35,43,50,57,64,77,99,123,151,180,218,256,295,338,387,460,526,600,684,776,888,976,1061,1144,1225,1304,1387,1497,1618,1750,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
DARLEY,41,46,51,55,60,68,83,100,119,139,167,193,221,250,282,328,371,418,471,529,601,656,711,763,814,864,916,983,1057,1136,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
DARLINGTON 132/6KV,50,62,73,84,96,117,152,191,234,282,341,400,462,529,606,720,823,939,1069,1213,1385,1521,1653,1781,1905,2024,2150,2314,2495,2690,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
DARLINGTON 33/11KV,80,95,110,126,141,169,219,277,342,412,503,594,690,792,913,1104,1276,1472,1693,1938,2229,2458,2680,2901,3114,3320,3536,3818,4129,4466,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
DARLINGTON CENTRAL 33/11KV,27,33,40,46,52,64,85,108,134,163,199,236,275,316,367,447,519,601,694,797,921,1019,1114,1208,1299,1387,1481,1605,1742,1890,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
DARLINGTON EAST,87,102,117,131,145,170,212,260,314,372,448,524,604,690,785,927,1056,1200,1363,1541,1756,1926,2090,2248,2401,2549,2704,2908,3134,3377,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
DARLINGTON WEST,84,107,127,149,171,211,279,356,443,537,657,779,907,1043,1210,1462,1688,1946,2239,2559,2947,3251,3548,3839,4123,4397,4688,5073,5498,5960,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
DENWICK,183,208,234,257,281,344,457,602,797,1038,1433,1818,2228,2669,3081,3485,3853,4229,4653,5075,5565,5951,6313,6609,6848,7075,7314,7622,7961,8317,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
DUNSTON 66/11KV,69,81,93,105,117,138,174,214,259,307,369,431,497,567,643,767,879,1004,1147,1303,1493,1643,1789,1929,2065,2194,2331,2509,2705,2918,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
DUNSTON 66/20KV,119,145,169,192,216,258,328,409,499,597,724,852,987,1131,1295,1550,1779,2038,2332,2653,3044,3351,3650,3939,4219,4489,4774,5149,5564,6014,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
DURHAM EAST,41,48,54,61,68,81,104,130,160,192,233,274,317,363,415,494,564,643,732,830,948,1040,1129,1217,1303,1386,1473,1587,1712,1848,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
EASTFIELD,151,177,201,223,245,280,343,412,491,579,697,815,940,1073,1210,1421,1611,1824,2065,2326,2645,2896,3139,3368,3586,3794,4013,4299,4614,4954,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
EASTGATE CEMENT,33,38,42,46,50,66,94,132,178,231,304,375,449,529,596,681,757,830,914,1003,1103,1182,1256,1325,1392,1455,1522,1608,1702,1800,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
EDUCATIONAL PRECINCT,63,73,84,95,106,126,162,205,254,306,373,442,514,591,669,795,908,1030,1168,1321,1500,1641,1776,1909,2039,2163,2295,2465,2653,2856,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
ELVINGTON,51,57,64,71,77,87,107,128,153,180,219,257,298,341,382,435,483,534,591,652,724,781,834,884,931,975,1022,1083,1149,1221,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
FARADAY STREET,147,178,207,235,264,316,406,512,629,757,920,1087,1261,1448,1652,1970,2256,2571,2929,3322,3783,4143,4492,4839,5176,5499,5840,6284,6776,7307,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
FAWDON T1 & SEATON BURN T1,157,190,222,252,283,340,435,547,672,809,985,1165,1353,1554,1763,2086,2375,2695,3057,3451,3929,4305,4667,5015,5352,5674,6015,6461,6953,7483,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
FISHBURN,246,290,331,367,403,459,556,663,781,910,1077,1244,1420,1608,1798,2093,2358,2653,2987,3348,3788,4134,4468,4787,5096,5392,5706,6118,6574,7065,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
FLATWORTH CENTRAL,78,95,111,127,143,169,212,259,308,361,427,492,560,634,717,840,951,1076,1217,1372,1561,1709,1853,1992,2127,2256,2392,2568,2763,2974,NPgN,Primary,NG FES - Falling Short (EE CF),Number of heat pumps (total)
