Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,79357.8,76454.265,76643.043,77298.088,78863.266,80734.814,83249.245,86556.483,93228.988,98864.621,104613.07,110070.85,116065.462,122217.99,129110.274,135512.745,141114.021,146600.836,151791.186,156268.403,160402.59,164158.344,167573.072,170403.857,173010.036,175373.121,177689.961,179947.11,179888.277,179681.04,NPgN,Primary,NPg Planning Scenario,Total demand (MWh)
AMBERTON ROAD,124391.41,121683.814,121526.987,121891.722,122994.218,124613.85,127083.138,130490.105,135703.774,141281.778,146847.89,152020.757,158094.169,164127.984,171081.642,177692.254,183422.042,189123.453,194547.353,199540.609,204128.16,208233.564,211961.328,215077.189,217969.397,220480.409,222994.289,225414.787,225825.853,225757.631,NPgN,Primary,NPg Planning Scenario,Total demand (MWh)
ANNFIELD 66/20KV,101155.181,97815.441,98156.922,99097.405,100647.442,102736.277,105681.076,109530.672,115718.302,121899.479,128313.509,133976.41,141077.414,147859.169,155741.209,163172.371,169592.402,175975.948,182007.161,187499.628,192515.815,196769.535,200651.333,203733.461,206606.892,208955.656,211377.826,213735.09,213919.013,213762.843,NPgN,Primary,NPg Planning Scenario,Total demand (MWh)
ASHINGTON,83723.656,81717.419,82485.136,83834.73,86048.025,88715.419,92188.782,96650.711,103539.101,110444.973,117364.467,123607.292,130954.917,138241.716,146737.075,154742.75,161561.114,168297.894,174563.364,180192.795,185289.441,189661.242,193626.591,196810.507,199787.787,202253.471,204745.121,207091.882,207236.371,207069.488,NPgN,Primary,NPg Planning Scenario,Total demand (MWh)
AYCLIFFE FORREST,4031.312,3979.087,3929.388,3882.043,3836.959,3794.035,3753.204,3714.424,3677.656,3642.911,3609.932,3578.524,3548.7,3520.301,3493.414,3467.843,3443.078,3419.211,3396.203,3374.054,3352.577,3331.86,3311.759,3292.188,3273.07,3254.326,3235.882,3217.651,3199.482,3181.292,NPgN,Primary,NPg Planning Scenario,Total demand (MWh)
AYCLIFFE INDUSTRIAL,56745.41,55294.986,55401.397,55727.986,56373.163,57146.992,58318.056,59949.994,62366.472,64965.912,67530.62,70119.705,72783.662,75546.378,78665.593,81655.11,84236.097,86678.6,89014.029,91136.321,93034.399,94699.031,96127.264,97296.31,98307.411,99143.103,99974.329,100774.132,100803.625,100739.165,NPgN,Primary,NPg Planning Scenario,Total demand (MWh)
BARDEN FRIAR,3644.82,3573.205,3607.206,3705.275,3804.081,4154.804,4588.512,5162.677,4795.849,5205.717,5308.271,5543.902,5610.282,5843.81,6085.535,6373.063,6595.586,6801.745,6960.207,7110.322,7247.421,7408.796,7459.671,7586.958,7614.609,7721.558,7743.856,7784.738,7832.857,7862.007,NPgN,Primary,NPg Planning Scenario,Total demand (MWh)
BEDALE,93939.184,93171.81,93469.813,94225.969,95283.455,97262.657,100064.998,103850.796,106581.032,111417.947,115830.352,120411.493,125100.72,129879.982,135153.929,140455,144993.252,149270.94,153186.696,156758.605,159832.896,162625.042,164902.257,166943.19,168573.174,170079.355,171406.083,172710.175,173246.564,173606.2,NPgN,Primary,NPg Planning Scenario,Total demand (MWh)
BELMONT,119290.526,118686.204,118415.755,118582.006,119197.592,120106.663,121617.336,123803.883,128014.936,132020.428,136185.613,140099.836,144587.426,149044.994,154176.667,159006.349,163092.646,167040.771,170724.23,173937.387,176789.242,179332.919,181616.293,183463.079,185125.27,186568.909,187986.707,189369.843,189227.165,188924.555,NPgN,Primary,NPg Planning Scenario,Total demand (MWh)
BENSHAM,72256.595,70645.086,70940.847,71604.259,72680.163,74097.65,76086.884,78687.816,82397.8,86366.516,90352.735,94081.736,98432.372,102586.4,107311.418,112010.753,116127.886,120155.458,123832.87,127142.268,130038.934,132445.612,134504.488,136112.224,137503.185,138556.469,139562.378,140450.079,140436.533,140298.51,NPgN,Primary,NPg Planning Scenario,Total demand (MWh)
