Primary,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
CARLEY HILL,116,182,297,483,725,1035,1218,1328,1436,1546,1655,1765,1877,2092,2797,3492,4164,4794,5364,5878,6330,6910,7562,8218,8872,9526,10179,10830,11329,NPgN,Primary,NPg Best View,Number of heat pumps (total)
CARLIN HOW T3 T4,84,143,215,332,483,669,784,866,948,1032,1115,1198,1285,1452,2058,2654,3239,3807,4347,4855,5335,5887,6474,7062,7650,8237,8824,9410,9865,NPgN,Primary,NPg Best View,Number of heat pumps (total)
CARR HILL,133,185,269,452,711,1031,1193,1305,1417,1530,1644,1756,1873,2117,2999,3883,4754,5607,6390,7100,7754,8567,9433,10300,11167,12033,12897,13761,14420,NPgN,Primary,NPg Best View,Number of heat pumps (total)
CATTERICK CAMP,141,173,229,346,505,700,810,883,955,1027,1100,1172,1248,1371,1849,2340,2823,3291,3714,4098,4452,4895,5378,5864,6351,6838,7326,7815,8206,NPgN,Primary,NPg Best View,Number of heat pumps (total)
CLOSE,69,83,102,141,196,269,305,329,351,373,395,417,440,496,749,1003,1253,1496,1720,1926,2119,2347,2588,2829,3069,3308,3547,3785,3979,NPgN,Primary,NPg Best View,Number of heat pumps (total)
CONEYTHORPE,79,107,128,178,251,342,387,414,441,468,495,523,551,622,910,1199,1484,1763,2019,2255,2475,2741,3027,3313,3598,3884,4170,4455,4678,NPgN,Primary,NPg Best View,Number of heat pumps (total)
CONSETT,267,345,442,671,1006,1441,1694,1872,2049,2228,2408,2589,2775,3041,3861,4698,5511,6311,7005,7600,8101,8788,9551,10318,11083,11846,12608,13367,13956,NPgN,Primary,NPg Best View,Number of heat pumps (total)
CORPORATION STREET,76,92,119,179,260,356,401,425,448,471,494,517,540,590,791,998,1198,1388,1550,1690,1818,1996,2197,2398,2599,2799,2999,3198,3353,NPgN,Primary,NPg Best View,Number of heat pumps (total)
COWTON,9,13,19,30,45,64,74,81,88,96,103,111,118,130,173,215,255,295,331,363,391,429,470,510,551,592,634,675,708,NPgN,Primary,NPg Best View,Number of heat pumps (total)
CRAMLINGTON T1 T3,44,63,95,153,230,322,372,403,434,466,497,528,561,621,838,1054,1264,1465,1645,1807,1955,2146,2356,2567,2777,2987,3196,3405,3567,NPgN,Primary,NPg Best View,Number of heat pumps (total)
CRAMLINGTON T2 T4,50,70,103,164,243,337,387,415,443,471,499,527,556,611,810,1008,1201,1382,1539,1680,1805,1977,2170,2364,2557,2750,2943,3135,3284,NPgN,Primary,NPg Best View,Number of heat pumps (total)
DARLEY,66,69,80,113,161,218,244,254,264,274,284,293,304,329,456,593,728,858,967,1062,1150,1269,1403,1538,1674,1809,1943,2078,2185,NPgN,Primary,NPg Best View,Number of heat pumps (total)
DARLINGTON 132/6KV,71,89,119,187,283,400,455,488,521,555,589,622,657,731,1017,1306,1590,1867,2113,2331,2531,2794,3078,3362,3647,3931,4214,4497,4714,NPgN,Primary,NPg Best View,Number of heat pumps (total)
DARLINGTON 33/11KV,97,135,188,290,429,599,693,762,830,899,968,1036,1108,1249,1784,2315,2837,3350,3826,4267,4681,5172,5690,6208,6724,7240,7755,8269,8670,NPgN,Primary,NPg Best View,Number of heat pumps (total)
DARLINGTON CENTRAL 33/11KV,16,27,45,77,121,175,207,233,260,286,313,339,367,427,651,871,1090,1306,1515,1714,1903,2114,2333,2551,2769,2987,3205,3422,3589,NPgN,Primary,NPg Best View,Number of heat pumps (total)
DARLINGTON EAST,80,105,144,225,339,477,546,591,637,683,729,774,822,919,1286,1655,2017,2370,2690,2979,3246,3583,3944,4306,4667,5028,5387,5747,6024,NPgN,Primary,NPg Best View,Number of heat pumps (total)
DARLINGTON WEST,247,303,386,585,862,1187,1342,1425,1507,1591,1675,1759,1847,2013,2632,3271,3888,4485,4983,5406,5785,6334,6958,7583,8208,8830,9451,10071,10543,NPgN,Primary,NPg Best View,Number of heat pumps (total)
DENWICK,130,184,252,381,561,787,901,974,1045,1117,1189,1260,1334,1502,2152,2795,3425,4034,4592,5100,5568,6147,6769,7391,8012,8633,9252,9869,10354,NPgN,Primary,NPg Best View,Number of heat pumps (total)
