Primary,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
AMBERTON ROAD,0,1,1,2,3,5,7,10,14,18,23,28,33,39,44,50,55,59,63,67,70,72,73,75,75,76,76,76,77,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
ANNFIELD 66/20KV,0,1,1,2,4,6,9,13,17,23,29,35,42,49,56,63,69,75,80,84,88,91,93,94,95,96,96,96,97,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
ASHINGTON,0,0,0,0,0,1,1,2,2,3,3,4,5,6,7,8,8,9,10,10,11,11,11,11,12,12,12,12,12,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
AYCLIFFE INDUSTRIAL,0,0,1,2,3,4,7,9,13,17,21,26,31,36,41,46,50,55,58,62,64,66,68,69,70,70,70,71,71,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
BARDEN FRIAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
BEDALE,0,1,2,4,7,10,16,22,30,40,50,61,73,85,97,109,120,130,139,147,153,158,162,164,166,167,168,168,169,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
BELMONT,0,0,1,1,2,3,5,7,9,12,15,18,22,26,29,33,36,39,42,44,46,48,49,49,50,50,50,51,51,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
BENSHAM,0,1,1,2,3,5,7,10,14,19,23,29,34,40,46,51,56,61,65,69,72,74,76,77,78,78,79,79,79,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
BENTON SQUARE,0,1,2,4,7,10,15,22,30,39,50,61,72,85,97,108,119,130,138,146,152,157,160,163,165,166,167,167,167,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
BENWELL,0,1,2,3,6,9,13,19,26,34,42,52,62,72,82,92,102,110,118,124,130,134,137,139,140,141,142,142,143,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
BILLINGHAM MARSH HOUSE,1,3,6,11,18,28,41,59,80,105,132,161,193,225,257,289,318,345,368,388,405,418,427,434,439,442,444,445,446,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
BILLY MILL,0,1,2,3,5,8,12,17,23,30,38,47,56,65,75,84,93,100,107,113,118,122,124,126,128,129,129,129,130,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
BIRTLEY GROVE 66/11KV,2,4,8,14,24,37,56,80,108,142,179,219,261,305,349,391,431,467,499,526,548,566,579,588,594,598,601,602,604,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
BIRTLEY GROVE 66/20KV,0,1,1,2,4,6,9,13,17,22,28,35,41,48,55,62,68,74,79,83,87,89,92,93,94,95,95,95,95,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
BLAYDON BURN,1,2,3,6,10,16,24,34,47,61,77,94,112,131,150,168,185,201,214,226,236,243,249,253,255,257,258,259,259,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
