Primary,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0.057,0.082,0.111,0.155,0.204,0.264,0.326,0.4,0.482,0.574,0.68,0.796,0.921,1.053,1.204,1.367,1.534,1.709,1.901,2.096,2.304,2.52,2.746,2.984,3.232,3.493,3.767,4.057,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed storage capacity (MW)
AMBERTON ROAD,0.033,0.065,0.093,0.125,0.176,0.229,0.295,0.351,0.426,0.504,0.59,0.699,0.813,0.935,1.069,1.221,1.387,1.544,1.705,1.882,2.052,2.234,2.421,2.613,2.817,3.028,3.25,3.484,3.731,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed storage capacity (MW)
ANNFIELD 66/20KV,0.036,0.074,0.105,0.141,0.199,0.259,0.334,0.401,0.487,0.579,0.68,0.805,0.938,1.08,1.235,1.411,1.603,1.788,1.978,2.187,2.391,2.609,2.834,3.066,3.311,3.565,3.834,4.116,4.413,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed storage capacity (MW)
ASHINGTON,0.044,0.093,0.133,0.18,0.251,0.33,0.427,0.522,0.641,0.768,0.912,1.08,1.263,1.458,1.668,1.907,2.165,2.425,2.697,2.995,3.295,3.615,3.946,4.292,4.656,5.035,5.435,5.855,6.297,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed storage capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed storage capacity (MW)
AYCLIFFE INDUSTRIAL,0.014,0.029,0.042,0.056,0.079,0.103,0.133,0.159,0.194,0.231,0.272,0.322,0.376,0.433,0.495,0.566,0.642,0.717,0.794,0.878,0.961,1.05,1.141,1.236,1.336,1.44,1.549,1.664,1.785,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed storage capacity (MW)
BARDEN FRIAR,0.003,0.006,0.008,0.011,0.015,0.02,0.025,0.029,0.034,0.04,0.045,0.053,0.061,0.07,0.08,0.091,0.103,0.114,0.124,0.135,0.144,0.154,0.164,0.174,0.184,0.195,0.206,0.218,0.231,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed storage capacity (MW)
BEDALE,0.03,0.059,0.083,0.112,0.158,0.204,0.262,0.309,0.373,0.439,0.511,0.604,0.702,0.805,0.92,1.051,1.194,1.325,1.458,1.605,1.742,1.89,2.04,2.194,2.357,2.525,2.703,2.89,3.087,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed storage capacity (MW)
BELMONT,0.026,0.053,0.075,0.101,0.142,0.185,0.238,0.285,0.347,0.412,0.483,0.572,0.667,0.767,0.877,1.002,1.138,1.269,1.403,1.551,1.694,1.848,2.006,2.169,2.341,2.52,2.709,2.907,3.116,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed storage capacity (MW)
BENSHAM,0.018,0.037,0.053,0.071,0.099,0.13,0.168,0.202,0.248,0.295,0.348,0.413,0.481,0.555,0.634,0.725,0.823,0.92,1.02,1.13,1.239,1.355,1.475,1.6,1.731,1.868,2.012,2.163,2.322,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed storage capacity (MW)
BENTON SQUARE,0.025,0.051,0.073,0.098,0.138,0.18,0.233,0.28,0.343,0.409,0.483,0.572,0.667,0.769,0.879,1.004,1.141,1.274,1.413,1.565,1.715,1.875,2.041,2.213,2.394,2.582,2.781,2.99,3.21,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed storage capacity (MW)
BENWELL,0.025,0.05,0.072,0.097,0.136,0.178,0.229,0.274,0.334,0.397,0.466,0.552,0.643,0.74,0.846,0.967,1.098,1.225,1.355,1.498,1.637,1.786,1.94,2.098,2.265,2.439,2.622,2.815,3.018,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed storage capacity (MW)
BILLINGHAM MARSH HOUSE,0.019,0.044,0.063,0.086,0.119,0.158,0.206,0.257,0.319,0.387,0.465,0.551,0.647,0.75,0.858,0.981,1.114,1.254,1.402,1.565,1.734,1.914,2.102,2.299,2.507,2.723,2.951,3.19,3.443,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed storage capacity (MW)
